Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,17030.58,26233.44,22598.455,3563.789,12799.38,27397.02,19271.193,5945.517,59,132,161,146.818,10.147,19592.87,0,16716.252,9941.781,6786.765,NA,NA,NA,NA,0,4647.102,1959.287,1658.439,0,774.517,326.9,275.971,-101.821,0,-58.528,34.552,-90,92.203,-3.949,54.446
2,2,11,14597.64,20415.54,17847.971,1658.481,3384.96,21896.46,10789.56,5888.441,59,120,180,139.182,19.753,20724.624,0,19087.649,11261.448,5982.469,NA,NA,NA,NA,236.531,3880.843,2072.462,1428.121,39.422,646.807,354.083,243.118,-130.914,45,-93.721,52.256,-161.565,158.199,-5.688,81.851
3,3,11,55957.62,67064.52,60717.72,2923.817,23165.82,38398.14,30830.062,5705.331,59,127,160,141.182,10.4,21470.286,0,18851.705,9166.452,6181.614,NA,NA,NA,NA,1182.656,3182.203,2147.029,675.735,197.109,636.441,368.445,133.7,15.422,90,55.899,28.506,-41.511,37.185,-1.116,22.482
4,4,11,42735.12,44744.94,43744.838,661.212,17347.92,28137.48,22386.895,3656.156,59,118,149,135.091,10.034,11740.564,0,10797.853,5821.378,3644.455,NA,NA,NA,NA,317.34,1750.971,1174.056,486.17,52.89,291.828,197.671,78.614,-135,-54.462,-93.018,25.26,-29.745,44.284,-7.048,25.472
5,5,11,15867,39244.38,27473.951,7743.658,36705.66,40196.4,37821.158,1154.276,59,112,158,131.818,13.28,24674.064,0,23526.48,11911.858,7721.036,NA,NA,NA,NA,643.435,3926.704,2467.406,1043.038,107.239,654.451,420.409,178.969,-28.74,35.538,-6.047,17.618,-48.262,45,2.582,24.701
6,6,11,31416.66,46120.08,37975.02,4295.241,56486.52,78594.54,66545.236,7405.273,59,124,159,140.727,11.118,28466.332,0,26550.991,13105.378,8284.498,NA,NA,NA,NA,770.09,4317.587,2846.633,1044.817,128.348,719.598,482.82,173.189,74.055,168.69,118.081,24.752,-43.379,49.635,-7.119,26.818
7,7,11,46437.42,50033.94,49053.071,1065.274,59131.02,71401.5,63689.176,4042.804,59,121,157,139.909,11.353,13322.091,0,12622.883,8163.816,4137.645,NA,NA,NA,NA,236.531,3123.646,1332.209,942.092,47.306,520.608,222.823,156.013,-153.435,-18.435,-81.399,34.325,-60.255,66.125,-10.193,37.052
8,8,11,58390.56,64843.14,63189.125,2107.796,74892.24,77007.84,76190.449,794.535,59,114,152,130.091,14.467,10163.291,0,6453.447,4948.674,2126.724,NA,NA,NA,NA,149.596,2243.933,1016.329,712.978,24.933,373.989,173.678,121.385,-170.538,90,-23.954,75.486,-135,135,-22.211,80.946
9,9,11,48976.14,60823.5,53697.775,4310.135,74892.24,92028.6,82191.06,7248.053,59,122,160,137.636,13.648,26379.527,0,19690.145,10426.234,7882.829,NA,NA,NA,NA,149.596,4900.252,2637.953,1489.254,24.933,816.709,444.96,244.605,-109.026,161.565,-30.084,75.823,-45,131.055,22.472,53.14
10,10,11,67487.64,80604.36,72892.036,4775.93,64843.14,78594.54,73949.836,5135.388,59,114,166,134.909,17.12,24482.361,0,17064.383,10413.313,6169.203,NA,NA,NA,NA,1168.378,4361.421,2448.236,1135.609,194.73,726.904,412.623,184.962,-30.964,117.474,37.193,52.25,-35.008,30.964,-8.064,27.151
