Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,97952.28,98058.06,98009.978,55.242,14386.08,14491.86,14453.395,53.369,59,143,164,151.273,5.968,572.716,0,149.596,73.631,72.289,NA,NA,NA,NA,0,149.596,57.272,61.767,0,24.933,9.545,10.294,-90,180,13.5,73.638,-180,90,0,92.77
2,2,11,83989.32,83989.32,83989.32,0,24435.18,24540.96,24531.344,31.894,59,120,140,132.091,6.833,105.78,0,105.78,96.164,31.894,NA,NA,NA,NA,0,105.78,10.578,33.451,0,17.63,1.763,5.575,0,90,9,28.46,-90,0,-10,30
3,3,11,87480.06,87691.62,87576.224,74.115,51197.52,51197.52,51197.52,0,59,141,164,154.364,6.329,740.46,0,105.78,48.082,55.242,NA,NA,NA,NA,0,211.56,74.046,87.086,0,42.312,13.046,15.86,0,180,36,75.895,-180,180,0,127.279
4,4,11,86528.04,86739.6,86595.355,71.317,56169.18,56274.96,56178.796,31.894,59,119,153,137.545,12.533,828.091,0,236.531,69.585,76.571,NA,NA,NA,NA,0,149.596,82.809,59.751,0,24.933,14.154,10.169,-135,180,27,92.952,-180,180,-40,122.091
5,5,11,58284.78,58496.34,58332.862,72.729,55428.72,55640.28,55524.884,57.053,59,153,171,157.818,5.326,976.991,0,236.531,143.836,64.007,NA,NA,NA,NA,0,236.531,97.699,82.462,0,39.422,16.283,13.744,-90,180,33.343,101.885,-180,180,10,130.041
6,6,11,59554.14,59765.7,59688.769,83.169,25704.54,25916.1,25858.402,86.761,59,117,159,123.182,12.065,1625.316,0,299.191,123.363,88.75,NA,NA,NA,NA,0,299.191,162.532,102.141,0,49.865,27.794,17.538,-116.565,180,37.843,97.917,-180,180,70,120.101
7,7,11,53736.24,53947.8,53842.02,81.937,16924.8,17030.58,17020.964,31.894,59,141,159,150.091,5.319,1101.616,0,236.531,151.739,69.887,NA,NA,NA,NA,0,211.56,110.162,71.868,0,42.312,19.065,13.226,0,180,76.5,90.125,-180,180,-5,156.605
8,8,11,77854.08,77959.86,77873.313,42.79,4865.88,4865.88,4865.88,0,59,138,151,143.909,4.061,423.12,0,105.78,19.233,42.79,NA,NA,NA,NA,0,105.78,42.312,54.625,0,17.63,7.052,9.104,0,180,36,75.895,-180,180,0,127.279
9,9,11,90547.68,90759.24,90614.995,97.785,2961.84,3067.62,3029.155,53.369,59,140,162,148.273,5.833,1344.274,0,236.531,98.434,91.454,NA,NA,NA,NA,0,236.531,134.427,77.653,0,47.306,23.193,14.267,-153.435,180,20.657,114.449,-180,180,32.952,132.768
10,10,11,57755.88,57967.44,57900.125,97.785,4865.88,5077.44,4942.811,83.169,59,113,120,116.364,2.292,1555.834,0,236.531,135.87,65.652,NA,NA,NA,NA,0,236.531,155.583,81.685,0,42.312,26.636,14.316,-153.435,180,29.657,108.145,-126.87,180,20,123.757
