Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,35753.64,55957.62,43917.933,6434.141,6769.92,21790.68,15001.527,4860.086,59,196,440,332.273,79.324,33782.825,0,21274.67,12037.598,7313.071,NA,NA,NA,NA,1514.539,4824.31,3378.283,1132.917,252.423,964.862,579.128,216.451,-42.797,90,26.138,51.739,-72.273,58.705,-8.954,47.067
2,2,11,83248.86,102077.7,91240.058,6857.508,12482.04,25704.54,17694.109,4353.227,59,218,639,343.273,114.667,29132.807,0,20775.203,11884.417,7172.279,NA,NA,NA,NA,852.826,5501.577,2913.281,1654.579,142.138,916.93,489.489,271.429,-82.093,52.028,-26.719,41.329,-48.214,47.951,2.753,34.861
3,3,11,82402.62,94249.98,90893.869,4392.123,31099.32,39667.5,35234.356,2898.625,59,231,443,360.727,68.078,23150.452,0,10190.079,5586.715,3249.176,NA,NA,NA,NA,149.596,6896.012,2315.045,1840.377,24.933,1149.335,393.452,307.528,-110.556,170.134,28.515,116.96,-135,114.444,-21.74,69.104
4,4,7,78488.76,91076.58,82674.626,4992.195,36282.54,48235.68,42115.551,4326.401,36,212,463,325.714,102.672,21140.263,0,16461.625,10367.801,6347.145,NA,NA,NA,NA,1692.48,5486.302,3523.377,1420.171,282.08,914.384,587.23,236.695,69.775,175.486,119.692,44.988,-79.747,34.58,-14.226,42.559
5,5,9,59554.14,66006.72,62445.46,2126.809,43475.58,53418.9,47424.7,3391.152,48,206,432,298.222,83.384,20977.153,0,6930.003,3815.931,2141.835,NA,NA,NA,NA,669.011,4504.042,2622.144,1361.812,111.502,750.674,437.024,226.969,-152.592,125.538,9.696,93.329,-146.462,74.197,-19.286,79.607
6,6,11,9943.32,20098.2,14905.364,3825.217,67170.3,76478.94,71449.582,4013.334,59,199,458,286,80.482,17877.214,0,12574.034,6680.84,5373.052,NA,NA,NA,NA,149.596,5079.643,1787.721,1863.041,24.933,846.607,299.069,309.559,-18.435,121.373,34.757,40.361,-98.973,101.278,-2.952,58.066
7,7,2,39455.94,53947.8,46701.87,10247.292,61246.62,62621.76,61934.19,972.371,30,211,217,214,4.243,14556.958,0,14556.958,7278.479,10293.323,NA,NA,NA,NA,14556.958,14556.958,14556.958,NA,485.232,485.232,485.232,NA,-5.421,-5.421,-5.421,NA,NA,NA,NA,NA
8,8,11,12587.82,27397.02,21281.013,4893.355,77854.08,93086.4,86422.26,5590.15,59,204,390,306.727,64.259,25331.979,0,21244.669,11140.495,7117.135,NA,NA,NA,NA,1124.457,3635.202,2533.198,763.63,187.409,605.867,431.455,133.75,-137.49,-6.71,-49.39,39.535,-55.855,62.793,-1.226,40.168
9,9,11,62092.86,71189.94,66766.413,3014.57,62304.42,75738.48,69314.749,4742.459,59,237,390,310.545,58.826,23698.213,0,12059.384,7246.987,4393.779,NA,NA,NA,NA,762.79,4920.76,2369.821,1330.531,127.132,820.127,403.011,223.49,-142.125,59.036,-81.657,64.548,-84.5,167.471,-3.743,71.232
10,10,11,79863.9,102289.26,95403.944,7633.836,64843.14,73199.76,70497.562,2465.089,59,192,406,270.182,65.836,31235.141,0,22954.991,15827.497,7722,NA,NA,NA,NA,1196.764,5565.275,3123.514,1423.009,199.461,927.546,530.177,237.265,-135,31.701,-33.771,55.609,-98.13,34.205,-5.576,43.527
11,11,11,108107.16,129051.6,120810.376,6566.622,39032.82,53524.68,48110.667,5230.031,59,198,314,233.273,36.167,30099.208,0,23707.231,13480.412,7253.807,NA,NA,NA,NA,1514.539,5345.816,3009.921,1352.989,252.423,890.969,509.885,223.337,-77.905,36.027,-29.74,39.666,-29.745,26.988,-6.197,21.137
12,12,11,88749.42,108107.16,96269.416,7010.502,46225.86,58390.56,51736.036,3774.569,59,207,456,291.364,83.584,35693.52,0,16761.374,9249.545,5369.431,NA,NA,NA,NA,2231.432,5798.635,3569.352,1319.303,371.905,966.439,605.262,218.321,-174.56,95.906,-4.827,84.12,-121.15,89.534,-16.366,70.264
13,13,11,104827.98,111703.68,108559.129,2360.62,83989.32,91288.14,87633.922,2924.722,59,187,366,308.273,60.826,16806.066,0,8184.119,4273.964,3010.634,NA,NA,NA,NA,236.531,3915.289,1680.607,1253.984,39.422,652.548,286.947,212.356,-148.392,180,-23.433,117.616,-112.194,70.047,-8.369,65.317
14,14,11,68333.88,102289.26,86268.398,11812.871,95202,107260.92,99981.333,4399.69,59,198,343,256.909,45.386,37243.458,0,36033.115,18619.306,12509.703,NA,NA,NA,NA,1423.124,6179.761,3724.346,1356.79,284.625,1029.96,625.468,217.526,2.121,53.973,21.966,16.918,-26.565,41.248,3.006,19.472
