Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,72141.96,61352.4,0,263,0,0,NA,NA,NA,NA,NA
2,1,2,72036.18,61352.4,6,226,105.78,105.78,NA,105.78,17.63,180,NA
3,1,3,71930.4,61352.4,12,190,211.56,211.56,NA,105.78,17.63,180,0
4,1,4,71718.84,61246.62,18,177,448.091,436.142,NA,236.531,39.422,-153.435,26.565
5,1,5,71507.28,61669.74,24,190,921.154,709.594,NA,473.063,78.844,116.565,-90
6,1,6,71507.28,61563.96,30,166,1026.934,669.011,NA,105.78,17.63,-90,153.435
7,1,7,71930.4,61775.52,36,207,1499.996,473.063,NA,473.063,78.844,26.565,116.565
8,1,8,71930.4,61881.3,42,212,1605.776,569.643,NA,105.78,17.63,90,63.435
9,1,9,71824.62,61881.3,48,173,1711.556,616.798,NA,105.78,17.63,180,90
10,1,10,71824.62,61775.52,54,173,1817.336,528.9,NA,105.78,17.63,-90,90
11,1,11,71824.62,61881.3,59,164,1923.116,616.798,NA,105.78,21.156,90,180
12,2,1,108953.4,49928.16,0,192,0,0,NA,NA,NA,NA,NA
13,2,2,106097.34,50139.72,6,289,2863.885,2863.885,NA,2863.885,477.314,175.764,NA
14,2,3,100173.66,50139.72,12,205,8787.565,8782.289,NA,5923.68,987.28,180,4.236
15,2,4,94778.88,51409.08,18,208,14329.67,14251.672,NA,5542.105,923.684,166.759,-13.241
16,2,5,94249.98,51409.08,24,223,14858.57,14777.811,NA,528.9,88.15,180,13.241
17,2,6,94249.98,51409.08,30,274,14858.57,14777.811,NA,0,0,0,-180
18,2,7,94144.2,51303.3,36,368,15008.165,14872.909,NA,149.596,24.933,-135,-135
19,2,8,92240.16,49928.16,42,317,17356.862,16713.24,NA,2348.697,391.45,-144.162,-9.162
20,2,9,91605.48,47389.44,48,236,19973.715,17532.696,NA,2616.853,436.142,-104.036,40.126
