Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,6,50245.5,50457.06,50316.02,109.249,45379.62,45485.4,45414.88,54.625,29,293,330,313,13.565,236.531,0,236.531,157.688,122.144,NA,NA,NA,NA,0,236.531,47.306,105.78,0,39.422,7.884,17.63,-153.435,0,-30.687,68.618,-153.435,153.435,0,125.279
2,2,6,59554.14,59659.92,59571.77,43.185,50880.18,50985.96,50897.81,43.185,29,216,304,252.667,29.432,317.34,0,105.78,35.26,54.625,NA,NA,NA,NA,0,105.78,63.468,57.938,0,21.156,11.283,10.4,-90,90,0,63.64,-180,90,0,127.279
3,3,6,52784.22,52890,52801.85,43.185,60400.38,60506.16,60488.53,43.185,29,278,341,297.667,25.773,317.34,0,149.596,95.453,49.939,NA,NA,NA,NA,0,105.78,63.468,57.938,0,17.63,10.578,9.656,-90,180,36,102.616,-180,180,-45,155.885
4,4,6,50245.5,50351.28,50298.39,57.938,57438.54,57650.1,57526.69,79.628,29,230,364,290.667,54.456,678.496,0,149.596,85.125,68.788,NA,NA,NA,NA,105.78,211.56,135.699,46.458,17.63,35.26,23.322,7.325,-90,90,-9,92.223,-180,180,0,183.712
5,5,6,68122.32,68333.88,68157.58,86.369,62410.2,62515.98,62445.46,54.625,29,323,378,356.667,23.157,317.34,0,236.531,184.624,91.27,NA,NA,NA,NA,0,211.56,63.468,94.613,0,35.26,10.578,15.769,0,180,54,80.498,-180,90,-45,116.19
6,6,6,78911.88,79123.44,78982.4,86.369,54899.82,54899.82,54899.82,0,29,259,322,284,20.995,423.12,0,211.56,141.04,86.369,NA,NA,NA,NA,0,105.78,84.624,47.306,0,17.63,14.104,7.884,0,180,108,98.59,-180,180,-45,172.337
7,7,6,82931.52,82931.52,82931.52,0,36282.54,36494.1,36423.58,86.369,29,226,280,246.833,23.642,740.46,0,105.78,70.52,54.625,NA,NA,NA,NA,105.78,211.56,148.092,57.938,17.63,42.312,26.092,11.853,-90,90,18,98.59,-180,180,0,207.846
8,8,6,80710.14,80710.14,80710.14,0,71189.94,71295.72,71260.46,54.625,29,252,340,303.167,33.463,317.34,0,105.78,35.26,54.625,NA,NA,NA,NA,0,105.78,63.468,57.938,0,21.156,11.283,10.4,-90,90,-18,75.299,-180,180,-22.5,153.704
9,9,6,56592.3,56698.08,56627.56,54.625,74680.68,74786.46,74768.83,43.185,29,231,315,272.5,31.418,211.56,0,149.596,77.823,62.624,NA,NA,NA,NA,0,105.78,42.312,57.938,0,21.156,7.757,10.695,-90,180,18,98.59,-180,180,-22.5,153.704
10,10,6,44956.5,44956.5,44956.5,0,72882.42,72988.2,72970.57,43.185,29,260,361,310.5,38.025,211.56,0,105.78,17.63,43.185,NA,NA,NA,NA,0,105.78,42.312,57.938,0,21.156,7.757,10.695,-90,90,0,63.64,-90,180,22.5,113.248
11,11,6,47177.88,47389.44,47213.14,86.369,68545.44,68757,68668.85,79.628,29,202,239,215.667,14.292,765.431,0,211.56,88.15,79.628,NA,NA,NA,NA,105.78,236.531,153.086,65.376,17.63,47.306,27.091,13.637,-90,90,5.313,90.781,-180,180,-15.859,191.295
12,12,4,39455.94,39773.28,39561.72,149.596,69814.8,69920.58,69867.69,61.072,18,296,374,344.25,33.886,361.156,0,334.506,121.025,158.834,NA,NA,NA,NA,0,211.56,120.385,108.763,0,35.26,20.064,18.127,-45,0,-15,25.981,-45,45,0,63.64
13,13,6,28877.94,29195.28,28930.83,129.554,69920.58,69920.58,69920.58,0,29,219,309,262.833,29.789,317.34,0,317.34,264.45,129.554,NA,NA,NA,NA,0,317.34,63.468,141.919,0,52.89,10.578,23.653,0,180,36,80.498,-180,0,-45,90
14,14,6,60929.28,61352.4,61105.58,196.952,80075.46,80181.24,80163.61,43.185,29,316,363,337.833,20.312,528.9,0,436.142,274.513,180.707,NA,NA,NA,NA,0,317.34,105.78,129.554,0,52.89,17.63,21.592,0,180,90,90,-180,180,-22.5,185.54
15,15,6,12587.82,12799.38,12675.97,79.628,95625.12,95836.68,95766.16,86.369,29,191,214,200.167,9.411,660.347,0,211.56,138.015,78.96,NA,NA,NA,NA,0,299.191,132.069,108.468,0,59.838,24.006,22.036,-135,45,-36,73.943,-180,90,-33.75,123.92
