Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,82931.52,33955.38,0,328,0,0,NA,NA,NA,NA,NA
2,1,2,82931.52,32157.12,6,330,1798.26,1798.26,NA,1798.26,299.71,-90,NA
3,1,3,83143.08,31416.66,12,296,2568.35,2547.52,NA,770.09,128.348,-74.055,15.945
4,1,4,83143.08,31099.32,18,199,2885.69,2863.885,NA,317.34,52.89,-90,-15.945
5,1,5,83883.54,30781.98,24,193,3691.287,3313.127,NA,805.596,134.266,-23.199,66.801
6,1,6,85047.12,30464.64,30,270,4897.364,4081.792,NA,1206.078,201.013,-15.255,7.943
7,1,7,85470.24,30253.08,36,255,5370.427,4489.112,NA,473.063,78.844,-26.565,-11.31
8,1,8,86633.82,29935.74,42,209,6576.504,5464.845,NA,1206.078,201.013,-15.255,11.31
9,1,9,86316.48,29512.62,48,297,7105.404,5585.344,NA,528.9,88.15,-126.87,-111.615
10,1,10,86316.48,29301.06,54,314,7316.964,5755.054,NA,211.56,35.26,-90,36.87
11,1,11,86528.04,29195.28,59,303,7553.495,5966.03,NA,236.531,47.306,-26.565,63.435
12,2,1,90336.12,19463.52,0,245,0,0,NA,NA,NA,NA,NA
13,2,2,93721.08,17665.26,6,223,3832.974,3832.974,NA,3832.974,638.829,-27.979,NA
14,2,3,97740.72,16395.9,12,182,8048.278,8014.886,NA,4215.303,702.551,-17.526,10.454
15,2,4,101019.9,18088.38,18,240,11738.469,10771.916,NA,3690.191,615.032,27.3,44.825
16,2,5,107366.7,20415.54,24,204,18498.465,17057.168,NA,6759.996,1126.666,20.136,-7.163
17,2,6,107260.92,22319.58,30,245,20405.441,17164.088,NA,1906.976,317.829,93.18,73.044
18,2,7,103981.74,26868.12,36,287,26012.778,15525.175,NA,5607.338,934.556,125.789,32.609
19,2,8,101548.8,31839.78,42,190,31547.812,16700.18,NA,5535.034,922.506,116.075,-9.714
20,2,9,99962.1,33214.92,48,259,33647.485,16785.723,NA,2099.673,349.946,139.086,23.01
21,2,10,94884.66,34272.72,54,210,38833.943,15491.986,NA,5186.457,864.41,168.232,29.146
22,2,11,92345.94,37023,59,271,42576.821,17674.126,NA,3742.878,748.576,132.709,-35.522
23,3,1,105251.1,17982.6,0,290,0,0,NA,NA,NA,NA,NA
24,3,2,105356.88,17982.6,6,206,105.78,105.78,NA,105.78,17.63,0,NA
25,3,3,105568.44,17242.14,12,229,875.87,805.596,NA,770.09,128.348,-74.055,-74.055
26,3,4,106732.02,16290.12,18,182,2379.286,2248.914,NA,1503.416,250.569,-39.289,34.765
27,3,5,106520.46,16713.24,24,201,2852.349,1795.146,NA,473.063,78.844,116.565,155.854
28,3,6,106626.24,16924.8,30,180,3088.88,1734.921,NA,236.531,39.422,63.435,-53.13
29,3,7,107049.36,16395.9,36,182,3766.203,2398.198,NA,677.322,112.887,-51.34,-114.775
30,3,8,107366.7,16290.12,42,182,4100.708,2709.29,NA,334.506,55.751,-18.435,32.905
31,3,9,107260.92,16290.12,48,185,4206.488,2627.521,NA,105.78,17.63,180,-161.565
32,3,10,107578.26,17030.58,54,172,5012.085,2514.362,NA,805.596,134.266,66.801,-113.199
33,3,11,108001.38,16924.8,59,178,5448.227,2946.69,NA,436.142,87.228,-14.036,-80.838
34,4,1,100596.78,11318.46,0,296,0,0,NA,NA,NA,NA,NA
35,4,2,100596.78,11424.24,6,317,105.78,105.78,NA,105.78,17.63,90,NA
36,4,3,100173.66,11424.24,12,322,528.9,436.142,NA,423.12,70.52,180,90
37,4,4,99538.98,11106.9,18,266,1238.494,1078.749,NA,709.594,118.266,-153.435,26.565
38,4,5,99538.98,11106.9,24,226,1238.494,1078.749,NA,0,0,0,153.435
39,4,6,99433.2,11106.9,30,214,1344.274,1182.656,NA,105.78,17.63,180,180
40,4,7,99538.98,11106.9,36,221,1450.054,1078.749,NA,105.78,17.63,0,-180
41,4,8,99433.2,11106.9,42,226,1555.834,1182.656,NA,105.78,17.63,180,180
42,4,9,99433.2,11106.9,48,221,1555.834,1182.656,NA,0,0,0,-180
43,4,10,99538.98,11106.9,54,202,1661.614,1078.749,NA,105.78,17.63,0,0
44,4,11,99433.2,11106.9,59,202,1767.394,1182.656,NA,105.78,21.156,180,180
45,5,1,71189.94,35859.42,0,373,0,0,NA,NA,NA,NA,NA
46,5,2,71084.16,35859.42,6,192,105.78,105.78,NA,105.78,17.63,180,NA
47,5,3,70661.04,35965.2,12,259,541.922,539.374,NA,436.142,72.69,165.964,-14.036
48,5,4,70661.04,35965.2,18,187,541.922,539.374,NA,0,0,0,-165.964
49,5,5,70872.6,35965.2,24,193,753.482,334.506,NA,211.56,35.26,0,0
50,5,6,70872.6,35965.2,30,184,753.482,334.506,NA,0,0,0,0
51,5,7,70766.82,35859.42,36,186,903.078,423.12,NA,149.596,24.933,-135,-135
52,5,8,70872.6,35753.64,42,184,1052.673,334.506,NA,149.596,24.933,-45,90
53,5,9,70766.82,35859.42,48,182,1202.269,423.12,NA,149.596,24.933,135,180
54,5,10,70661.04,35753.64,54,176,1351.864,539.374,NA,149.596,24.933,-135,90
55,5,11,70661.04,35859.42,59,181,1457.644,528.9,NA,105.78,21.156,90,-135
56,6,1,81133.26,53947.8,0,388,0,0,NA,NA,NA,NA,NA
