Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,82931.52,86633.82,84758.629,1573.309,29195.28,33955.38,30733.898,1409.189,59,193,330,272.182,51.242,7553.495,0,5966.03,3805.906,1901.473,NA,NA,NA,NA,211.56,1798.26,755.35,514.718,35.26,299.71,126.68,84.935,-126.87,-15.255,-57.776,40.708,-111.615,66.801,7.048,53.249
2,2,11,90336.12,107366.7,99106.244,5832.394,16395.9,37023,25233.338,7629.864,59,182,287,232.364,33.598,42576.821,0,17674.126,12638.02,6145.453,NA,NA,NA,NA,1906.976,6759.996,4257.682,1546.662,317.829,1126.666,722.09,256.177,-27.979,168.232,77.7,70.793,-35.522,73.044,17.854,32.471
3,3,11,105251.1,108001.38,106664.705,924.922,16290.12,17982.6,16915.184,623.034,59,172,290,198.818,34.391,5448.227,0,2946.69,1807.856,1048.76,NA,NA,NA,NA,105.78,1503.416,544.823,421.236,17.63,250.569,92.258,69.939,-74.055,180,22.965,81.241,-161.565,155.854,-41.56,98.723
4,4,11,99433.2,100596.78,99750.54,468.308,11106.9,11424.24,11183.831,134.56,59,202,322,246.636,45.452,1767.394,0,1182.656,871.595,457.652,NA,NA,NA,NA,0,709.594,176.739,220.434,0,118.266,29.809,36.63,-153.435,180,65.657,114.569,-180,180,50,146.564
5,5,11,70661.04,71189.94,70824.518,179.288,35753.64,35965.2,35878.653,79.415,59,176,373,208.818,58.996,1457.644,0,539.374,372.96,180.928,NA,NA,NA,NA,0,436.142,145.764,122.202,0,72.69,24.647,20.269,-135,180,25.596,114.597,-165.964,180,-10,118.264
6,6,11,81027.48,81239.04,81142.876,87.925,53842.02,54053.58,53928.567,79.415,59,168,388,196.818,63.686,1487.742,0,149.596,102.48,54.716,NA,NA,NA,NA,105.78,236.531,148.774,52.524,17.63,42.312,25.501,9.9,-90,180,47.657,113.738,-135,180,10,128.436
7,7,11,101231.46,101548.8,101346.856,120.185,53842.02,53947.8,53870.869,49.41,59,184,206,195.091,6.92,1363.118,0,334.506,224.612,112.958,NA,NA,NA,NA,0,317.34,136.312,113.678,0,52.89,23.507,19.861,-153.435,180,18.813,103.082,-180,180,-20,130.688
8,8,11,108953.4,109270.74,109126.495,85.58,39879.06,40090.62,40013.689,83.169,59,186,331,209.818,43.079,1388.089,0,334.506,189.989,91.701,NA,NA,NA,NA,0,236.531,138.809,91.813,0,39.422,23.487,15.202,-153.435,180,12.47,92.701,-153.435,153.435,47.048,120.512
9,9,11,10578,19780.86,15405.415,3530.667,56169.18,60294.6,58188.616,1848.854,59,226,373,277.182,52.629,10640.69,0,9919.66,4777.347,3866.876,NA,NA,NA,NA,211.56,2776.599,1064.069,761.25,35.26,462.767,179.143,125.619,-168.69,180,9.384,170.628,-21.93,39.806,5.353,20.339
10,10,11,9414.42,10154.88,9866.389,250.727,60294.6,60717.72,60573.475,144.053,59,187,450,247,86.608,2460.556,0,805.596,433.408,232.566,NA,NA,NA,NA,0,643.435,246.056,189.528,0,107.239,42.007,32.053,-45,180,74.963,90.618,-116.565,180,16.56,109.949
11,11,8,39879.06,40090.62,39931.95,79.962,20732.88,20944.44,20865.105,74.798,42,170,411,209.25,81.717,1027.629,0,211.56,90.289,81.659,NA,NA,NA,NA,0,236.531,146.804,80.994,0,39.422,24.467,13.499,-135,135,19.286,98.543,-143.13,161.565,82.5,115.135
