Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,2,8,68545.44,68757,68571.885,74.798,56909.64,57226.98,57174.09,113.084,42,118,152,128.5,13.234,680.586,0,299.191,116.734,82.494,NA,NA,NA,NA,0,381.395,97.227,167.733,0,63.566,16.204,27.956,-45,123.69,11.241,52.344,-123.69,168.69,7.5,93.186
2,3,8,39773.28,39879.06,39799.725,48.967,54794.04,54794.04,54794.04,0,42,124,141,130.125,5.668,423.12,0,105.78,26.445,48.967,NA,NA,NA,NA,0,105.78,60.446,56.542,0,17.63,10.074,9.424,0,180,51.429,87.831,-180,180,30,135.499
3,4,11,62833.32,62939.1,62842.936,31.894,34484.28,34590.06,34551.595,53.369,59,123,139,130,4.669,784.276,0,149.596,42.449,60.105,NA,NA,NA,NA,0,149.596,78.428,55.784,0,24.933,13.424,9.553,-90,180,22.5,88.105,-180,180,-30,136.862
4,5,11,61140.84,61352.4,61179.305,71.317,25387.2,25492.98,25464.131,49.41,59,141,167,159.364,8.488,846.24,0,211.56,104.13,61.137,NA,NA,NA,NA,0,211.56,84.624,83.44,0,35.26,14.457,14.05,0,180,45,76.485,-180,180,0,119.059
5,6,11,69814.8,70026.36,69920.58,94.613,21261.78,21473.34,21377.176,99.844,59,130,160,144.818,11.044,1338.147,0,299.191,178.318,104.4,NA,NA,NA,NA,0,236.531,133.815,86.348,0,39.422,22.655,14.307,-153.435,180,25.157,91.857,-180,135,-20,112.096
6,7,11,93086.4,93297.96,93182.564,87.925,27608.58,27714.36,27695.127,42.79,59,134,163,151.364,8.732,1251.211,0,149.596,80.914,53.56,NA,NA,NA,NA,0,211.56,125.121,61.162,0,35.26,20.854,10.194,-135,180,63,110.635,-180,180,15,157.5
7,8,11,77748.3,77959.86,77796.382,72.729,9414.42,9625.98,9491.351,68.405,59,113,124,120.182,3.311,1207.396,0,236.531,156.752,73.627,NA,NA,NA,NA,105.78,211.56,120.74,34.755,17.63,35.26,20.476,5.731,-90,180,49.5,109.099,-180,180,30,144.07
8,9,11,63996.9,64208.46,64054.598,72.729,11318.46,11424.24,11414.624,31.894,59,116,157,134.727,14.987,995.836,0,149.596,71.298,57.964,NA,NA,NA,NA,0,211.56,99.584,79.919,0,35.26,17.096,13.753,-135,180,40.5,104.893,-180,180,-35,145.43
9,10,11,39350.16,39455.94,39359.776,31.894,54370.92,54476.7,54447.851,49.41,59,142,165,154.091,6.488,740.46,0,149.596,80.914,53.56,NA,NA,NA,NA,0,105.78,74.046,51.097,0,21.156,12.694,8.827,-90,180,27,85.381,-180,180,10,138.293
10,11,11,27925.92,28137.48,28002.851,95.682,40725.3,40936.86,40898.395,85.58,59,124,150,134.273,7.951,828.091,0,236.531,110.32,75.063,NA,NA,NA,NA,0,299.191,82.809,105.023,0,49.865,14.507,18.574,-45,180,40.5,80.638,-180,180,-10,116.431
11,12,11,65160.48,65266.26,65179.713,42.79,19780.86,19992.42,19857.791,95.682,59,135,167,149.545,10.453,1444.622,0,211.56,84.897,99.874,NA,NA,NA,NA,0,211.56,144.462,81.549,0,42.312,24.782,14.395,-135,90,-9,89.499,-180,180,5,148.303
