Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,2,1,68545.44,57121.2,17,147,0,0,NA,NA,NA,NA,NA
2,2,2,68757,56909.64,23,124,299.191,299.191,NA,299.191,49.865,-45,NA
3,2,3,68545.44,57226.98,29,125,680.586,105.78,NA,381.395,63.566,123.69,168.69
4,2,4,68545.44,57226.98,35,152,680.586,105.78,NA,0,0,0,-123.69
5,2,5,68545.44,57226.98,41,118,680.586,105.78,NA,0,0,0,0
6,2,6,68545.44,57226.98,47,119,680.586,105.78,NA,0,0,0,0
7,2,7,68545.44,57226.98,53,121,680.586,105.78,NA,0,0,0,0
8,2,8,68545.44,57226.98,59,122,680.586,105.78,NA,0,0,0,0
9,3,1,39773.28,54794.04,17,127,0,0,NA,NA,NA,NA,NA
10,3,2,39773.28,54794.04,23,127,0,0,NA,0,0,0,NA
11,3,3,39879.06,54794.04,29,124,105.78,105.78,NA,105.78,17.63,0,0
12,3,4,39773.28,54794.04,35,136,211.56,0,NA,105.78,17.63,180,180
13,3,5,39773.28,54794.04,41,141,211.56,0,NA,0,0,0,-180
14,3,6,39773.28,54794.04,47,127,211.56,0,NA,0,0,0,0
15,3,7,39879.06,54794.04,53,128,317.34,105.78,NA,105.78,17.63,0,0
16,3,8,39773.28,54794.04,59,131,423.12,0,NA,105.78,17.63,180,180
17,4,1,62833.32,34590.06,0,139,0,0,NA,NA,NA,NA,NA
18,4,2,62833.32,34590.06,6,133,0,0,NA,0,0,0,NA
19,4,3,62833.32,34590.06,12,128,0,0,NA,0,0,0,0
20,4,4,62833.32,34590.06,18,125,0,0,NA,0,0,0,0
21,4,5,62939.1,34484.28,24,131,149.596,149.596,NA,149.596,24.933,-45,-45
22,4,6,62833.32,34484.28,30,130,255.376,105.78,NA,105.78,17.63,180,-135
23,4,7,62833.32,34590.06,36,128,361.156,0,NA,105.78,17.63,90,-90
24,4,8,62833.32,34484.28,42,136,466.936,105.78,NA,105.78,17.63,-90,-180
25,4,9,62833.32,34590.06,48,130,572.716,0,NA,105.78,17.63,90,180
26,4,10,62833.32,34484.28,54,127,678.496,105.78,NA,105.78,17.63,-90,-180
27,4,11,62833.32,34590.06,59,123,784.276,0,NA,105.78,21.156,90,180
28,5,1,61140.84,25387.2,0,167,0,0,NA,NA,NA,NA,NA
29,5,2,61352.4,25387.2,6,166,211.56,211.56,NA,211.56,35.26,0,NA
30,5,3,61140.84,25387.2,12,163,423.12,0,NA,211.56,35.26,180,180
31,5,4,61140.84,25492.98,18,166,528.9,105.78,NA,105.78,17.63,90,-90
32,5,5,61140.84,25492.98,24,157,528.9,105.78,NA,0,0,0,-90
33,5,6,61140.84,25492.98,30,158,528.9,105.78,NA,0,0,0,0
34,5,7,61140.84,25492.98,36,166,528.9,105.78,NA,0,0,0,0
35,5,8,61140.84,25492.98,42,153,528.9,105.78,NA,0,0,0,0
36,5,9,61246.62,25492.98,48,141,634.68,149.596,NA,105.78,17.63,0,0
37,5,10,61140.84,25492.98,54,166,740.46,105.78,NA,105.78,17.63,180,180
38,5,11,61246.62,25492.98,59,150,846.24,149.596,NA,105.78,21.156,0,-180
39,6,1,70026.36,21261.78,0,159,0,0,NA,NA,NA,NA,NA
40,6,2,69814.8,21261.78,6,160,211.56,211.56,NA,211.56,35.26,180,NA
41,6,3,70026.36,21261.78,12,146,423.12,0,NA,211.56,35.26,0,-180
42,6,4,70026.36,21367.56,18,154,528.9,105.78,NA,105.78,17.63,90,90
43,6,5,69814.8,21261.78,24,151,765.431,211.56,NA,236.531,39.422,-153.435,116.565
44,6,6,69814.8,21473.34,30,151,976.991,299.191,NA,211.56,35.26,90,-116.565
45,6,7,69814.8,21473.34,36,130,976.991,299.191,NA,0,0,0,-90
46,6,8,69920.58,21367.56,42,134,1126.587,149.596,NA,149.596,24.933,-45,-45
47,6,9,69920.58,21473.34,48,134,1232.367,236.531,NA,105.78,17.63,90,135
48,6,10,69920.58,21473.34,54,132,1232.367,236.531,NA,0,0,0,-90
49,6,11,70026.36,21473.34,59,142,1338.147,211.56,NA,105.78,21.156,0,0
50,7,1,93192.18,27714.36,0,163,0,0,NA,NA,NA,NA,NA
51,7,2,93086.4,27608.58,6,149,149.596,149.596,NA,149.596,24.933,-135,NA
52,7,3,93192.18,27608.58,12,151,255.376,105.78,NA,105.78,17.63,0,135
53,7,4,93297.96,27714.36,18,161,404.971,105.78,NA,149.596,24.933,45,45
54,7,5,93086.4,27714.36,24,155,616.531,105.78,NA,211.56,35.26,180,135
55,7,6,93297.96,27714.36,30,156,828.091,105.78,NA,211.56,35.26,0,-180
56,7,7,93192.18,27714.36,36,147,933.871,0,NA,105.78,17.63,180,180
57,7,8,93297.96,27714.36,42,151,1039.651,105.78,NA,105.78,17.63,0,-180
58,7,9,93192.18,27714.36,48,158,1145.431,0,NA,105.78,17.63,180,180
59,7,10,93086.4,27714.36,54,134,1251.211,105.78,NA,105.78,17.63,180,0
60,7,11,93086.4,27714.36,59,140,1251.211,105.78,NA,0,0,0,-180
61,8,1,77748.3,9625.98,0,122,0,0,NA,NA,NA,NA,NA
62,8,2,77748.3,9414.42,6,123,211.56,211.56,NA,211.56,35.26,-90,NA
63,8,3,77748.3,9520.2,12,123,317.34,105.78,NA,105.78,17.63,90,180
64,8,4,77748.3,9414.42,18,122,423.12,211.56,NA,105.78,17.63,-90,-180
65,8,5,77748.3,9520.2,24,124,528.9,105.78,NA,105.78,17.63,90,180
66,8,6,77854.08,9520.2,30,119,634.68,149.596,NA,105.78,17.63,0,-90
67,8,7,77959.86,9520.2,36,116,740.46,236.531,NA,105.78,17.63,0,0
68,8,8,77854.08,9520.2,42,120,846.24,149.596,NA,105.78,17.63,180,180
69,8,9,77748.3,9520.2,48,121,952.02,105.78,NA,105.78,17.63,180,0
70,8,10,77854.08,9414.42,54,113,1101.616,236.531,NA,149.596,24.933,-45,135
71,8,11,77748.3,9414.42,59,119,1207.396,211.56,NA,105.78,21.156,180,-135
72,9,1,64102.68,11424.24,0,157,0,0,NA,NA,NA,NA,NA
73,9,2,63996.9,11424.24,6,144,105.78,105.78,NA,105.78,17.63,180,NA
74,9,3,63996.9,11424.24,12,149,105.78,105.78,NA,0,0,0,-180
75,9,4,64102.68,11424.24,18,146,211.56,0,NA,105.78,17.63,0,0
76,9,5,64102.68,11424.24,24,147,211.56,0,NA,0,0,0,0
77,9,6,63996.9,11424.24,30,140,317.34,105.78,NA,105.78,17.63,180,180
78,9,7,64208.46,11424.24,36,124,528.9,105.78,NA,211.56,35.26,0,-180
