Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,35753.64,36705.66,36397.936,318.939,41042.64,43158.24,42225.453,696.573,59,137,187,162.364,18.629,2933.472,0,2278.571,1215.743,738.181,NA,NA,NA,NA,0,747.978,293.347,202.843,0,124.663,49.68,33.653,-135,153.435,70.869,86.048,-45,180,47.048,76.148
2,2,11,33426.48,33849.6,33666.889,134.56,54688.26,55217.16,54890.204,233.937,59,145,179,162.182,12.303,1213.523,0,598.382,293.435,244.334,NA,NA,NA,NA,0,473.063,121.352,131.17,0,78.844,20.578,21.844,0,180,74.657,83.767,-180,180,10,152.812
3,3,11,20944.44,21050.22,21030.987,42.79,61563.96,61563.96,61563.96,0,59,135,167,148.727,8.259,423.12,0,105.78,19.233,42.79,NA,NA,NA,NA,0,105.78,42.312,54.625,0,17.63,7.052,9.104,0,180,36,75.895,-180,180,-20,108.167
4,4,11,23588.94,23694.72,23627.405,53.369,53842.02,54159.36,53890.102,98.82,59,142,171,158.909,7.489,703.467,0,334.506,276.919,98.174,NA,NA,NA,NA,0,236.531,70.347,83.272,0,39.422,12.077,14.089,-135,180,-1.843,77.9,-180,180,7.048,114.47
5,5,11,16078.56,16395.9,16145.875,108.627,60400.38,60506.16,60419.613,42.79,59,144,161,154.273,4.86,958.842,0,334.506,253.856,109.153,NA,NA,NA,NA,0,236.531,95.884,91.835,0,39.422,15.981,15.306,-90,180,33.343,90.169,-180,161.565,22.952,120.694
6,6,11,79335,81027.48,79969.68,553.706,29935.74,30253.08,30041.52,105.78,59,154,174,165.545,7.828,2263.648,0,1692.48,1062.028,554.905,NA,NA,NA,NA,0,539.374,226.365,169.856,0,89.896,38.08,28.052,-168.69,180,56.974,136.367,-180,153.435,-30,115.236
7,7,11,66112.5,66324.06,66247.129,68.405,33638.04,33849.6,33772.669,68.405,59,155,188,174.182,9.304,1319.998,0,236.531,100.767,74.931,NA,NA,NA,NA,0,236.531,132,65.285,0,39.422,22.499,11.141,-153.435,180,16.157,105.36,-153.435,180,55,139.434
8,8,11,90336.12,90441.9,90345.736,31.894,9097.08,9308.64,9250.942,72.729,59,146,165,152,6.099,784.276,0,211.56,61.681,76.716,NA,NA,NA,NA,0,149.596,78.428,55.784,0,29.919,13.57,10.103,-90,90,-4.5,74.85,-180,180,-5,124.147
9,9,11,99433.2,99644.76,99558.213,63.788,13010.94,13116.72,13030.173,42.79,59,136,159,149.273,6.342,660.347,0,149.596,108.113,41.096,NA,NA,NA,NA,0,149.596,66.035,71.422,0,24.933,11.358,12.171,-135,180,22.5,95.459,-180,180,25,135.208
10,10,11,106414.68,106520.46,106443.529,49.41,2115.6,2221.38,2192.531,49.41,59,136,150,143.636,3.88,722.311,0,149.596,52.065,61.088,NA,NA,NA,NA,0,149.596,72.231,64.414,0,24.933,12.391,10.994,-135,180,18,85.381,-180,180,50,115.704
11,11,11,42840.9,43052.46,42985.145,85.58,23165.82,23483.16,23252.367,92.437,59,134,158,144.455,9.791,1232.367,0,236.531,165.212,95.594,NA,NA,NA,NA,0,236.531,123.237,96.093,0,39.422,20.539,16.016,-90,180,34.157,92.404,-180,180,40,106.993
