Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,36599.88,41042.64,0,183,0,0,NA,NA,NA,NA,NA
2,1,2,36599.88,41254.2,6,163,211.56,211.56,NA,211.56,35.26,90,NA
3,1,3,36599.88,41677.32,12,137,634.68,634.68,NA,423.12,70.52,90,0
4,1,4,36705.66,41994.66,18,147,969.186,957.879,NA,334.506,55.751,71.565,-18.435
5,1,5,36494.1,42312,24,138,1350.581,1273.76,NA,381.395,63.566,123.69,52.125
6,1,6,36388.32,42206.22,30,140,1500.176,1182.656,NA,149.596,24.933,-135,101.31
7,1,7,36599.88,42417.78,36,169,1799.367,1375.14,NA,299.191,49.865,45,180
8,1,8,36599.88,42417.78,42,172,1799.367,1375.14,NA,0,0,0,-45
9,1,9,36070.98,42946.68,48,187,2547.345,1976.133,NA,747.978,124.663,135,135
10,1,10,35965.2,43052.46,54,177,2696.941,2107.652,NA,149.596,24.933,135,0
11,1,11,35753.64,43158.24,59,173,2933.472,2278.571,NA,236.531,47.306,153.435,18.435
12,2,1,33849.6,54688.26,0,158,0,0,NA,NA,NA,NA,NA
13,2,2,33849.6,54688.26,6,149,0,0,NA,0,0,0,NA
14,2,3,33743.82,54688.26,12,152,105.78,105.78,NA,105.78,17.63,180,180
15,2,4,33743.82,54688.26,18,155,105.78,105.78,NA,0,0,0,-180
16,2,5,33638.04,54688.26,24,171,211.56,211.56,NA,105.78,17.63,180,180
17,2,6,33743.82,54688.26,30,179,317.34,105.78,NA,105.78,17.63,0,-180
18,2,7,33532.26,55111.38,36,145,790.403,528.9,NA,473.063,78.844,116.565,116.565
19,2,8,33426.48,55111.38,42,153,896.183,598.382,NA,105.78,17.63,180,63.435
20,2,9,33532.26,55111.38,48,176,1001.963,528.9,NA,105.78,17.63,0,-180
21,2,10,33638.04,55111.38,54,174,1107.743,473.063,NA,105.78,17.63,0,0
22,2,11,33638.04,55217.16,59,172,1213.523,569.643,NA,105.78,21.156,90,90
23,3,1,21050.22,61563.96,0,167,0,0,NA,NA,NA,NA,NA
24,3,2,20944.44,61563.96,6,151,105.78,105.78,NA,105.78,17.63,180,NA
25,3,3,21050.22,61563.96,12,157,211.56,0,NA,105.78,17.63,0,-180
26,3,4,21050.22,61563.96,18,145,211.56,0,NA,0,0,0,0
27,3,5,21050.22,61563.96,24,147,211.56,0,NA,0,0,0,0
28,3,6,21050.22,61563.96,30,146,211.56,0,NA,0,0,0,0
29,3,7,20944.44,61563.96,36,141,317.34,105.78,NA,105.78,17.63,180,180
30,3,8,21050.22,61563.96,42,135,423.12,0,NA,105.78,17.63,0,-180
31,3,9,21050.22,61563.96,48,150,423.12,0,NA,0,0,0,0
32,3,10,21050.22,61563.96,54,148,423.12,0,NA,0,0,0,0
33,3,11,21050.22,61563.96,59,149,423.12,0,NA,0,0,0,0
34,4,1,23588.94,54159.36,0,142,0,0,NA,NA,NA,NA,NA
35,4,2,23694.72,53947.8,6,163,236.531,236.531,NA,236.531,39.422,-63.435,NA
36,4,3,23694.72,53947.8,12,159,236.531,236.531,NA,0,0,0,63.435
37,4,4,23588.94,53842.02,18,160,386.127,317.34,NA,149.596,24.933,-135,-135
38,4,5,23588.94,53842.02,24,161,386.127,317.34,NA,0,0,0,135
39,4,6,23588.94,53842.02,30,166,386.127,317.34,NA,0,0,0,0
40,4,7,23588.94,53842.02,36,171,386.127,317.34,NA,0,0,0,0
41,4,8,23694.72,53842.02,42,160,491.907,334.506,NA,105.78,17.63,0,0
42,4,9,23588.94,53842.02,48,157,597.687,317.34,NA,105.78,17.63,180,180
43,4,10,23588.94,53842.02,54,157,597.687,317.34,NA,0,0,0,-180
44,4,11,23694.72,53842.02,59,152,703.467,334.506,NA,105.78,21.156,0,0
45,5,1,16395.9,60400.38,0,144,0,0,NA,NA,NA,NA,NA
46,5,2,16184.34,60506.16,6,157,236.531,236.531,NA,236.531,39.422,153.435,NA
47,5,3,16290.12,60400.38,12,152,386.127,105.78,NA,149.596,24.933,-45,161.565
48,5,4,16078.56,60400.38,18,156,597.687,317.34,NA,211.56,35.26,180,-135
49,5,5,16078.56,60400.38,24,157,597.687,317.34,NA,0,0,0,-180
50,5,6,16078.56,60400.38,30,153,597.687,317.34,NA,0,0,0,0
51,5,7,16078.56,60400.38,36,161,597.687,317.34,NA,0,0,0,0
52,5,8,16184.34,60400.38,42,158,703.467,211.56,NA,105.78,17.63,0,0
53,5,9,16078.56,60506.16,48,152,853.062,334.506,NA,149.596,24.933,135,135
54,5,10,16078.56,60400.38,54,149,958.842,317.34,NA,105.78,17.63,-90,135
55,5,11,16078.56,60400.38,59,158,958.842,317.34,NA,0,0,0,90
56,6,1,81027.48,30041.52,0,172,0,0,NA,NA,NA,NA,NA
57,6,2,80815.92,30041.52,6,168,211.56,211.56,NA,211.56,35.26,180,NA
58,6,3,80287.02,29935.74,12,172,750.934,747.978,NA,539.374,89.896,-168.69,11.31
59,6,4,80075.46,29935.74,18,155,962.494,957.879,NA,211.56,35.26,180,-11.31
60,6,5,79969.68,29935.74,24,154,1068.274,1063.076,NA,105.78,17.63,180,0
61,6,6,79969.68,29935.74,30,174,1068.274,1063.076,NA,0,0,0,-180
62,6,7,79546.56,30147.3,36,170,1541.337,1484.693,NA,473.063,78.844,153.435,153.435
63,6,8,79546.56,30041.52,42,154,1647.117,1480.92,NA,105.78,17.63,-90,116.565
64,6,9,79335,30041.52,48,162,1858.677,1692.48,NA,211.56,35.26,180,-90
65,6,10,79546.56,30253.08,54,171,2157.868,1495.955,NA,299.191,49.865,45,-135
66,6,11,79546.56,30147.3,59,169,2263.648,1484.693,NA,105.78,21.156,-90,-135
67,7,1,66218.28,33849.6,0,182,0,0,NA,NA,NA,NA,NA
68,7,2,66218.28,33849.6,6,179,0,0,NA,0,0,0,NA
69,7,3,66218.28,33743.82,12,178,105.78,105.78,NA,105.78,17.63,-90,-90
70,7,4,66324.06,33743.82,18,167,211.56,149.596,NA,105.78,17.63,0,90
71,7,5,66218.28,33849.6,24,188,361.156,0,NA,149.596,24.933,135,135
72,7,6,66324.06,33849.6,30,182,466.936,105.78,NA,105.78,17.63,0,-135
73,7,7,66112.5,33743.82,36,175,703.467,149.596,NA,236.531,39.422,-153.435,-153.435
74,7,8,66324.06,33743.82,42,155,915.027,149.596,NA,211.56,35.26,0,153.435
75,7,9,66218.28,33743.82,48,175,1020.807,105.78,NA,105.78,17.63,180,180
76,7,10,66324.06,33638.04,54,169,1170.402,236.531,NA,149.596,24.933,-45,135
77,7,11,66218.28,33743.82,59,166,1319.998,105.78,NA,149.596,29.919,135,180
78,8,1,90336.12,9308.64,0,148,0,0,NA,NA,NA,NA,NA
79,8,2,90336.12,9308.64,6,156,0,0,NA,0,0,0,NA
80,8,3,90336.12,9308.64,12,148,0,0,NA,0,0,0,0
81,8,4,90336.12,9308.64,18,165,0,0,NA,0,0,0,0
82,8,5,90336.12,9202.86,24,160,105.78,105.78,NA,105.78,17.63,-90,-90
83,8,6,90336.12,9097.08,30,151,211.56,211.56,NA,105.78,17.63,-90,0
84,8,7,90336.12,9202.86,36,154,317.34,105.78,NA,105.78,17.63,90,180
85,8,8,90336.12,9308.64,42,146,423.12,0,NA,105.78,17.63,90,0
86,8,9,90336.12,9202.86,48,148,528.9,105.78,NA,105.78,17.63,-90,-180
87,8,10,90336.12,9308.64,54,147,634.68,0,NA,105.78,17.63,90,180
88,8,11,90441.9,9202.86,59,149,784.276,149.596,NA,149.596,29.919,-45,-135
89,9,1,99538.98,13116.72,0,159,0,0,NA,NA,NA,NA,NA
90,9,2,99644.76,13010.94,6,148,149.596,149.596,NA,149.596,24.933,-45,NA
91,9,3,99644.76,13010.94,12,151,149.596,149.596,NA,0,0,0,45
92,9,4,99538.98,13010.94,18,145,255.376,105.78,NA,105.78,17.63,180,180
93,9,5,99538.98,13010.94,24,151,255.376,105.78,NA,0,0,0,-180
94,9,6,99644.76,13116.72,30,136,404.971,105.78,NA,149.596,24.933,45,45
95,9,7,99538.98,13010.94,36,151,554.567,105.78,NA,149.596,24.933,-135,-180
96,9,8,99538.98,13010.94,42,143,554.567,105.78,NA,0,0,0,135
97,9,9,99538.98,13010.94,48,151,554.567,105.78,NA,0,0,0,0
98,9,10,99538.98,13010.94,54,150,554.567,105.78,NA,0,0,0,0
99,9,11,99433.2,13010.94,59,157,660.347,149.596,NA,105.78,21.156,180,180
100,10,1,106414.68,2221.38,0,145,0,0,NA,NA,NA,NA,NA
101,10,2,106520.46,2221.38,6,143,105.78,105.78,NA,105.78,17.63,0,NA
102,10,3,106414.68,2221.38,12,148,211.56,0,NA,105.78,17.63,180,180
103,10,4,106414.68,2221.38,18,143,211.56,0,NA,0,0,0,-180
104,10,5,106414.68,2221.38,24,147,211.56,0,NA,0,0,0,0
105,10,6,106414.68,2221.38,30,140,211.56,0,NA,0,0,0,0
106,10,7,106520.46,2115.6,36,142,361.156,149.596,NA,149.596,24.933,-45,-45
107,10,8,106520.46,2221.38,42,150,466.936,105.78,NA,105.78,17.63,90,135
108,10,9,106414.68,2115.6,48,144,616.531,105.78,NA,149.596,24.933,-135,135
109,10,10,106414.68,2115.6,54,136,616.531,105.78,NA,0,0,0,135
110,10,11,106414.68,2221.38,59,142,722.311,0,NA,105.78,21.156,90,90
111,11,1,42840.9,23271.6,0,154,0,0,NA,NA,NA,NA,NA
112,11,2,43052.46,23271.6,6,140,211.56,211.56,NA,211.56,35.26,0,NA
113,11,3,42946.68,23271.6,12,135,317.34,105.78,NA,105.78,17.63,180,180
114,11,4,42840.9,23271.6,18,137,423.12,0,NA,105.78,17.63,180,0
115,11,5,43052.46,23271.6,24,135,634.68,211.56,NA,211.56,35.26,0,-180
116,11,6,42946.68,23483.16,30,136,871.211,236.531,NA,236.531,39.422,116.565,116.565
117,11,7,42946.68,23271.6,36,134,1082.771,105.78,NA,211.56,35.26,-90,153.435
118,11,8,43052.46,23165.82,42,156,1232.367,236.531,NA,149.596,24.933,-45,45
119,11,9,43052.46,23165.82,48,151,1232.367,236.531,NA,0,0,0,45
120,11,10,43052.46,23165.82,54,158,1232.367,236.531,NA,0,0,0,0
121,11,11,43052.46,23165.82,59,153,1232.367,236.531,NA,0,0,0,0
