Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
215,23,10,125137.74,93932.64,53,295,6650.506,6244.605,NA,1206.078,241.216,-15.255,-15.255
216,24,1,121858.56,100914.12,0,318,0,0,NA,NA,NA,NA,NA
217,24,2,121647,101019.9,6,316,236.531,236.531,NA,236.531,39.422,153.435,NA
218,24,3,121541.22,100914.12,12,312,386.127,317.34,NA,149.596,24.933,-135,71.565
219,24,4,121435.44,100914.12,18,343,491.907,423.12,NA,105.78,17.63,180,-45
220,24,5,121329.66,100914.12,24,328,597.687,528.9,NA,105.78,17.63,180,0
221,24,6,121329.66,100914.12,30,345,597.687,528.9,NA,0,0,0,-180
222,24,7,121223.88,100808.34,36,326,747.282,643.435,NA,149.596,24.933,-135,-135
223,24,8,121223.88,100808.34,42,349,747.282,643.435,NA,0,0,0,135
224,24,9,121118.1,100596.78,48,339,983.814,805.596,NA,236.531,39.422,-116.565,-116.565
225,24,10,120906.54,100385.22,53,306,1283.005,1089.072,NA,299.191,59.838,-135,-18.435
226,25,1,119954.52,59659.92,0,339,0,0,NA,NA,NA,NA,NA
227,25,2,120166.08,59659.92,6,358,211.56,211.56,NA,211.56,35.26,0,NA
228,25,3,120271.86,59659.92,12,278,317.34,317.34,NA,105.78,17.63,0,0
229,25,4,120271.86,59659.92,18,280,317.34,317.34,NA,0,0,0,0
230,25,6,120483.42,59977.26,30,342,698.735,616.798,NA,381.395,31.783,56.31,56.31
231,25,7,120906.54,60083.04,36,333,1134.877,1041.812,NA,436.142,72.69,14.036,-42.274
232,25,8,121223.88,60400.38,42,324,1583.664,1469.543,NA,448.787,74.798,45,30.964
233,25,9,121435.44,60506.16,48,308,1820.195,1705.651,NA,236.531,39.422,26.565,-18.435
234,25,10,121541.22,60506.16,53,284,1925.975,1798.26,NA,105.78,21.156,0,-26.565
235,26,1,90653.46,55534.5,0,299,0,0,NA,NA,NA,NA,NA
236,26,2,90653.46,55428.72,6,256,105.78,105.78,NA,105.78,17.63,-90,NA
237,26,3,90653.46,55322.94,12,298,211.56,211.56,NA,105.78,17.63,-90,0
238,26,4,90653.46,55428.72,18,298,317.34,105.78,NA,105.78,17.63,90,180
239,26,5,90653.46,55428.72,24,317,317.34,105.78,NA,0,0,0,-90
240,26,6,90653.46,55428.72,30,328,317.34,105.78,NA,0,0,0,0
241,26,7,90653.46,55322.94,36,378,423.12,211.56,NA,105.78,17.63,-90,-90
242,26,8,90759.24,55217.16,42,369,572.716,334.506,NA,149.596,24.933,-45,45
243,26,9,90970.8,55322.94,48,310,809.247,381.395,NA,236.531,39.422,26.565,71.565
244,26,10,90970.8,55217.16,53,323,915.027,448.787,NA,105.78,21.156,-90,-116.565
245,27,1,25175.64,43475.58,0,302,0,0,NA,NA,NA,NA,NA
246,27,2,25175.64,43264.02,6,431,211.56,211.56,NA,211.56,35.26,-90,NA
247,27,3,25175.64,43264.02,12,458,211.56,211.56,NA,0,0,0,90
248,27,4,25281.42,43264.02,18,493,317.34,236.531,NA,105.78,17.63,0,0
249,27,5,25704.54,43158.24,24,485,753.482,616.798,NA,436.142,72.69,-14.036,-14.036
250,27,6,25810.32,43158.24,30,438,859.262,709.594,NA,105.78,17.63,0,14.036
251,27,7,25810.32,43158.24,36,511,859.262,709.594,NA,0,0,0,0
252,27,8,26127.66,43687.14,42,375,1476.06,975.243,NA,616.798,102.8,59.036,59.036
253,27,9,26127.66,43687.14,48,372,1476.06,975.243,NA,0,0,0,-59.036
254,27,10,26127.66,43581.36,53,363,1581.84,957.879,NA,105.78,21.156,-90,-90
255,28,1,104087.52,59025.24,0,402,0,0,NA,NA,NA,NA,NA
256,28,2,103875.96,59342.58,6,390,381.395,381.395,NA,381.395,63.566,123.69,NA
257,28,3,103664.4,59977.26,12,250,1050.407,1041.812,NA,669.011,111.502,108.435,-15.255
258,28,4,103875.96,59977.26,18,331,1261.967,975.243,NA,211.56,35.26,0,-108.435
259,28,5,103875.96,60188.82,24,380,1473.527,1182.656,NA,211.56,35.26,90,90
260,28,6,103981.74,60294.6,30,378,1623.122,1273.76,NA,149.596,24.933,45,-45
261,28,7,104193.3,60823.5,36,368,2192.765,1801.368,NA,569.643,94.94,68.199,23.199
262,28,8,104510.64,61035.06,42,333,2574.16,2053.876,NA,381.395,63.566,33.69,-34.509
263,28,9,104616.42,61246.62,48,254,2810.691,2283.476,NA,236.531,39.422,63.435,29.745
264,28,10,104404.86,61458.18,53,317,3109.882,2453.549,NA,299.191,59.838,135,71.565
