Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,10,52149.54,56486.52,53990.112,1737.57,11953.14,13010.94,12492.618,313.199,53,346,470,411.8,38.539,5008.468,0,4383.174,1953.31,1714.793,NA,NA,NA,NA,211.56,1104.376,556.496,344.614,35.26,184.063,93.625,56.574,-90,153.435,0.444,65.151,-26.565,143.973,30.429,54.868
2,2,10,52572.66,56698.08,54582.48,1564.209,13857.18,15655.44,14724.576,685.17,53,288,417,345.1,39.233,5225.355,0,4420.035,2198.249,1694.449,NA,NA,NA,NA,211.56,1273.76,580.595,409.457,35.26,212.293,97.642,67.461,-4.764,116.565,35.086,41.713,-66.801,79.695,12.266,58.275
3,3,10,56063.4,57650.1,56581.722,455.523,15549.66,18511.5,16998.846,1144.783,53,231,374,287,40.871,4760.592,0,3182.203,1501.622,1164.551,NA,NA,NA,NA,0,1057.8,528.955,350.74,0,176.3,91.011,61.223,0,126.87,50.306,46.62,-107.103,100.305,1.993,78.883
4,4,10,120166.08,122810.58,121456.596,891.736,40407.96,41359.98,40862.814,277.861,53,203,315,238.8,33.572,4002.016,0,2652.949,1404.658,872.048,NA,NA,NA,NA,149.596,709.594,444.668,183.061,24.933,118.266,74.987,29.486,-63.435,146.31,26.61,71.087,-98.13,135,-10.655,69.819
5,5,10,134657.94,135504.18,135007.014,264.097,48447.24,49716.6,48891.516,434.142,53,235,358,289.7,44.699,1837.735,0,1419.188,694.53,464.982,NA,NA,NA,NA,0,334.506,204.193,120.976,0,66.901,35.271,21.929,0,180,107.048,57.162,-135,90,-13.554,72.142
6,6,10,137937.12,141110.52,139566.132,1075.517,39032.82,40513.74,39857.904,508.038,53,236,333,303.5,28.072,3754.404,0,3458.537,1716.8,1168.326,NA,NA,NA,NA,236.531,569.643,417.156,112.388,39.422,94.94,70.765,18.063,-165.964,180,116.85,107.928,-77.471,42.274,-4.059,35.823
7,7,10,44639.16,46543.2,45305.574,602.626,31099.32,34590.06,32749.488,1160.049,53,313,414,362.7,29.758,4291.368,0,3976.259,1968.237,1289.203,NA,NA,NA,NA,334.506,677.322,476.819,140.583,55.751,135.464,81.978,28.182,-108.435,-26.565,-64.647,24.443,-29.745,45,5.004,29.362
8,8,10,46437.42,47601,46913.43,393.43,46120.08,48341.46,47061.522,682.716,53,281,412,371.4,46.376,2805.678,0,2507.678,1458.29,776.877,NA,NA,NA,NA,0,762.79,311.742,255.937,0,127.132,52.349,42.316,-135,180,-57.422,103.281,-22.38,180,57.664,74.281
9,9,10,58073.22,59765.7,58845.414,590.118,61881.3,66641.4,64695.048,1748.27,53,333,564,413.5,72.884,5329.041,0,5052.033,2962.085,1842.213,NA,NA,NA,NA,236.531,975.243,592.116,267.082,39.422,162.541,99.562,43.262,90,180,115.648,25.826,-63.435,90,2.138,43.684
10,10,10,58919.46,60823.5,60104.196,620.416,68651.22,69074.34,68915.67,151.659,53,348,458,399.9,39.884,3135.728,0,1906.976,1192.687,624.518,NA,NA,NA,NA,149.596,528.9,348.414,126.052,24.933,88.15,58.945,20.286,-126.87,45,-15.656,62.7,-153.435,161.565,3.321,110.083
11,11,10,95096.22,98163.84,96799.278,1129.917,66218.28,70237.92,67953.072,1554.802,53,222,379,318.1,45.123,5260.13,0,5056.461,2851.519,1919.052,NA,NA,NA,NA,105.78,975.243,584.459,290.285,21.156,162.541,97.802,47.663,-75.964,0,-45.213,23.444,-26.565,45,7.039,22.171
12,12,10,90018.78,94567.32,92335.362,1548.593,7404.6,8673.96,7891.188,473.588,53,223,405,313.1,73.861,5679.014,0,4722.34,2457.1,1599.35,NA,NA,NA,NA,149.596,1089.072,631.002,404.089,24.933,181.512,105.721,66.622,-135,135,-1.274,74.197,-180,146.31,21.484,103.012
13,13,10,109270.74,110222.76,109778.484,272.211,4442.76,6029.46,5088.018,567.346,53,247,389,324.8,45.308,2644.273,0,1600.742,692.312,577.933,NA,NA,NA,NA,0,826.168,293.808,235.249,0,137.695,49.752,38.97,0,165.964,71.969,62.709,-165.964,165.964,0,101.754
14,14,10,59448.36,60506.16,59839.746,448.925,80181.24,80392.8,80265.864,83.44,53,232,398,328.1,59.45,1980.344,0,872.284,355.655,334.422,NA,NA,NA,NA,105.78,747.978,220.038,205.036,17.63,124.663,37.065,33.946,-135,180,28.855,107.531,-180,135,-22.5,113.087
15,15,10,63679.56,66747.18,65202.792,1131.841,97317.6,99962.1,98936.034,903.165,53,265,355,329.6,29.953,4463.763,0,4050.145,2252.792,1420.675,NA,NA,NA,NA,105.78,1041.812,495.974,254.044,17.63,173.635,84.278,42.19,0,165.964,124.239,50.273,-123.69,165.964,5.625,80.597
16,16,10,37446.12,40196.4,38662.59,1024.666,99644.76,101866.14,100491,863.69,53,204,332,257.7,40.142,5567.384,0,3535.332,1507.03,1308.558,NA,NA,NA,NA,236.531,1057.8,618.598,248.671,39.422,176.3,105.842,43.712,-168.69,63.435,-2.224,78.089,-154.654,14.036,-59.571,62.431
17,17,10,60506.16,63362.22,61288.932,899.234,106837.8,107789.82,107155.14,273.123,53,209,358,288.4,49.426,3720.839,0,2978.792,821.735,929.239,NA,NA,NA,NA,105.78,1278.145,413.427,376.825,17.63,255.629,73.638,75.373,-153.435,90,0.327,69.439,-167.471,162.897,3.055,105.958
18,18,10,12482.04,14703.42,13063.83,807.523,67487.64,69603.24,68841.624,877.684,53,253,417,330.2,65.358,3555.358,0,3067.62,2145.551,1153.892,NA,NA,NA,NA,0,1104.376,395.04,389.521,0,184.063,65.84,64.92,-90,180,86.968,94.96,-61.991,90,23.914,56.336
