Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
19,19,11,41994.66,43264.02,42302.384,364.763,72565.08,72882.42,72776.64,94.613,59,219,389,266.545,52.73,1831.003,0,1273.76,358.081,342.682,NA,NA,NA,NA,0,643.435,183.1,190.005,0,128.687,32.661,37.61,-90,90,3.554,60.256,-135,153.435,8.949,84.443
20,20,11,103875.96,107260.92,105847.315,1281.006,72776.64,72988.2,72882.42,66.901,59,241,366,306.182,38.128,3496.087,0,3384.96,1424.762,1273.942,NA,NA,NA,NA,105.78,740.46,349.609,213.799,17.63,123.41,58.767,35.146,-168.69,180,107.727,137.759,-14.036,45,10,18.648
21,21,11,72141.96,73728.66,72757.407,497.994,6558.36,7510.38,7269.971,280.231,59,244,402,312.636,51.475,2542.124,0,1614.662,521.904,475.689,NA,NA,NA,NA,0,805.596,254.212,262.078,0,134.266,43.946,45.394,-90,153.435,1.367,71.256,-153.435,116.565,-24.097,82.833
22,22,11,85047.12,88326.3,87143.487,1287.58,5077.44,10789.56,7202.656,1997.789,59,255,404,331.727,52.696,7176.034,0,6434.346,4167.228,2352.307,NA,NA,NA,NA,0,1760.53,717.603,534.493,0,293.422,119.953,88.64,-126.87,0,-64.179,36.362,-126.87,46.96,-1.56,55.028
23,23,11,76267.38,76690.5,76517.405,151.622,24435.18,26550.78,25300.653,781.367,59,321,445,398.545,38.334,2370.297,0,2139.268,884.349,793.819,NA,NA,NA,NA,0,709.594,237.03,251.285,0,118.266,39.858,41.691,0,116.565,55.404,51.314,-104.036,116.565,10,72.831
24,24,11,73305.54,74151.78,73613.264,293.354,23694.72,26021.88,24954.464,838.875,59,302,568,414.182,73.251,3014.173,0,2377.11,1230.228,833.018,NA,NA,NA,NA,0,598.382,301.417,205.009,0,99.73,50.236,34.168,-45,135,45.44,55.399,-90,108.435,5,70.693
25,25,11,18088.38,21473.34,19973.187,1216.993,39773.28,42417.78,41081.105,1087.296,59,215,376,267.273,62.408,5040.7,0,4295.502,2330.767,1600.212,NA,NA,NA,NA,0,1273.76,504.07,350.695,0,212.293,85.283,58.092,-90,146.31,-17.46,64.488,-123.69,40.236,-22.184,55.764
26,26,11,91711.26,92663.28,92230.544,329.296,94567.32,95625.12,95086.604,349.089,59,234,364,290.273,35.997,1984.098,0,1354.645,748.817,454.688,NA,NA,NA,NA,0,473.063,198.41,160.88,0,78.844,33.857,27.135,0,135,38.657,50.16,-116.565,135,-4.097,88.135
27,27,11,108424.5,109376.52,108963.016,256.741,95730.9,97000.26,96404.045,367.265,59,201,299,251.545,38.493,1982.007,0,1586.7,811.848,431.057,NA,NA,NA,NA,0,616.798,198.201,186.219,0,102.8,33.822,31.316,-153.435,0,-48.414,47.617,-153.435,90,-3.608,69.936
28,28,11,114771.3,116463.78,115579.075,629.853,97952.28,99962.1,98644.658,745.526,59,248,320,292.909,21.04,3046.342,0,2398.198,1089.405,873.108,NA,NA,NA,NA,0,569.643,304.634,169.331,0,94.94,51.561,27.979,-135,180,86.867,92.513,-135,180,-17.952,86.073
