Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,3,102712.38,102712.38,102712.38,0,46543.2,46543.2,46543.2,0,12,341,425,380.333,42.253,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,2,3,107049.36,107155.14,107119.88,61.072,43475.58,43475.58,43475.58,0,12,345,380,360.667,17.786,105.78,0,105.78,35.26,61.072,NA,NA,NA,NA,0,105.78,52.89,74.798,0,17.63,8.815,12.466,0,180,90,127.279,180,180,180,NA
3,3,11,72882.42,74892.24,74065.233,715.589,70661.04,72459.3,71334.185,631.627,59,353,656,418.818,87.562,2925.667,0,2696.871,1635.158,949.382,NA,NA,NA,NA,0,747.978,292.567,235.222,0,124.663,49.114,38.907,-90,180,-20.575,74.691,-135,45,-16.257,59.675
4,4,11,69391.68,69391.68,69391.68,0,66218.28,66324.06,66285.595,53.369,59,274,335,300.909,18.036,528.9,0,105.78,38.465,53.369,NA,NA,NA,NA,0,105.78,52.89,55.751,0,21.156,9.168,9.721,-90,90,-9,66.408,-180,180,-10,114.237
5,5,11,122387.46,122493.24,122406.693,42.79,91711.26,91817.04,91740.109,49.41,59,253,347,294.091,29.71,528.9,0,149.596,98.497,52.493,NA,NA,NA,NA,0,105.78,52.89,55.751,0,17.63,8.815,9.292,-90,180,18,82.704,-180,180,0,127.279
6,6,2,131590.32,131590.32,131590.32,0,73517.1,73517.1,73517.1,0,6,259,261,260,1.414,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
7,7,3,129474.72,129474.72,129474.72,0,74151.78,74257.56,74187.04,61.072,12,260,271,266.333,5.686,105.78,0,105.78,70.52,61.072,NA,NA,NA,NA,0,105.78,52.89,74.798,0,17.63,8.815,12.466,-90,0,-45,63.64,90,90,90,NA
8,8,11,14280.3,14491.86,14357.231,83.169,30253.08,30464.64,30339.627,92.437,59,196,215,205.273,5.884,1874.564,0,236.531,137.519,96.998,NA,NA,NA,NA,105.78,299.191,187.456,56.804,17.63,49.865,31.948,10.045,-90,180,37.843,101.24,-161.565,180,-15,150.751
9,9,3,34801.62,34801.62,34801.62,0,41677.32,41677.32,41677.32,0,12,242,290,264.333,24.173,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10,10,8,32686.02,32686.02,32686.02,0,20627.1,20627.1,20627.1,0,42,224,390,332.75,52.722,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,24964.08,25175.64,25079.476,74.115,20521.32,20521.32,20521.32,0,59,307,363,322.182,17.753,634.68,0,211.56,96.164,74.115,NA,NA,NA,NA,0,105.78,63.468,54.625,0,21.156,10.931,9.469,0,180,72,92.952,-180,180,0,155.885
12,12,2,98481.18,98481.18,98481.18,0,15549.66,15549.66,15549.66,0,6,275,304,289.5,20.506,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA
13,13,11,114453.96,114453.96,114453.96,0,6558.36,6769.92,6644.907,79.415,59,211,319,277.091,28.413,846.24,0,211.56,86.547,79.415,NA,NA,NA,NA,0,105.78,84.624,44.601,0,21.156,14.457,7.698,-90,90,18,82.704,-180,180,10,138.293
14,14,11,131907.66,132013.44,131926.893,42.79,4125.42,4231.2,4135.036,31.894,59,271,332,297.727,17.647,466.936,0,149.596,90.531,46.627,NA,NA,NA,NA,0,149.596,46.694,61.594,0,24.933,7.782,10.266,-90,180,22.5,77.217,-180,180,25,103.38
15,15,11,131061.42,131061.42,131061.42,0,55957.62,55957.62,55957.62,0,59,214,259,239.273,12.475,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,11,78277.2,78700.32,78431.062,166.338,19251.96,19251.96,19251.96,0,59,276,484,342.455,75.007,1057.8,0,317.34,201.944,110.484,NA,NA,NA,NA,0,317.34,105.78,99.73,0,52.89,17.983,16.659,0,180,72,92.952,-180,180,-20,140.712
17,17,11,78277.2,78488.76,78334.898,86.761,28983.72,28983.72,28983.72,0,59,357,438,387.636,25.531,1057.8,0,211.56,153.862,86.761,NA,NA,NA,NA,0,211.56,105.78,86.369,0,35.26,17.63,14.395,0,180,72,92.952,-180,180,-20,167.033
18,18,11,82296.84,82508.4,82335.305,71.317,37023,37128.78,37051.849,49.41,59,208,268,224.636,17.642,1089.594,0,236.531,59.968,78.196,NA,NA,NA,NA,0,236.531,108.959,89.131,0,39.422,18.659,15.188,-153.435,135,-3.687,82.031,-180,135,-5,116.856
19,19,11,80075.46,80604.36,80325.485,127.575,60506.16,61352.4,60929.28,267.605,59,200,364,253,47.354,3117.421,0,770.09,370.585,229.305,NA,NA,NA,NA,0,643.435,311.742,214.904,0,107.239,53.228,36.494,-99.462,123.69,20.423,91.802,-165.964,170.538,43.743,127.24
20,20,11,20203.98,20203.98,20203.98,0,91817.04,91922.82,91845.889,49.41,59,268,326,294.364,19.2,423.12,0,105.78,28.849,49.41,NA,NA,NA,NA,0,105.78,42.312,54.625,0,17.63,7.052,9.104,-90,90,0,60,-180,180,-10,105
