Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,32897.58,46966.32,0,166,0,0,NA,NA,NA,NA,NA
2,1,2,35013.18,49716.6,6,120,3469.842,3469.842,NA,3469.842,578.307,52.431,NA
3,1,3,35542.08,50774.4,12,165,4652.498,4636.254,NA,1182.656,197.109,63.435,11.004
4,1,4,37551.9,52255.32,18,120,7148.996,7045.297,NA,2496.498,416.083,36.384,-27.051
5,1,5,39138.6,53736.24,24,165,9319.42,9207.722,NA,2170.424,361.737,43.025,6.641
6,1,6,41042.64,55322.94,30,155,11797.925,11669.409,NA,2478.505,413.084,39.806,-3.219
7,1,7,40936.86,57015.42,36,156,13493.707,12869.127,NA,1695.782,282.63,93.576,53.771
8,1,8,41677.32,58073.22,42,117,14784.917,14157.933,NA,1291.209,215.202,55.008,-38.568
9,1,9,42100.44,58284.78,48,150,15257.979,14587.672,NA,473.063,78.844,26.565,-28.443
10,1,10,44956.5,58813.68,54,127,18162.599,16904.955,NA,2904.619,484.103,10.491,-16.074
11,1,11,48235.68,59765.7,59,128,21577.18,19977.023,NA,3414.581,682.916,16.189,5.698
12,2,1,22531.14,44004.48,0,145,0,0,NA,NA,NA,NA,NA
13,2,2,22636.92,44004.48,6,165,105.78,105.78,NA,105.78,17.63,0,NA
14,2,3,23377.38,44321.82,12,133,911.376,903.785,NA,805.596,134.266,23.199,23.199
15,2,4,24223.62,44744.94,18,151,1857.502,1847.368,NA,946.125,157.688,26.565,3.366
16,2,5,24117.84,47706.78,24,141,4821.23,4027.982,NA,2963.728,493.955,92.045,65.48
17,2,6,24117.84,50985.96,30,148,8100.41,7159.517,NA,3279.18,546.53,90,-2.045
18,2,7,25598.76,51091.74,36,150,9585.103,7722.664,NA,1484.693,247.449,4.086,-85.914
19,2,8,25492.98,51091.74,42,134,9690.883,7681.26,NA,105.78,17.63,180,175.914
20,2,9,22002.24,53630.46,48,159,14007.174,9640.499,NA,4316.291,719.382,143.973,-36.027
21,2,10,20098.2,55428.72,54,130,16626.163,11680.43,NA,2618.99,436.498,136.637,-7.336
22,2,11,20203.98,56380.74,59,147,17584.042,12593.152,NA,957.879,191.576,83.66,-52.977
23,3,1,38398.14,46437.42,0,130,0,0,NA,NA,NA,NA,NA
24,3,2,40090.62,45168.06,6,158,2115.6,2115.6,NA,2115.6,352.6,-36.87,NA
25,3,3,40513.74,45062.28,12,164,2551.742,2523.247,NA,436.142,72.69,-14.036,22.834
26,3,4,42206.22,44216.04,18,127,4443.992,4408.628,NA,1892.25,315.375,-26.565,-12.529
27,3,5,42946.68,43687.14,24,126,5353.946,5315.379,NA,909.954,151.659,-35.538,-8.973
28,3,6,43369.8,42840.9,30,151,6300.071,6136.152,NA,946.125,157.688,-63.435,-27.897
29,3,7,44744.94,40196.4,36,142,9280.741,8901.247,NA,2980.669,496.778,-62.526,0.909
30,3,8,46437.42,37975.02,42,138,12073.413,11672.285,NA,2792.672,465.445,-52.696,9.83
31,3,9,47177.88,37446.12,48,149,12983.367,12566.913,NA,909.954,151.659,-35.538,17.158
32,3,10,48658.8,36070.98,54,130,15004.291,14585.754,NA,2020.924,336.821,-42.879,-7.341
33,3,11,49610.82,34272.72,59,142,17039.01,16544.006,NA,2034.719,406.944,-62.103,-19.224
34,4,9,15443.88,61035.06,48,127,0,0,NA,NA,NA,NA,NA
35,4,10,12693.6,59871.48,54,138,2986.295,2986.295,NA,2986.295,497.716,-157.068,NA
36,4,11,10895.34,59448.36,59,146,4833.663,4817.347,NA,1847.368,369.474,-166.759,-9.692
