Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,19569.3,19780.86,19694.313,63.788,14597.64,14809.2,14770.735,71.317,59,156,179,164.636,6.5,977.687,0,211.56,65.665,80.289,NA,NA,NA,NA,0,211.56,97.769,74.443,0,35.26,16.647,12.499,-135,180,13.5,97.327,-135,180,-20,121.398
2,2,11,15232.32,15443.88,15280.402,86.761,11530.02,11741.58,11558.869,68.405,59,127,151,140.818,7.291,933.871,0,299.191,65.665,104.509,NA,NA,NA,NA,0,299.191,93.387,101.006,0,49.865,16.27,17.867,-90,180,13.5,79.514,-180,180,-10,120.701
3,3,11,11741.58,12164.7,11914.675,158.83,28772.16,29406.84,29089.5,310.208,59,133,161,146.455,8.71,1232.367,0,762.79,366.695,342.458,NA,NA,NA,NA,0,528.9,123.237,170.664,0,88.15,20.539,28.444,-45,180,28.843,65.175,-180,180,0,115.6
4,4,11,8462.4,8673.96,8510.482,86.761,26550.78,26762.34,26598.862,72.729,59,120,135,128,4.494,1555.834,0,236.531,120,56.41,NA,NA,NA,NA,0,236.531,155.583,81.685,0,47.306,26.719,14.67,-153.435,180,38.657,109.143,-180,116.565,-77.048,117.627
5,5,11,73834.44,74046,73882.522,72.729,53207.34,53418.9,53390.051,68.405,59,124,142,130.182,4.813,1568.551,0,211.56,71.298,88.519,NA,NA,NA,NA,105.78,211.56,156.855,50.012,17.63,42.312,26.848,9.42,-90,180,63,102.176,-180,180,55,168.04
6,6,11,74257.56,74469.12,74344.107,92.437,41359.98,41571.54,41417.678,86.761,59,118,131,124.727,4.315,1574.678,0,236.531,160.672,92.347,NA,NA,NA,NA,105.78,236.531,157.468,59.418,17.63,47.306,27.033,11.286,-116.565,180,35.187,103.47,-180,180,-32.952,128.759
7,7,11,61140.84,61246.62,61237.004,31.894,53947.8,54159.36,54034.347,63.788,59,136,157,147.818,5.997,995.836,0,105.78,48.082,55.242,NA,NA,NA,NA,0,149.596,99.584,37.602,0,24.933,16.597,6.267,-90,180,22.5,97.788,-180,180,20,146.009
8,8,11,88432.08,88643.64,88547.476,87.925,41254.2,41254.2,41254.2,0,59,134,148,141.182,5.4,846.24,0,211.56,115.396,87.925,NA,NA,NA,NA,0,211.56,84.624,66.901,0,35.26,14.104,11.15,0,180,36,75.895,-180,180,0,127.279
9,9,11,90759.24,90970.8,90913.102,72.729,55428.72,55534.5,55467.185,53.369,59,126,138,130.182,3.545,1126.587,0,149.596,88.881,60.155,NA,NA,NA,NA,0,236.531,112.659,57.477,0,39.422,19.129,9.597,-90,180,64.843,95.559,-153.435,180,10,143.019
10,10,11,3490.74,4019.64,3750.382,202.721,55640.28,55957.62,55794.142,109.559,59,120,148,129.545,9.114,1407.629,0,569.643,327.489,210.41,NA,NA,NA,NA,0,299.191,140.763,81.113,0,49.865,23.46,13.519,-153.435,180,29.657,130.148,-180,180,-30,129.133
