Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,19675.08,14809.2,0,179,0,0,NA,NA,NA,NA,NA
2,1,2,19675.08,14809.2,6,172,0,0,NA,0,0,0,NA
3,1,3,19780.86,14703.42,12,165,149.596,149.596,NA,149.596,24.933,-45,-45
4,1,4,19675.08,14809.2,18,167,299.191,0,NA,149.596,24.933,135,180
5,1,5,19675.08,14809.2,24,161,299.191,0,NA,0,0,0,-135
6,1,6,19780.86,14809.2,30,162,404.971,105.78,NA,105.78,17.63,0,0
7,1,7,19780.86,14703.42,36,167,510.751,149.596,NA,105.78,17.63,-90,-90
8,1,8,19675.08,14597.64,42,163,660.347,211.56,NA,149.596,24.933,-135,-45
9,1,9,19675.08,14809.2,48,159,871.907,0,NA,211.56,35.26,90,-135
10,1,10,19675.08,14809.2,54,160,871.907,0,NA,0,0,0,-90
11,1,11,19569.3,14809.2,59,156,977.687,105.78,NA,105.78,21.156,180,180
12,2,1,15232.32,11530.02,0,151,0,0,NA,NA,NA,NA,NA
13,2,2,15232.32,11530.02,6,146,0,0,NA,0,0,0,NA
14,2,3,15232.32,11635.8,12,141,105.78,105.78,NA,105.78,17.63,90,90
15,2,4,15232.32,11530.02,18,136,211.56,0,NA,105.78,17.63,-90,-180
16,2,5,15232.32,11530.02,24,141,211.56,0,NA,0,0,0,90
17,2,6,15232.32,11530.02,30,138,211.56,0,NA,0,0,0,0
18,2,7,15232.32,11530.02,36,145,211.56,0,NA,0,0,0,0
19,2,8,15338.1,11530.02,42,146,317.34,105.78,NA,105.78,17.63,0,0
20,2,9,15232.32,11530.02,48,147,423.12,0,NA,105.78,17.63,180,180
21,2,10,15443.88,11741.58,54,131,722.311,299.191,NA,299.191,49.865,45,-135
22,2,11,15443.88,11530.02,59,127,933.871,211.56,NA,211.56,42.312,-90,-135
23,3,1,11741.58,28772.16,0,145,0,0,NA,NA,NA,NA,NA
24,3,2,11741.58,28772.16,6,152,0,0,NA,0,0,0,NA
25,3,3,11741.58,28772.16,12,152,0,0,NA,0,0,0,0
26,3,4,11741.58,28772.16,18,153,0,0,NA,0,0,0,0
27,3,5,11847.36,28983.72,24,155,236.531,236.531,NA,236.531,39.422,63.435,63.435
28,3,6,11953.14,28877.94,30,143,386.127,236.531,NA,149.596,24.933,-45,-108.435
29,3,7,11953.14,29406.84,36,161,915.027,669.011,NA,528.9,88.15,90,135
30,3,8,12164.7,29406.84,42,137,1126.587,762.79,NA,211.56,35.26,0,-90
31,3,9,12058.92,29406.84,48,141,1232.367,709.594,NA,105.78,17.63,180,180
32,3,10,12058.92,29406.84,54,139,1232.367,709.594,NA,0,0,0,-180
33,3,11,12058.92,29406.84,59,133,1232.367,709.594,NA,0,0,0,0
34,4,1,8568.18,26550.78,0,132,0,0,NA,NA,NA,NA,NA
35,4,2,8462.4,26550.78,6,135,105.78,105.78,NA,105.78,17.63,180,NA
36,4,3,8462.4,26656.56,12,127,211.56,149.596,NA,105.78,17.63,90,-90
37,4,4,8673.96,26550.78,18,120,448.091,105.78,NA,236.531,39.422,-26.565,-116.565
38,4,5,8462.4,26550.78,24,129,659.651,105.78,NA,211.56,35.26,180,-153.435
39,4,6,8462.4,26550.78,30,131,659.651,105.78,NA,0,0,0,-180
40,4,7,8462.4,26656.56,36,131,765.431,149.596,NA,105.78,17.63,90,90
41,4,8,8462.4,26762.34,42,128,871.211,236.531,NA,105.78,17.63,90,0
42,4,9,8462.4,26550.78,48,122,1082.771,105.78,NA,211.56,35.26,-90,-180
43,4,10,8673.96,26656.56,54,124,1319.303,149.596,NA,236.531,39.422,26.565,116.565
44,4,11,8462.4,26550.78,59,129,1555.834,105.78,NA,236.531,47.306,-153.435,-180
45,5,1,73834.44,53418.9,0,142,0,0,NA,NA,NA,NA,NA
46,5,2,73940.22,53313.12,6,126,149.596,149.596,NA,149.596,24.933,-45,NA
47,5,3,73834.44,53418.9,12,129,299.191,0,NA,149.596,24.933,135,180
48,5,4,74046,53418.9,18,130,510.751,211.56,NA,211.56,35.26,0,-135
49,5,5,73834.44,53418.9,24,129,722.311,0,NA,211.56,35.26,180,180
50,5,6,73940.22,53418.9,30,134,828.091,105.78,NA,105.78,17.63,0,-180
51,5,7,73834.44,53418.9,36,126,933.871,0,NA,105.78,17.63,180,180
52,5,8,73940.22,53418.9,42,131,1039.651,105.78,NA,105.78,17.63,0,-180
53,5,9,73834.44,53418.9,48,131,1145.431,0,NA,105.78,17.63,180,180
54,5,10,73834.44,53207.34,54,124,1356.991,211.56,NA,211.56,35.26,-90,90
55,5,11,73834.44,53418.9,59,130,1568.551,0,NA,211.56,42.312,90,180
