Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,43475.58,43687.14,43533.278,72.729,47072.1,47283.66,47187.496,74.115,59,114,138,125.091,8.408,1338.842,0,149.596,98.497,52.493,NA,NA,NA,NA,0,299.191,133.884,93.159,0,49.865,22.813,15.699,-135,180,4.5,102.725,-180,180,5,144.849
2,2,11,42417.78,42629.34,42533.176,87.925,51620.64,51832.2,51716.804,74.115,59,135,143,138.273,2.533,1786.933,0,236.531,147.199,64.337,NA,NA,NA,NA,105.78,299.191,178.693,65.615,17.63,49.865,30.135,10.551,-135,180,28.843,118.602,-180,180,-5,156.213
3,3,11,47706.78,47918.34,47764.478,72.729,54794.04,54794.04,54794.04,0,59,133,150,142.636,6.637,634.68,0,211.56,153.862,72.729,NA,NA,NA,NA,0,105.78,63.468,54.625,0,17.63,10.578,9.104,0,180,72,92.952,-180,180,-20,167.033
4,4,11,10049.1,10154.88,10077.949,49.41,48764.58,48870.36,48831.895,53.369,59,115,130,122.091,4.7,722.311,0,149.596,61.681,60.395,NA,NA,NA,NA,0,149.596,72.231,64.414,0,24.933,12.391,10.994,-135,90,-18,67.75,-135,180,-10,114.237
5,5,11,55851.84,56063.4,55899.922,86.761,69285.9,69391.68,69324.365,53.369,59,123,147,134.364,8.152,1082.771,0,149.596,112.097,42.93,NA,NA,NA,NA,0,236.531,108.277,74.983,0,47.306,18.835,14.137,-90,180,24.343,86.718,-180,180,-2.952,142.578
6,6,11,63362.22,63573.78,63477.616,99.844,71401.5,71613.06,71497.664,99.844,59,129,151,141.091,6.472,1189.247,0,236.531,147.693,78.848,NA,NA,NA,NA,0,299.191,118.925,101.951,0,49.865,20.319,17.23,-90,180,36,89.499,-180,180,-5,137.682
7,7,11,112444.14,112655.7,112501.838,86.761,54899.82,55111.38,54938.285,71.317,59,112,128,120.909,4.437,634.68,0,236.531,196.952,73.793,NA,NA,NA,NA,0,211.56,63.468,89.202,0,35.26,10.578,14.867,-90,180,18,70.993,-180,180,10,105
8,8,11,116358,136773.54,125128.124,7671.706,41465.76,53418.9,48389.542,4424.681,59,116,139,125.273,8.368,26483.779,0,22047.963,11093.976,8395.899,NA,NA,NA,NA,1375.14,4227.231,2648.378,1109.238,229.19,704.539,447.307,180.586,-36.254,112.62,28.284,42.697,-64.607,18.9,-14.442,25.132
9,9,11,139946.94,140158.5,140043.104,57.053,40936.86,41148.42,41013.791,95.682,59,113,128,119.182,5.363,1338.147,0,149.596,98.497,52.493,NA,NA,NA,NA,0,236.531,133.815,70.494,0,39.422,22.655,11.646,-90,180,43.157,105.843,-180,180,90,105.936
10,10,11,114348.18,114559.74,114415.495,85.58,30781.98,30993.54,30906.993,92.437,59,124,133,128.909,2.844,765.431,0,236.531,163.005,73.887,NA,NA,NA,NA,0,236.531,76.543,76.96,0,39.422,12.757,12.827,-90,180,20.657,85.648,-116.565,180,40,117.247
11,11,11,106626.24,106732.02,106635.856,31.894,34484.28,34695.84,34599.676,87.925,59,125,142,132.091,5.147,846.24,0,211.56,125.013,79.415,NA,NA,NA,NA,0,105.78,84.624,44.601,0,17.63,14.104,7.433,-90,180,36,86.948,-180,180,0,142.302
12,12,11,108212.94,108424.5,108309.104,87.925,27079.68,27291.24,27195.076,74.115,59,115,146,127.636,11.404,1388.785,0,149.596,104.13,38.729,NA,NA,NA,NA,0,236.531,138.878,84.646,0,42.312,23.852,14.933,-135,153.435,0,94.838,-180,135,-45,129.814
13,13,11,91499.7,91711.26,91547.782,86.761,23483.16,23694.72,23656.255,85.58,59,118,130,123.455,4.298,1195.374,0,299.191,183.331,94.368,NA,NA,NA,NA,0,299.191,119.537,128.25,0,49.865,19.923,21.375,-135,116.565,-4.5,76.954,-135,0,-67.048,64.975
