Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,59236.8,75421.14,65881.707,5266.701,39773.28,57755.88,47879.875,7017.333,59,215,397,285.727,61.402,34368.817,0,23647.923,11856.329,7919.949,NA,NA,NA,NA,1379.202,4972.785,3436.882,1333.112,229.867,828.798,579.062,214.805,-141.911,25.017,-44.738,49.899,-69.702,56.31,-4.601,43.922
2,2,11,78806.1,92980.62,84816.327,3826.494,43898.7,48235.68,46725.911,1477.206,59,231,367,296.182,37.274,15999.582,0,14316.298,8336.295,3799.63,NA,NA,NA,NA,105.78,4891.11,1599.958,1497.302,17.63,815.185,272.654,251.147,-165.964,180,-46.722,150.378,-90,101.31,5.516,53.47
3,3,11,73093.98,76373.16,74305.642,1163.93,55534.5,79546.56,68920.478,7738.494,59,215,338,273.455,48.665,26303.543,0,24017.884,13529.843,7719.043,NA,NA,NA,NA,105.78,5269.925,2630.354,1890.503,17.63,878.321,447.423,316.792,38.66,180,95.927,36.935,-90,90,-9.312,50.765
4,4,11,89701.44,103241.28,94028.804,5049.254,50774.4,59871.48,55399.871,3519.182,59,194,417,318.455,75.512,19556.942,0,16079.952,10301.368,5909.508,NA,NA,NA,NA,334.506,6291.91,1955.694,1666.505,55.751,1048.652,327.747,276.106,-174.806,175.601,43.592,150.938,-103.725,68.839,1.745,49.859
5,5,11,93932.64,106732.02,98288.853,4252.519,52361.1,72565.08,61833.218,6222.232,59,238,501,320.545,73.712,30914.877,0,20709.66,12320.182,5762.776,NA,NA,NA,NA,909.954,5966.03,3091.488,1746.215,151.659,994.338,527.966,299.549,-144.462,-14.859,-77.457,47.187,-31.265,90,10.756,37.36
6,6,11,113396.16,121541.22,119579.482,2424.354,47601,57015.42,53803.555,3870.239,59,207,365,282,60.346,17852.07,0,10173.595,7918.308,3234.819,NA,NA,NA,NA,105.78,4854.369,1785.207,1930.24,17.63,809.061,297.887,321.368,-90,180,41.072,78.534,-116.565,106.699,-6.308,87.547
7,7,11,92980.62,105568.44,98086.909,4557.41,30887.76,40196.4,35292.055,3738.473,59,212,362,305.273,58.322,18161.37,0,14904.473,8607.74,5496.085,NA,NA,NA,NA,236.531,4041.848,1816.137,1447.058,39.422,673.641,303.805,239.93,-176.82,143.746,-70.798,115.463,-90,41.82,-13.923,49.804
8,8,11,106414.68,117838.92,112174.882,4713.888,16924.8,34695.84,25666.075,6833.465,59,226,300,268.182,26.084,21831.944,0,21126.361,10729.777,8274.316,NA,NA,NA,NA,528.9,4195.347,2183.194,1278.297,88.15,699.225,368.112,210.096,-90,-36.87,-59.72,19.065,-51.34,19.367,-5.374,21.982
9,9,11,131167.2,137937.12,134302.135,1750.506,21156,37128.78,30358.86,5790.139,59,195,344,282.636,46.839,24522.437,0,16666.981,8101.289,5417.143,NA,NA,NA,NA,1057.8,3671.953,2452.244,938.023,176.3,664.312,419.779,170.974,-160.821,180,-36.134,116.889,-81.835,130.703,14.137,64.321
10,10,7,66641.4,71824.62,68484.994,1939.804,24012.06,35224.74,29573.066,4065.246,36,274,376,331,40.837,13203.656,0,12022.212,6540.129,4413.361,NA,NA,NA,NA,149.596,4107.752,2200.609,1311.203,24.933,684.625,366.768,218.534,-135,143.13,69.903,103.18,-117.474,116.565,-14.462,84.105
11,11,11,57015.42,78065.64,65593.216,6453.006,13116.72,29829.96,21127.151,6963.039,59,222,416,301.636,53.528,39838.654,0,22048.216,15152.838,7306.65,NA,NA,NA,NA,1423.124,6364.406,3983.865,1742.389,237.187,1060.734,670.412,282.58,-164.578,177.99,-23.447,112.645,-19.517,64.908,24.52,22.268
12,12,11,54794.04,72776.64,66275.978,5267.666,14703.42,29618.4,22973.493,5906.81,59,217,324,275.909,36.752,30890.988,0,23363.016,14420.813,7357.634,NA,NA,NA,NA,747.978,6104.157,3089.099,1899.731,124.663,1017.359,522.187,313.648,-170.538,107.103,26.656,78.337,-110.571,106.172,2.916,67.853
