Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,59236.8,57015.42,0,360,0,0,NA,NA,NA,NA,NA
2,1,2,60823.5,57755.88,6,397,1750.971,1750.971,NA,1750.971,291.828,25.017,NA
3,1,3,65583.6,56380.74,12,215,6705.722,6378.455,NA,4954.751,825.792,-16.113,-41.13
4,1,4,65900.94,52043.76,18,248,11054.297,8314.335,NA,4348.575,724.762,-85.815,-69.702
5,1,5,61987.08,48976.14,24,293,16027.082,8496.709,NA,4972.785,828.798,-141.911,-56.096
6,1,6,62092.86,47601,30,271,17406.284,9838.109,NA,1379.202,229.867,-85.601,56.31
7,1,7,63256.44,43581.36,36,290,21590.95,14022.535,NA,4184.665,697.444,-73.856,11.746
8,1,8,66429.84,42206.22,42,358,25049.486,16463.664,NA,3458.537,576.423,-23.429,50.427
9,1,9,70343.7,41042.64,48,229,29132.649,19454.895,NA,4083.163,680.527,-16.557,6.872
10,1,10,73622.88,40302.18,54,259,32494.39,22052.022,NA,3361.741,560.29,-12.724,3.833
11,1,11,75421.14,39773.28,59,223,34368.817,23647.923,NA,1874.426,374.885,-16.39,-3.665
12,2,1,92980.62,45908.52,0,329,0,0,NA,NA,NA,NA,NA
13,2,2,88432.08,47706.78,6,276,4891.11,4891.11,NA,4891.11,815.185,158.429,NA
14,2,3,85787.58,48235.68,12,282,7587.981,7560.126,NA,2696.871,449.479,168.69,10.261
15,2,4,85787.58,48129.9,18,318,7693.761,7528.237,NA,105.78,17.63,-90,101.31
16,2,5,85681.8,48129.9,24,273,7799.541,7629.371,NA,105.78,17.63,180,-90
17,2,6,85364.46,47812.56,30,293,8248.328,7850.558,NA,448.787,74.798,-135,45
18,2,7,83777.76,46860.54,36,276,10098.722,9251.971,NA,1850.394,308.399,-149.036,-14.036
19,2,8,83354.64,46754.76,42,367,10534.864,9663.106,NA,436.142,72.69,-165.964,-16.928
20,2,9,82614.18,45802.74,48,332,11740.942,10366.98,NA,1206.078,201.013,-127.875,38.089
21,2,10,80392.8,44744.94,54,231,14201.322,12641.485,NA,2460.38,410.063,-154.537,-26.662
22,2,11,78806.1,43898.7,59,281,15999.582,14316.298,NA,1798.26,359.652,-151.928,2.609
23,3,1,75844.26,55534.5,0,279,0,0,NA,NA,NA,NA,NA
24,3,2,74363.34,57861.66,6,329,2758.405,2758.405,NA,2758.405,459.734,122.471,NA
25,3,3,75526.92,61563.96,12,322,6639.248,6037.805,NA,3880.843,646.807,72.553,-49.918
26,3,4,74574.9,66747.18,18,215,11909.173,11284.302,NA,5269.925,878.321,100.408,27.855
27,3,5,73411.32,71084.16,24,338,16399.531,15738.841,NA,4490.358,748.393,105.018,4.611
28,3,6,73411.32,71401.5,30,334,16716.871,16052.442,NA,317.34,52.89,90,-15.018
29,3,7,73093.98,71401.5,36,224,17034.211,16103.594,NA,317.34,52.89,180,90
30,3,8,73093.98,71507.28,42,247,17139.991,16207.83,NA,105.78,17.63,90,-90
31,3,9,73411.32,73622.88,48,235,19279.259,18251.265,NA,2139.268,356.545,81.469,-8.531
32,3,10,74257.56,77854.08,54,257,23594.254,22375.908,NA,4314.994,719.166,78.69,-2.779
33,3,11,76373.16,79546.56,59,228,26303.543,24017.884,NA,2709.29,541.858,38.66,-40.03
34,4,1,103241.28,51091.74,0,335,0,0,NA,NA,NA,NA,NA
35,4,2,101866.14,51197.52,6,252,1379.202,1379.202,NA,1379.202,229.867,175.601,NA
