Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,6,31310.88,31416.66,31328.51,43.185,40619.52,40725.3,40637.15,43.185,29,228,477,330.667,95.185,317.34,0,149.596,95.453,49.939,NA,NA,NA,NA,0,105.78,63.468,57.938,0,21.156,11.283,10.4,-90,180,36,102.616,-180,90,-67.5,135
2,2,6,36176.76,36282.54,36194.39,43.185,36811.44,37023,36934.85,104.002,29,229,424,314,89.742,423.12,0,236.531,160.828,96.141,NA,NA,NA,NA,0,211.56,84.624,88.502,0,35.26,14.809,15.042,-90,180,36,102.616,-90,0,-67.5,45
3,3,6,38927.04,39350.16,39173.86,144.523,44533.38,44639.16,44586.27,57.938,29,191,244,209.833,18.798,1008.858,0,317.34,138.015,103.491,NA,NA,NA,NA,105.78,436.142,201.772,138,17.63,72.69,35.039,23.339,-135,165.964,6.193,106.744,-165.964,165.964,33.75,151.39
4,4,6,20627.1,20838.66,20715.25,79.628,54476.7,54582.48,54511.96,54.625,29,183,306,214,45.869,361.156,0,236.531,99.614,90.737,NA,NA,NA,NA,0,149.596,72.231,68.321,0,24.933,12.744,11.917,0,180,45,77.942,0,135,45,63.64
5,5,6,65054.7,65266.26,65142.85,79.628,36070.98,36176.76,36141.5,54.625,29,242,304,276.167,20.721,361.156,0,211.56,138.015,78.96,NA,NA,NA,NA,0,149.596,72.231,68.321,0,24.933,12.039,11.387,-45,180,63,108.374,-180,45,-45,97.211
6,6,6,59977.26,60188.82,60065.41,79.628,32157.12,32157.12,32157.12,0,29,278,317,293.833,12.859,423.12,0,211.56,123.41,79.628,NA,NA,NA,NA,0,105.78,84.624,47.306,0,21.156,14.809,8.418,0,180,108,98.59,-180,180,0,207.846
7,7,6,61035.06,61035.06,61035.06,0,24752.52,24858.3,24787.78,54.625,29,200,311,243.833,45.044,317.34,0,105.78,35.26,54.625,NA,NA,NA,NA,0,105.78,63.468,57.938,0,21.156,11.283,10.4,-90,90,18,75.299,-180,180,22.5,153.704
8,8,6,101971.92,102289.26,102148.22,109.249,15972.78,16184.34,16113.82,86.369,29,187,355,235.333,63.317,834.218,0,211.56,130.713,79.697,NA,NA,NA,NA,105.78,236.531,166.844,66.083,17.63,39.422,28.805,10.914,-153.435,135,-27,120.775,-71.565,153.435,56.25,110.293
9,9,6,108530.28,108741.84,108688.95,88.502,24646.74,24858.3,24752.52,115.876,29,198,234,212.667,15.384,641.502,0,211.56,158.67,88.502,NA,NA,NA,NA,0,299.191,128.3,136.333,0,59.838,23.378,26.043,-135,180,21.687,114.343,-135,0,-78.75,60.636
10,10,6,133705.92,133705.92,133705.92,0,46120.08,46331.64,46296.38,86.369,29,194,358,255.167,64.44,211.56,0,211.56,176.3,86.369,NA,NA,NA,NA,0,211.56,42.312,94.613,0,35.26,7.052,15.769,0,90,18,40.249,-90,0,-22.5,45
11,11,5,141850.98,142062.54,141977.916,88.502,44110.26,44216.04,44152.572,57.938,24,303,329,316.2,9.985,660.347,0,211.56,102.15,96.62,NA,NA,NA,NA,149.596,211.56,165.087,30.982,24.933,35.26,27.514,5.164,-45,180,78.75,99.781,-180,-135,-150,25.981
12,12,6,30781.98,30993.54,30834.87,88.502,91499.7,91711.26,91587.85,104.002,29,239,413,334.167,78.073,553.871,0,299.191,213.834,110.754,NA,NA,NA,NA,0,236.531,110.774,83.906,0,39.422,19.168,14.021,-116.565,180,48.687,112.178,-180,90,-38.359,113.488
