Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,31416.66,40619.52,0,477,0,0,NA,NA,NA,NA,NA
2,1,2,31310.88,40619.52,6,397,105.78,105.78,NA,105.78,17.63,180,NA
3,1,3,31310.88,40619.52,12,345,105.78,105.78,NA,0,0,0,-180
4,1,4,31310.88,40619.52,18,291,105.78,105.78,NA,0,0,0,0
5,1,5,31310.88,40725.3,24,246,211.56,149.596,NA,105.78,17.63,90,90
6,1,6,31310.88,40619.52,29,228,317.34,105.78,NA,105.78,21.156,-90,-180
7,2,1,36282.54,36811.44,0,424,0,0,NA,NA,NA,NA,NA
8,2,2,36176.76,36811.44,6,421,105.78,105.78,NA,105.78,17.63,180,NA
9,2,3,36176.76,37023,12,319,317.34,236.531,NA,211.56,35.26,90,-90
10,2,4,36176.76,37023,18,229,317.34,236.531,NA,0,0,0,-90
11,2,5,36176.76,37023,24,252,317.34,236.531,NA,0,0,0,0
12,2,6,36176.76,36917.22,29,239,423.12,149.596,NA,105.78,21.156,-90,-90
13,3,1,39244.38,44639.16,0,244,0,0,NA,NA,NA,NA,NA
14,3,2,39138.6,44533.38,6,216,149.596,149.596,NA,149.596,24.933,-135,NA
15,3,3,39244.38,44533.38,12,197,255.376,105.78,NA,105.78,17.63,0,135
16,3,4,39350.16,44533.38,18,191,361.156,149.596,NA,105.78,17.63,0,0
17,3,5,38927.04,44639.16,24,207,797.298,317.34,NA,436.142,72.69,165.964,165.964
18,3,6,39138.6,44639.16,29,204,1008.858,105.78,NA,211.56,42.312,0,-165.964
19,4,1,20627.1,54476.7,0,306,0,0,NA,NA,NA,NA,NA
20,4,2,20627.1,54476.7,6,208,0,0,NA,0,0,0,NA
21,4,3,20732.88,54476.7,12,195,105.78,105.78,NA,105.78,17.63,0,0
22,4,4,20732.88,54476.7,18,183,105.78,105.78,NA,0,0,0,0
23,4,5,20838.66,54582.48,24,191,255.376,236.531,NA,149.596,24.933,45,45
24,4,6,20732.88,54582.48,29,201,361.156,149.596,NA,105.78,21.156,180,135
25,5,1,65266.26,36176.76,0,267,0,0,NA,NA,NA,NA,NA
26,5,2,65160.48,36176.76,6,286,105.78,105.78,NA,105.78,17.63,180,NA
27,5,3,65054.7,36176.76,12,304,211.56,211.56,NA,105.78,17.63,180,0
28,5,4,65054.7,36176.76,18,281,211.56,211.56,NA,0,0,0,-180
29,5,5,65160.48,36070.98,24,277,361.156,149.596,NA,149.596,24.933,-45,-45
30,5,6,65160.48,36070.98,29,242,361.156,149.596,NA,0,0,0,45
31,6,1,60188.82,32157.12,0,317,0,0,NA,NA,NA,NA,NA
32,6,2,60083.04,32157.12,6,292,105.78,105.78,NA,105.78,17.63,180,NA
33,6,3,60083.04,32157.12,12,278,105.78,105.78,NA,0,0,0,-180
34,6,4,59977.26,32157.12,18,293,211.56,211.56,NA,105.78,17.63,180,180
35,6,5,60083.04,32157.12,24,288,317.34,105.78,NA,105.78,17.63,0,-180
36,6,6,59977.26,32157.12,29,295,423.12,211.56,NA,105.78,21.156,180,180
37,7,1,61035.06,24752.52,0,311,0,0,NA,NA,NA,NA,NA
38,7,2,61035.06,24752.52,6,276,0,0,NA,0,0,0,NA
39,7,3,61035.06,24752.52,12,258,0,0,NA,0,0,0,0
40,7,4,61035.06,24858.3,18,214,105.78,105.78,NA,105.78,17.63,90,90
41,7,5,61035.06,24752.52,24,204,211.56,0,NA,105.78,17.63,-90,-180
42,7,6,61035.06,24858.3,29,200,317.34,105.78,NA,105.78,21.156,90,180
43,8,1,102183.48,16184.34,0,355,0,0,NA,NA,NA,NA,NA
44,8,2,102183.48,16078.56,6,255,105.78,105.78,NA,105.78,17.63,-90,NA
45,8,3,102183.48,15972.78,12,216,211.56,211.56,NA,105.78,17.63,-90,0
46,8,4,102289.26,16184.34,18,187,448.091,105.78,NA,236.531,39.422,63.435,153.435
47,8,5,102077.7,16078.56,24,205,684.623,149.596,NA,236.531,39.422,-153.435,143.13
