actin,pCa,mean_v_nm_s,sd
biotin-actin,pCa-4,374.053277372263,177.263161139802
biotin-actin,pCa-6.25,54.5644714285714,94.7741733085703
biotin-actin,pCa-9,15.9300454545455,7.26213051898857
regular-actin,pCa-4,378.085609375,167.192486213795
regular-actin,pCa-6.25,38.5327603305785,31.5236218704918
regular-actin,pCa-9,16.0021694915254,8.18921306512108
