Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,76478.94,93192.18,86220.316,5710.642,35118.96,40619.52,37301.875,1854.787,59,114,136,127.455,6.219,19102.495,0,17240.518,9874.717,5838.879,NA,NA,NA,NA,528.9,3045.656,1910.25,849.783,105.78,507.609,320.138,138.522,-32.005,55.491,20.142,26.249,-32.005,35.819,4.955,22.84
2,2,11,98375.4,118050.48,110213.144,7423.835,27925.92,36070.98,33099.524,2565.663,59,113,129,121.091,6.057,28449.555,0,19766.996,12856.273,6766.703,NA,NA,NA,NA,473.063,4958.138,2844.955,1447.198,78.844,826.356,484.976,246.879,-74.476,79.695,-21.026,51.432,-64.113,35.431,-16.741,31.025
3,3,11,102818.16,111915.24,107732.122,3143.772,634.68,14809.2,5904.447,4655.238,59,119,154,135.636,10.003,18517.381,0,16673.358,10092.805,5474.42,NA,NA,NA,NA,677.322,4137.607,1851.738,1124.21,112.887,689.601,311.466,184.759,-94.399,-7.125,-49.636,25.052,-37.086,62.639,9.697,30.213
4,4,11,71401.5,76690.5,74709.529,1904.681,16607.46,25598.76,21079.069,3056.691,59,115,143,125.091,8.608,11550.776,0,10124.533,4821.216,3375.084,NA,NA,NA,NA,381.395,2094.337,1155.078,496.927,63.566,349.056,196.625,84.546,18.435,143.13,112.171,37.292,-33.24,94.185,11.392,37.357
5,5,11,74469.12,76478.94,75978.889,664.128,37763.46,46014.3,41744.635,2455.952,59,116,156,138.273,13.305,9347.31,0,8294.123,4570.794,2460.036,NA,NA,NA,NA,381.395,1708.928,934.731,517.197,63.566,329.11,161.274,95.788,-135,-33.69,-80.797,27.529,-56.31,29.745,-8.743,28.722
6,6,11,119214.06,130744.08,125849.351,3135.12,12058.92,23800.5,17713.342,3185.142,59,109,134,122,9.121,16874.112,0,16456.186,9010.562,4455.727,NA,NA,NA,NA,317.34,3832.974,1687.411,1230.221,52.89,639.597,291.895,221.676,-90,-26.565,-48.168,19.674,-63.435,63.435,-1.82,38.548
7,7,11,122810.58,128840.04,126272.471,2460.421,44744.94,55322.94,51986.062,3339.823,59,108,140,124.364,9.852,17063.657,0,10956.786,7732.853,3431.937,NA,NA,NA,NA,0,3497.145,1706.366,1290.642,0,582.858,284.747,214.623,-78.69,180,32.134,88.136,-83.027,180,5.997,76.207
8,8,11,100067.88,110011.2,104962.609,3653.345,60611.94,65372.04,63958.435,1290.579,59,113,137,124.636,9.309,13508.249,0,10375.072,6196.16,3384.38,NA,NA,NA,NA,105.78,2676.046,1350.825,767.856,17.63,446.008,228.388,126.615,-77.471,71.565,6.641,41.979,-68.009,23.199,-16.56,30.476
9,9,11,98692.74,106414.68,101856.524,3007.374,49822.38,53418.9,51774.502,1353.293,59,114,153,133.455,10.004,8953.865,0,8518.41,3772.023,3229.096,NA,NA,NA,NA,236.531,2514.362,895.386,658.243,39.422,419.06,152.074,109.871,-6.34,63.435,32.755,24.22,-28.589,32.905,-6.257,17.426
10,10,11,120589.2,124291.5,123435.644,1133.826,48235.68,53524.68,50976.344,2024.495,59,124,148,137,7.071,7936.491,0,5966.03,3817.91,1908.825,NA,NA,NA,NA,149.596,1773.196,793.649,564.244,29.919,295.533,132.773,93.419,-17.354,135,65.452,45.272,-45,70.346,16.928,39.463
11,11,11,13116.72,19146.18,17357.536,1945.003,71295.72,76055.82,74151.78,1189.261,59,115,143,125.091,12.004,9685.219,0,7599.246,4682.466,2202.321,NA,NA,NA,NA,381.395,2012.602,968.522,669.64,63.566,402.52,168.129,124.5,-104.036,33.69,-29.498,43.552,-137.726,56.31,-5.922,58.61
12,12,11,4654.32,15338.1,11001.12,3682.299,66641.4,71718.84,70430.247,1450.242,59,117,156,130.818,13.129,13746.851,0,11145.117,7598.468,3500.443,NA,NA,NA,NA,334.506,3411.302,1374.685,907.298,55.751,568.55,231.657,149.515,-50.194,60.255,-0.36,34.822,-38.884,31.759,-10.438,20.12
13,13,11,11001.12,16713.24,14530.325,2304.583,74574.9,79017.66,77257.865,1878.763,59,114,140,126.364,7.877,7538.543,0,7236.465,4440.178,2961.944,NA,NA,NA,NA,0,2792.672,753.854,855.091,0,465.445,125.642,142.515,0,90,33.722,27.384,-90,63.435,-5,43.625
14,14,8,14280.3,19251.96,17453.7,1898.996,66852.96,69814.8,68214.878,989.784,42,119,140,130,8.384,6162.421,0,5696.427,2257.669,2038.169,NA,NA,NA,NA,105.78,1540.18,880.346,509.433,17.63,256.697,146.724,84.905,78.69,180,146.676,32.642,-41.186,101.31,11.473,48.463
15,15,11,57861.66,73728.66,65362.424,5242.347,65900.94,71613.06,67843.445,1666.008,59,122,158,134.364,10.519,18520.365,0,16863.867,7774.385,5459.934,NA,NA,NA,NA,805.596,2696.871,1852.036,635.234,134.266,539.374,317.662,121.778,-23.199,55.491,15.245,26.764,-54.162,59.306,2.691,34.747
16,16,11,8356.62,14491.86,11616.567,2007.49,17136.36,25598.76,20694.415,2738.976,59,113,153,133.545,13.699,11135.682,0,10452.434,5704.785,3359.298,NA,NA,NA,NA,334.506,1874.426,1113.568,579.143,55.751,312.404,187.358,94.69,-164.055,-71.565,-120.751,24.525,-60.018,63.435,-1.674,36.268
