Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,76478.94,36388.32,0,126,0,0,NA,NA,NA,NA,NA
2,1,2,78594.54,36705.66,6,127,2139.268,2139.268,NA,2139.268,356.545,8.531,NA
3,1,3,81027.48,36705.66,12,130,4572.208,4559.597,NA,2432.94,405.49,0,-8.531
4,1,4,83566.2,35118.96,18,132,7565.988,7200.037,NA,2993.78,498.963,-32.005,-32.005
5,1,5,85152.9,35224.74,24,128,9156.21,8751.657,NA,1590.222,265.037,3.814,35.819
6,1,6,88008.96,36282.54,30,126,12201.866,11530.505,NA,3045.656,507.609,20.323,16.509
7,1,7,88749.42,36705.66,36,134,13054.691,12274.583,NA,852.826,142.138,29.745,9.422
8,1,8,89807.22,37340.34,42,129,14288.287,13362.237,NA,1233.596,205.599,30.964,1.219
9,1,9,90970.8,39032.82,48,136,16342.164,14731.171,NA,2053.876,342.313,55.491,24.528
10,1,10,92874.84,40196.4,54,120,18573.595,16832.32,NA,2231.432,371.905,31.43,-24.062
11,1,11,93192.18,40619.52,59,114,19102.495,17240.518,NA,528.9,105.78,53.13,21.701
12,2,1,98375.4,29829.96,0,126,0,0,NA,NA,NA,NA,NA
13,2,2,99010.08,33320.7,6,125,3547.969,3547.969,NA,3547.969,591.328,79.695,NA
14,2,3,103135.5,36070.98,12,113,8506.107,7849.133,NA,4958.138,826.356,33.69,-46.005
15,2,4,106943.58,35965.2,18,113,12315.656,10538.258,NA,3809.549,634.925,-1.591,-35.281
16,2,5,108424.5,34801.62,24,129,14199.015,11211.682,NA,1883.359,313.893,-38.157,-36.566
17,2,6,112867.26,34590.06,30,124,18646.809,15253.608,NA,4447.794,741.299,-2.726,35.431
18,2,7,115829.1,34378.5,36,116,21616.195,18036.653,NA,2969.386,494.898,-4.086,-1.359
19,2,8,116252.22,33320.7,42,121,22755.481,18214.444,NA,1139.285,189.881,-68.199,-64.113
20,2,9,116463.78,32897.58,48,115,23228.543,18346.656,NA,473.063,78.844,-63.435,4.764
21,2,10,116992.68,30993.54,54,121,25204.677,18653.606,NA,1976.133,329.356,-74.476,-11.041
22,2,11,118050.48,27925.92,59,129,28449.555,19766.996,NA,3244.878,648.976,-70.974,3.501
23,3,1,103135.5,14809.2,0,142,0,0,NA,NA,NA,NA,NA
24,3,2,102818.16,10683.78,6,132,4137.607,4137.607,NA,4137.607,689.601,-94.399,NA
25,3,3,105039.54,9308.64,12,119,6750.181,5820.784,NA,2612.573,435.429,-31.759,62.639
26,3,4,106097.34,8356.62,18,148,8173.305,7099.879,NA,1423.124,237.187,-41.987,-10.228
27,3,5,106837.8,7616.16,24,154,9220.474,8089.923,NA,1047.169,174.528,-45,-3.013
28,3,6,108847.62,5712.12,30,134,11989.001,10741.749,NA,2768.528,461.421,-43.452,1.548
29,3,7,109270.74,3173.4,36,128,14562.74,13154.201,NA,2573.738,428.956,-80.538,-37.086
30,3,8,109693.86,2644.5,42,142,15240.062,13819.986,NA,677.322,112.887,-51.34,29.197
31,3,9,110328.54,1269.36,48,133,16754.601,15331.898,NA,1514.539,252.423,-65.225,-13.885
32,3,10,111069,740.46,54,128,17664.555,16151.466,NA,909.954,151.659,-35.538,29.687
33,3,11,111915.24,634.68,59,132,18517.381,16673.358,NA,852.826,170.565,-7.125,28.413
34,4,1,76055.82,16607.46,0,119,0,0,NA,NA,NA,NA,NA
35,4,2,76690.5,16819.02,6,131,669.011,669.011,NA,669.011,111.502,18.435,NA
36,4,3,76161.6,18088.38,12,122,2044.151,1484.693,NA,1375.14,229.19,112.62,94.185
37,4,4,76478.94,19780.86,18,115,3766.125,3201.484,NA,1721.974,286.996,79.38,-33.24
38,4,5,75844.26,20732.88,24,119,4910.311,4130.841,NA,1144.186,190.698,123.69,44.31
39,4,6,75632.7,21050.22,30,122,5291.706,4462.863,NA,381.395,63.566,123.69,0
40,4,7,75103.8,21684.9,36,122,6117.874,5165.921,NA,826.168,137.695,129.806,6.116
41,4,8,73622.88,23165.82,42,123,8212.211,6995.09,NA,2094.337,349.056,135,5.194
42,4,9,72776.64,23800.5,48,143,9270.011,7905.242,NA,1057.8,176.3,143.13,8.13
43,4,10,72036.18,24540.96,54,138,10317.18,8893.702,NA,1047.169,174.528,135,-8.13
44,4,11,71401.5,25598.76,59,122,11550.776,10124.533,NA,1233.596,246.719,120.964,-14.036
45,5,1,74469.12,46014.3,0,135,0,0,NA,NA,NA,NA,NA
46,5,2,75315.36,44744.94,6,156,1525.581,1525.581,NA,1525.581,254.263,-56.31,NA
47,5,3,75950.04,43158.24,12,148,3234.509,3217.173,NA,1708.928,284.821,-68.199,-11.889
48,5,4,76161.6,42735.12,18,146,3707.572,3690.191,NA,473.063,78.844,-63.435,4.764
49,5,5,76478.94,42523.56,24,121,4088.967,4027.982,NA,381.395,63.566,-33.69,29.745
50,5,6,76478.94,41783.1,30,149,4829.427,4684.275,NA,740.46,123.41,-90,-56.31
51,5,7,76373.16,41148.42,36,147,5472.861,5225.147,NA,643.435,107.239,-99.462,-9.462
52,5,8,76373.16,40725.3,42,147,5895.981,5621.289,NA,423.12,70.52,-90,9.462
53,5,9,76373.16,39667.5,48,131,6953.781,6626.254,NA,1057.8,176.3,-90,0
54,5,10,76478.94,38927.04,54,116,7701.759,7366.725,NA,747.978,124.663,-81.87,8.13
55,5,11,75315.36,37763.46,59,125,9347.31,8294.123,NA,1645.551,329.11,-135,-53.13
56,6,1,119214.06,23800.5,0,132,0,0,NA,NA,NA,NA,NA
57,6,2,122175.9,21367.56,6,112,3832.974,3832.974,NA,3832.974,638.829,-39.401,NA
58,6,3,124397.28,19886.64,12,129,6502.741,6494.926,NA,2669.766,444.961,-33.69,5.711
59,6,4,125349.3,18194.16,18,126,8444.604,8310.97,NA,1941.863,323.644,-60.642,-26.952
60,6,5,126195.54,17771.04,24,109,9390.729,9224.72,NA,946.125,157.688,-26.565,34.077
61,6,6,126195.54,17453.7,30,111,9708.069,9435.197,NA,317.34,52.89,-90,-63.435
62,6,7,126618.66,17242.14,36,114,10181.131,9891.42,NA,473.063,78.844,-26.565,63.435
63,6,8,127041.78,16395.9,42,121,11127.256,10775.031,NA,946.125,157.688,-63.435,-36.87
64,6,9,127464.9,15972.78,48,134,11725.638,11373.195,NA,598.382,99.73,-45,18.435
65,6,10,128945.82,14703.42,54,130,13676.125,13321.562,NA,1950.487,325.081,-40.601,4.399
66,6,11,130744.08,12058.92,59,124,16874.112,16456.186,NA,3197.987,639.597,-55.784,-15.183
67,7,1,124714.62,44744.94,0,110,0,0,NA,NA,NA,NA,NA
