Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,106626.24,117733.14,112992.273,3569.607,71613.06,92663.28,83546.967,7524.345,59,219,369,286.364,41.154,29761.92,0,21513.946,12908.458,6840.729,NA,NA,NA,NA,1721.974,4730.625,2976.192,942.726,286.996,788.438,503.916,153.378,26.565,169.38,108.243,44.964,-37.405,47.726,14.097,28.49
2,2,11,103875.96,121964.34,111319.025,5963.454,76267.38,92451.72,84874.025,5205.896,59,230,355,291.273,41.251,34348.438,0,20540.123,13478.357,7116.882,NA,NA,NA,NA,381.395,6132.504,3434.844,1846.347,63.566,1022.084,588.682,325.409,-170.538,-16.144,-115.534,60.844,-28.962,127.427,14.047,47.402
3,3,9,134023.26,145447.5,139547.327,4216.225,84095.1,88326.3,86739.6,1393.328,48,210,467,281.222,80.017,12895.989,0,12146.29,5736.411,4415.336,NA,NA,NA,NA,852.826,2310.27,1611.999,538.104,142.138,385.045,268.666,89.684,-56.31,7.125,-18.915,21.179,-42.274,45,-9.062,28.55
4,4,11,58496.34,69391.68,65747.078,3577.605,77959.86,86422.26,83383.489,2783.478,59,278,499,337.636,66.808,19138.13,0,13415.723,9137.775,4345.806,NA,NA,NA,NA,643.435,4889.966,1913.813,1206.93,128.687,814.994,321.114,198.747,-126.87,70.56,-10.735,70.918,-58.145,46.332,-13.157,36.135
5,5,11,68016.54,71401.5,68862.78,1383.253,84095.1,90336.12,89037.911,2229.47,59,237,398,316.636,52.1,7963.455,0,7099.879,5571.918,2587.888,NA,NA,NA,NA,0,3469.842,796.345,1189.075,0,578.307,132.724,198.179,-153.435,180,59.069,106.647,-180,180,-50.844,127.801
6,6,9,53418.9,60400.38,56709.833,2722.908,81873.72,107684.04,94626.087,9122.124,48,238,366,309.333,43.738,28169.497,0,26189.898,13043.52,9290.158,NA,NA,NA,NA,2322.347,5028.724,3521.187,985.321,387.058,838.121,586.865,164.22,45,120.069,82.89,25.77,-29.624,42.048,-3.712,26.257
7,7,11,26339.22,34166.94,31666.685,2490.337,39032.82,46225.86,41234.967,2468.923,59,252,401,325.727,51.956,16993.766,0,8153.298,6000.402,2644.214,NA,NA,NA,NA,852.826,3083.99,1699.377,846.309,142.138,522.515,291.938,153.621,-37.875,158.629,56.54,64.747,-67.62,62.65,16.654,41.997
8,8,11,42840.9,49081.92,46427.804,2253.116,28877.94,36494.1,33474.562,2911.685,59,242,499,348.364,78.884,13994.976,0,9584.042,5231.767,3487.523,NA,NA,NA,NA,105.78,3189.228,1399.498,990.172,17.63,531.538,237.539,165.044,-9.462,180,102.765,67.348,-135,61.67,-14.003,58.335
9,9,11,32791.8,38927.04,36907.604,1948.452,34272.72,48341.46,42638.956,5123.172,59,279,505,379.727,84.106,23106.228,0,14355.714,7494.667,4760.309,NA,NA,NA,NA,473.063,3313.127,2310.623,793.58,78.844,552.188,393.485,137.217,-157.751,18.435,-66.491,56.743,-151.966,61.314,-17.193,68.198
10,10,10,11635.8,26127.66,16861.332,4803.96,54899.82,62198.64,60051.306,2338.379,54,253,452,355.8,63.071,19239.843,0,16037.448,7555.949,4746.554,NA,NA,NA,NA,669.011,3821.28,2137.76,1082.752,111.502,636.88,356.293,180.459,-9.462,95.44,32.171,34.042,-45,27.897,-11.335,25.52
