Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,111069,71613.06,0,304,0,0,NA,NA,NA,NA,NA
2,1,2,115300.2,73728.66,6,219,4730.625,4730.625,NA,4730.625,788.438,26.565,NA
3,1,3,117733.14,76478.94,12,266,8402.578,8251.518,NA,3671.953,611.992,48.504,21.938
4,1,4,117733.14,78700.32,18,261,10623.958,9728.31,NA,2221.38,370.23,90,41.496
5,1,5,115617.54,82085.28,24,313,14615.664,11417.382,NA,3991.706,665.284,122.005,32.005
6,1,6,114136.62,84941.34,30,276,17832.837,13676.745,NA,3217.173,536.196,117.408,-4.598
7,1,7,112761.48,86739.6,36,369,20096.628,15220.93,NA,2263.791,377.298,127.405,9.998
8,1,8,112761.48,89172.54,42,313,22529.568,17640.857,NA,2432.94,405.49,90,-37.405
9,1,9,110434.32,91288.14,48,254,25674.634,19685.314,NA,3145.066,524.178,137.726,47.726
10,1,10,108741.84,91605.48,54,259,27396.607,20127.407,NA,1721.974,286.996,169.38,31.654
11,1,11,106626.24,92663.28,59,316,29761.92,21513.946,NA,2365.313,473.063,153.435,-15.945
12,2,1,121964.34,92451.72,0,237,0,0,NA,NA,NA,NA,NA
13,2,2,120060.3,92134.38,6,230,1930.304,1930.304,NA,1930.304,321.717,-170.538,NA
14,2,3,114136.62,90547.68,12,243,8062.808,8055.965,NA,6132.504,1022.084,-165.005,5.533
15,2,4,111386.34,86633.82,18,318,12846.356,12072.367,NA,4783.549,797.258,-125.096,39.909
16,2,5,107472.48,84729.78,24,311,17198.789,16420.791,NA,4352.432,725.405,-154.058,-28.962
17,2,6,107155.14,84518.22,30,310,17580.184,16800.382,NA,381.395,63.566,-146.31,7.748
18,2,7,104827.98,83143.08,36,309,20283.272,19501.426,NA,2703.088,450.515,-149.421,-3.111
19,2,8,103875.96,82719.96,42,355,21325.084,20540.123,NA,1041.812,173.635,-156.038,-6.617
20,2,9,107366.7,80815.92,48,290,25301.343,18667.698,NA,3976.259,662.71,-28.61,127.427
21,2,10,111386.34,79652.34,54,269,29486.008,16604.765,NA,4184.665,697.444,-16.144,12.466
22,2,11,114877.08,76267.38,59,332,34348.438,17668.11,NA,4862.429,972.486,-44.119,-27.974
23,3,1,134023.26,88220.52,0,253,0,0,NA,NA,NA,NA,NA
24,3,2,134869.5,88326.3,6,244,852.826,852.826,NA,852.826,142.138,7.125,NA
25,3,3,135821.52,88008.96,12,266,1856.343,1810.662,NA,1003.517,167.253,-18.435,-25.56
26,3,4,138042.9,87374.28,18,210,4166.613,4107.752,NA,2310.27,385.045,-15.945,2.49
27,3,5,139100.7,86422.26,24,287,5589.737,5386.477,NA,1423.124,237.187,-41.987,-26.042
28,3,6,141110.52,86528.04,30,246,7602.339,7286.545,NA,2012.602,335.434,3.013,45
29,3,7,143120.34,85999.14,36,467,9680.586,9364.368,NA,2078.247,346.375,-14.744,-17.756
30,3,8,144389.7,85681.8,42,342,10989.013,10672.777,NA,1308.426,218.071,-14.036,0.707
31,3,9,145447.5,84095.1,48,216,12895.989,12146.29,NA,1906.976,317.829,-56.31,-42.274
32,4,1,58496.34,77959.86,0,423,0,0,NA,NA,NA,NA,NA
33,4,2,60400.38,79440.78,6,311,2412.155,2412.155,NA,2412.155,402.026,37.875,NA
34,4,3,64208.46,82508.4,12,289,7302.121,7301.885,NA,4889.966,814.994,38.853,0.978
35,4,4,64948.92,83989.32,18,278,8957.84,8831.205,NA,1655.719,275.953,63.435,24.582
36,4,5,65583.6,85787.58,24,334,10864.816,10559.472,NA,1906.976,317.829,70.56,7.125
37,4,6,66429.84,86104.92,30,300,11768.601,11370.243,NA,903.785,150.631,20.556,-50.004
38,4,7,68651.22,86422.26,36,499,14012.533,13218.691,NA,2243.933,373.989,8.13,-12.426
39,4,8,69391.68,85787.58,42,334,14987.777,13415.723,NA,975.243,162.541,-40.601,-48.731
40,4,9,69180.12,84412.44,48,349,16379.095,12481.144,NA,1391.319,231.886,-98.746,-58.145
41,4,10,67910.76,82719.96,54,303,18494.695,10549.401,NA,2115.6,352.6,-126.87,-28.124
42,4,11,68016.54,82085.28,59,294,19138.13,10375.611,NA,643.435,128.687,-80.538,46.332
43,5,1,71401.5,84095.1,0,346,0,0,NA,NA,NA,NA,NA
44,5,2,71189.94,85681.8,6,366,1600.742,1600.742,NA,1600.742,266.79,97.595,NA
45,5,3,70343.7,87585.84,12,398,3684.366,3647.493,NA,2083.624,347.271,113.962,16.368
46,5,4,68228.1,90336.12,18,237,7154.208,7001.485,NA,3469.842,578.307,127.569,13.606
47,5,5,68016.54,90230.34,24,260,7390.739,7007.077,NA,236.531,39.422,-153.435,78.996
48,5,6,68016.54,90336.12,30,239,7496.519,7099.879,NA,105.78,17.63,90,-116.565
49,5,7,68122.32,90230.34,36,306,7646.115,6956.593,NA,149.596,24.933,-45,-135
50,5,8,68016.54,90230.34,42,351,7751.895,7007.077,NA,105.78,17.63,180,-135
51,5,9,68122.32,90230.34,48,331,7857.675,6956.593,NA,105.78,17.63,0,-180
52,5,10,68016.54,90230.34,54,321,7963.455,7007.077,NA,105.78,17.63,180,180
53,5,11,68016.54,90230.34,59,328,7963.455,7007.077,NA,0,0,0,-180
54,6,1,54794.04,81873.72,0,366,0,0,NA,NA,NA,NA,NA
55,6,2,53630.46,83883.54,6,293,2322.347,2322.347,NA,2322.347,387.058,120.069,NA
56,6,3,53418.9,87903.18,12,331,6347.55,6184.286,NA,4025.204,670.867,93.013,-27.056
57,6,4,54582.48,92134.38,18,295,10735.827,10262.841,NA,4388.277,731.379,74.624,-18.389
58,6,5,56380.74,93932.64,24,320,13278.951,12162.86,NA,2543.124,423.854,45,-29.624
59,6,6,58496.34,97423.38,30,346,17360.743,15984.335,NA,4081.792,680.299,58.782,13.782
60,6,7,60400.38,102077.7,36,238,22389.467,20967.4,NA,5028.724,838.121,67.751,8.969
61,6,8,59448.36,104722.2,42,344,25200.111,23317.713,NA,2810.644,468.441,109.799,42.048
62,6,9,59236.8,107684.04,48,251,28169.497,26189.898,NA,2969.386,494.898,94.086,-15.713
63,7,1,26339.22,39561.72,0,320,0,0,NA,NA,NA,NA,NA
64,7,2,29089.5,39984.84,6,318,2782.637,2782.637,NA,2782.637,463.773,8.746,NA
65,7,3,30887.76,39350.16,12,276,4689.613,4553.457,NA,1906.976,317.829,-19.44,-28.186
66,7,4,31628.22,39773.28,18,350,5542.439,5293.23,NA,852.826,142.138,29.745,49.185
67,7,5,32580.24,39032.82,24,336,6748.517,6263.391,NA,1206.078,201.013,-37.875,-67.62
68,7,6,33955.38,39667.5,30,252,8263.056,7616.895,NA,1514.539,252.423,24.775,62.65
69,7,7,34166.94,40619.52,36,369,9238.299,7898.87,NA,975.243,162.541,77.471,52.696
70,7,8,34061.16,41465.76,42,401,10091.125,7953.221,NA,852.826,142.138,97.125,19.654
71,7,9,33743.82,42629.34,48,398,11297.202,8014.886,NA,1206.078,201.013,105.255,8.13
72,7,10,32157.12,45273.84,54,310,14381.193,8153.298,NA,3083.99,513.998,120.964,15.709
