Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,2,2,36599.88,39561.72,42,217,0,0,NA,NA,NA,NA,NA
2,2,3,36388.32,39667.5,48,207,236.531,236.531,NA,236.531,39.422,153.435,NA
3,3,1,26127.66,42840.9,0,354,0,0,NA,NA,NA,NA,NA
4,3,2,26656.56,40090.62,6,370,2800.674,2800.674,NA,2800.674,466.779,-79.114,NA
5,3,3,29301.06,40090.62,12,275,5445.174,4199.346,NA,2644.5,440.75,0,79.114
6,3,4,32580.24,38609.7,18,412,9043.249,7716.142,NA,3598.075,599.679,-24.305,-24.305
7,3,5,33109.14,41783.1,24,383,12260.422,7061.162,NA,3217.173,536.196,80.538,104.842
8,3,6,36811.44,39667.5,30,384,16524.551,11145.117,NA,4264.128,710.688,-29.745,-110.283
9,3,7,37128.78,37234.56,36,378,18978.099,12347.295,NA,2453.549,408.925,-82.569,-52.824
10,3,8,35753.64,36494.1,42,323,20539.922,11530.02,NA,1561.823,260.304,-151.699,-69.131
11,3,9,33320.7,35859.42,48,394,23054.284,10024.016,NA,2514.362,419.06,-165.379,-13.68
12,3,10,33320.7,35647.86,54,438,23265.844,10172.495,NA,211.56,35.26,-90,75.379
13,3,11,32051.34,36388.32,59,373,24735.387,8759.325,NA,1469.543,293.909,149.744,-120.256
14,4,1,32791.8,40407.96,0,375,0,0,NA,NA,NA,NA,NA
15,4,2,31416.66,38503.92,6,397,2348.697,2348.697,NA,2348.697,391.45,-125.838,NA
16,4,3,31310.88,38609.7,12,443,2498.293,2329.563,NA,149.596,24.933,135,-99.162
17,4,4,31099.32,38080.8,18,467,3067.935,2877.527,NA,569.643,94.94,-111.801,113.199
18,4,5,30041.52,36388.32,24,397,5063.788,4870.477,NA,1995.853,332.642,-122.005,-10.204
19,4,6,29618.4,34061.16,30,333,7429.101,7095.938,NA,2365.313,394.219,-100.305,21.701
20,4,7,28560.6,31734,36,316,9985.39,9650.94,NA,2556.289,426.048,-114.444,-14.139
21,4,8,26550.78,29829.96,42,283,12753.918,12281.873,NA,2768.528,461.421,-136.548,-22.104
22,4,9,23588.94,27502.8,48,303,16520.637,15850.419,NA,3766.719,627.786,-141.843,-5.295
23,4,10,25281.42,24646.74,54,347,19840.511,17459.148,NA,3319.875,553.312,-59.349,82.493
24,4,11,25492.98,24329.4,59,372,20221.906,17657.657,NA,381.395,76.279,-56.31,3.039
25,5,1,43792.92,33743.82,0,382,0,0,NA,NA,NA,NA,NA
26,5,2,42100.44,32791.8,6,266,1941.863,1941.863,NA,1941.863,323.644,-150.642,NA
27,5,3,40619.52,31522.44,12,391,3892.349,3873.628,NA,1950.487,325.081,-139.399,11.244
28,5,4,40090.62,29089.5,18,470,6382.115,5947.245,NA,2489.766,414.961,-102.265,37.134
29,5,5,36811.44,26233.44,24,691,10730.689,10254.115,NA,4348.575,724.762,-138.945,-36.68
30,5,6,34801.62,24858.3,30,324,13165.928,12641.042,NA,2435.238,405.873,-145.62,-6.674
31,5,7,34272.72,23060.04,36,401,15040.354,14310.044,NA,1874.426,312.404,-106.39,39.23
32,5,8,32897.58,19463.52,42,277,18890.804,17962.054,NA,3850.45,641.742,-110.925,-4.535
33,5,9,30781.98,15443.88,48,317,23433.19,22453.783,NA,4542.386,757.064,-117.759,-6.834
34,5,10,28031.7,16184.34,54,352,26281.404,23595.58,NA,2848.214,474.702,164.932,-77.31
35,5,11,25704.54,16924.8,59,377,28723.525,24699.573,NA,2442.121,488.424,162.35,-2.582
36,6,1,55534.5,26339.22,0,297,0,0,NA,NA,NA,NA,NA
37,6,2,59131.02,25387.2,6,415,3720.39,3720.39,NA,3720.39,620.065,-14.826,NA
38,6,3,59659.92,24117.84,12,263,5095.53,4685.469,NA,1375.14,229.19,-67.38,-52.554
39,6,4,60083.04,22108.02,18,397,7149.406,6212.268,NA,2053.876,342.313,-78.111,-10.731
40,6,5,61246.62,20627.1,24,412,9032.765,8078.158,NA,1883.359,313.893,-51.843,26.269
41,6,6,62092.86,17453.7,30,357,12317.059,11043.756,NA,3284.294,547.382,-75.069,-23.226
42,6,7,62410.2,17242.14,36,300,12698.455,11403.163,NA,381.395,63.566,-33.69,41.379
43,6,8,62727.54,16501.68,42,388,13504.051,12186.756,NA,805.596,134.266,-66.801,-33.111
44,6,9,62304.42,12799.38,48,356,17230.451,15138.001,NA,3726.4,621.067,-96.52,-29.718
45,6,10,60823.5,10578,54,302,19900.217,16624.968,NA,2669.766,444.961,-123.69,-27.17
46,6,11,59659.92,9202.86,59,407,21701.586,17625.945,NA,1801.368,360.274,-130.236,-6.546
47,7,1,63468,21050.22,0,276,0,0,NA,NA,NA,NA,NA
48,7,2,60400.38,19251.96,6,336,3555.845,3555.845,NA,3555.845,592.641,-149.621,NA
49,7,3,57755.88,16713.24,12,247,7221.698,7172.009,NA,3665.853,610.976,-136.169,13.452
50,7,4,52995.78,17453.7,18,397,12039.045,11072.594,NA,4817.347,802.891,171.158,-52.673
51,7,5,51726.42,17453.7,24,323,13308.405,12280.051,NA,1269.36,211.56,180,8.842
52,7,6,47177.88,18511.5,30,362,17978.325,16486.756,NA,4669.92,778.32,166.908,-13.092
53,7,7,44427.6,20309.76,36,309,21264.323,19054.792,NA,3285.997,547.666,146.821,-20.087
54,7,8,42100.44,21473.34,42,324,23866.167,21371.749,NA,2601.844,433.641,153.435,6.613
55,7,9,42100.44,21579.12,48,278,23971.947,21374.105,NA,105.78,17.63,90,-63.435
56,7,10,42100.44,23060.04,54,281,25452.867,21461.873,NA,1480.92,246.82,90,0
57,7,11,42946.68,25916.1,59,235,28431.659,21090.314,NA,2978.792,595.758,73.496,-16.504
58,8,1,112126.8,48235.68,0,301,0,0,NA,NA,NA,NA,NA
59,8,2,112761.48,44639.16,6,344,3652.092,3652.092,NA,3652.092,608.682,-79.992,NA
60,8,3,110434.32,42840.9,12,332,6593.08,5654.037,NA,2940.988,490.165,-142.306,-62.314
61,8,4,109164.96,43264.02,18,336,7931.103,5787.046,NA,1338.023,223.004,161.565,-56.129
62,8,5,106097.34,44744.94,24,323,11337.482,6967.041,NA,3406.379,567.73,154.231,-7.334
63,8,6,104510.64,42629.34,30,384,13981.982,9457.111,NA,2644.5,440.75,-126.87,78.899
64,8,7,102712.38,40196.4,36,342,17007.364,12379.876,NA,3025.382,504.23,-126.469,0.401
65,8,8,100808.34,39244.38,42,416,19136.145,14455.138,NA,2128.781,354.797,-153.435,-26.966
66,8,9,100596.78,42417.78,48,323,22316.59,12914.694,NA,3180.444,530.074,93.814,-112.751
67,8,10,102077.7,43581.36,54,303,24199.949,11074.615,NA,1883.359,313.893,38.157,-55.657
68,8,11,101337.24,44427.6,59,325,25324.406,11441.856,NA,1124.457,224.891,131.186,93.029
69,9,1,48764.58,42312,0,456,0,0,NA,NA,NA,NA,NA
70,9,2,48976.14,41254.2,6,369,1078.749,1078.749,NA,1078.749,179.791,-78.69,NA
71,9,3,50985.96,39773.28,12,264,3575.246,3373.37,NA,2496.498,416.083,-36.384,42.306
72,9,4,52255.32,37763.46,18,272,5952.356,5733.627,NA,2377.11,396.185,-57.724,-21.34
73,9,5,54265.14,37234.56,24,369,8030.603,7485.757,NA,2078.247,346.375,-14.744,42.981
74,9,6,56909.64,37657.68,30,407,10708.739,9381.082,NA,2678.136,446.356,9.09,23.834
75,9,7,57226.98,39138.6,36,322,12223.278,9037.847,NA,1514.539,252.423,77.905,68.815
76,9,8,58496.34,42417.78,42,317,15739.568,9732.335,NA,3516.29,586.048,68.839,-9.067
77,9,9,60717.72,45062.28,48,299,19193.249,12265.464,NA,3453.681,575.613,49.97,-18.869
78,10,1,59236.8,46860.54,0,388,0,0,NA,NA,NA,NA,NA
79,10,2,57438.54,48553.02,6,444,2469.459,2469.459,NA,2469.459,411.576,136.736,NA
80,10,3,56592.3,49822.38,12,431,3995.04,3970.627,NA,1525.581,254.263,123.69,-13.046
81,10,4,53947.8,50351.28,18,363,6691.911,6337.096,NA,2696.871,449.479,168.69,45
82,10,5,53207.34,49293.48,24,304,7983.121,6501.814,NA,1291.209,215.202,-124.992,66.318
83,10,6,52995.78,47601,30,327,9688.772,6284.792,NA,1705.651,284.275,-97.125,27.867
84,10,7,53313.12,45379.62,36,322,11932.705,6105.99,NA,2243.933,373.989,-81.87,15.255
85,10,8,52890,44004.48,42,346,13371.468,6959.81,NA,1438.764,239.794,-107.103,-25.233
86,10,9,51197.52,41571.54,48,295,16335.196,9623.074,NA,2963.728,493.955,-124.824,-17.722
87,10,10,50139.72,39244.38,54,333,18891.486,11864.348,NA,2556.289,426.048,-114.444,10.381
88,10,11,49293.48,37975.02,59,331,20417.067,13334.994,NA,1525.581,305.116,-123.69,-9.246
89,11,1,18934.62,11953.14,0,311,0,0,NA,NA,NA,NA,NA
90,11,2,17242.14,12482.04,6,320,1773.196,1773.196,NA,1773.196,295.533,162.646,NA
91,11,3,15972.78,12693.6,12,478,3060.065,3052.995,NA,1286.869,214.478,170.538,7.892
92,11,4,16078.56,13116.72,18,428,3496.207,3083.99,NA,436.142,72.69,75.964,-94.574
93,11,5,18299.94,12905.16,24,468,5727.639,1144.186,NA,2231.432,371.905,-5.44,-81.404
94,11,6,18299.94,12693.6,30,450,5939.199,975.243,NA,211.56,35.26,-90,-84.56
95,12,1,73411.32,50880.18,0,306,0,0,NA,NA,NA,NA,NA
96,12,2,75950.04,48976.14,6,466,3173.4,3173.4,NA,3173.4,528.9,-36.87,NA
97,12,3,78382.98,47495.22,12,355,6021.614,6014.595,NA,2848.214,474.702,-31.329,5.541
98,12,4,83037.3,48553.02,18,388,10794.625,9903.291,NA,4773.011,795.502,12.804,44.133
99,12,5,85258.68,46014.3,24,379,14167.995,12807.682,NA,3373.37,562.228,-48.814,-61.618
100,12,6,83883.54,43687.14,30,591,16871.083,12704.614,NA,2703.088,450.515,-120.579,-71.765
101,12,7,81344.82,42312,36,409,19758.315,11677.077,NA,2887.232,481.205,-151.557,-30.978
102,12,8,88960.98,41783.1,42,261,27392.818,18015.238,NA,7634.502,1272.417,-3.972,147.585
103,12,9,93721.08,40302.18,48,309,32377.963,22899.354,NA,4985.146,830.858,-17.281,-13.309
104,12,10,95730.9,37763.46,54,344,35615.937,25888.453,NA,3237.974,539.662,-51.633,-34.351
105,13,1,118050.48,31734,0,429,0,0,NA,NA,NA,NA,NA
106,13,2,118473.6,33532.26,6,345,1847.368,1847.368,NA,1847.368,307.895,76.759,NA
107,13,3,120483.42,34061.16,12,328,3925.616,3366.73,NA,2078.247,346.375,14.744,-62.016
108,13,4,124503.06,36811.44,18,253,8796.092,8210.736,NA,4870.477,811.746,34.38,19.637
109,13,5,128734.26,36176.76,24,236,13074.629,11570.707,NA,4278.536,713.089,-8.531,-42.911
110,13,6,134552.16,36599.88,30,278,18907.895,17204.134,NA,5833.266,972.211,4.16,12.69
111,13,7,136244.64,37551.9,36,236,20849.757,19101.712,NA,1941.863,323.644,29.358,25.198
112,13,8,135927.3,39667.5,42,290,22989.025,19558.147,NA,2139.268,356.545,98.531,69.173
113,13,9,137302.44,40936.86,48,293,24860.465,21338.477,NA,1871.439,311.907,42.709,-55.821
114,13,10,140581.62,38609.7,54,258,28881.496,23556.9,NA,4021.032,670.172,-35.362,-78.072
115,13,11,140370.06,35436.3,59,245,32061.94,22624.559,NA,3180.444,636.089,-93.814,-58.452
116,14,1,118473.6,9837.54,0,432,0,0,NA,NA,NA,NA,NA
117,14,2,115723.32,9625.98,6,269,2758.405,2758.405,NA,2758.405,459.734,-175.601,NA
118,14,3,112973.04,11424.24,12,242,6044.402,5724.839,NA,3285.997,547.666,146.821,-37.577
119,14,4,109693.86,10789.56,18,340,9384.438,8831.205,NA,3340.036,556.673,-169.046,44.133
120,14,5,108530.28,13645.62,24,317,12468.429,10647.586,NA,3083.99,513.998,112.166,-78.788
121,14,6,106203.12,13010.94,30,313,14880.584,12674.192,NA,2412.155,402.026,-164.745,83.089
122,14,7,104827.98,14703.42,36,339,17061.294,14487.227,NA,2180.711,363.452,129.094,-66.161
123,14,8,104616.42,15126.54,42,303,17534.357,14832.227,NA,473.063,78.844,116.565,-12.529
124,14,9,104299.08,15338.1,48,342,17915.752,15204.38,NA,381.395,63.566,146.31,29.745
125,14,10,103770.18,16078.56,54,359,18825.706,15973.13,NA,909.954,151.659,125.538,-20.772
126,14,11,101971.92,16290.12,59,347,20636.368,17718.387,NA,1810.662,362.132,173.29,47.752
127,15,1,54794.04,57755.88,0,386,0,0,NA,NA,NA,NA,NA
128,15,2,56486.52,57755.88,6,647,1692.48,1692.48,NA,1692.48,282.08,0,NA
129,15,3,57438.54,59025.24,12,395,3279.18,2933.369,NA,1586.7,264.45,53.13,53.13
130,15,4,61881.3,60717.72,18,358,8033.4,7681.26,NA,4754.22,792.37,20.854,-32.276
131,15,5,70872.6,63785.34,24,415,17533.598,17171.91,NA,9500.198,1583.366,18.838,-2.016
132,15,6,71507.28,66218.28,30,409,20047.96,18733.516,NA,2514.362,419.06,75.379,56.541
133,15,7,72247.74,68968.56,36,295,22896.174,20745.02,NA,2848.214,474.702,74.932,-0.448
134,15,8,79123.44,73199.76,42,354,30969.482,28817.237,NA,8073.308,1345.551,31.608,-43.324
