Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,2,2,36388.32,36599.88,36494.1,149.596,39561.72,39667.5,39614.61,74.798,6,207,217,212,7.071,236.531,0,236.531,118.266,167.253,NA,NA,NA,NA,236.531,236.531,236.531,NA,39.422,39.422,39.422,NA,153.435,153.435,153.435,NA,NA,NA,NA,NA
2,3,11,26127.66,37128.78,32378.296,3706.062,35647.86,42840.9,38609.7,2472.176,59,275,438,371.273,43.444,24735.387,0,12347.295,7795.963,3957.609,NA,NA,NA,NA,211.56,4264.128,2473.539,1160.358,35.26,710.688,417.155,189.26,-165.379,149.744,-39.253,98.046,-120.256,104.842,-14.571,83.661
3,4,11,23588.94,32791.8,28704.845,3034.346,24329.4,40407.96,33099.524,5846.191,59,283,467,366.636,57.422,20221.906,0,17657.657,8402.022,6546.749,NA,NA,NA,NA,149.596,3766.719,2022.191,1251.816,24.933,627.786,338.303,206.815,-141.843,135,-83.344,82.056,-99.162,113.199,7.725,61.457
4,5,11,25704.54,43792.92,35445.916,5865.681,15443.88,33743.82,24483.262,6809.532,59,266,691,386.182,116.82,28723.525,0,24699.573,12516.266,8912.17,NA,NA,NA,NA,1874.426,4542.386,2872.352,1008.825,312.404,757.064,486.866,166.24,-150.642,164.932,-68.466,123.499,-77.31,39.23,-5.223,35.776
5,6,11,55534.5,62727.54,60515.776,2077.954,9202.86,26339.22,18396.104,5884.155,59,263,415,354,54.829,21701.586,0,17625.945,9701.716,5665.897,NA,NA,NA,NA,381.395,3726.4,2170.159,1166.264,63.566,621.067,367.698,193.191,-130.236,-14.826,-73.817,36.316,-52.554,41.379,-12.823,29.79
6,7,11,42100.44,63468,49745.449,7980.761,16713.24,25916.1,20252.062,2758.147,59,235,397,306.182,48.754,28431.659,0,21461.873,14083.644,7807.432,NA,NA,NA,NA,105.78,4817.347,2843.166,1509.884,17.63,802.891,483.79,254.58,-149.621,180,78.603,122.655,-63.435,13.452,-15.209,27.08
7,8,11,100596.78,112761.48,105693.453,4671.314,39244.38,48235.68,43292.869,2389.828,59,301,416,339,33.903,25324.406,0,14455.138,8525.773,4469.456,NA,NA,NA,NA,1124.457,3652.092,2532.441,872.611,223.004,608.682,425.822,139.059,-153.435,161.565,-5.012,133.078,-112.751,93.029,-16.536,67.123
8,9,9,48764.58,60717.72,54288.647,4305.837,37234.56,45062.28,40290.427,2658.976,48,264,456,341.667,63.773,19193.249,0,12265.464,6454.248,4203.954,NA,NA,NA,NA,1078.749,3516.29,2399.156,851.621,179.791,586.048,399.859,141.937,-78.69,77.905,2.283,59.054,-21.34,68.815,18.38,35.283
9,10,11,49293.48,59236.8,53659.309,3048.627,37975.02,50351.28,45514.249,4308.53,59,295,444,353.091,49.015,20417.067,0,13334.994,6677.455,3875.991,NA,NA,NA,NA,1291.209,2963.728,2041.707,609.236,215.202,493.955,345.37,97.963,-124.992,168.69,-34.493,123.721,-25.233,66.318,11.064,30.913
10,11,6,15972.78,18934.62,17471.33,1245.182,11953.14,13116.72,12640.71,400.011,30,311,478,409.167,74.577,5939.199,0,3083.99,1671.602,1222.354,NA,NA,NA,NA,211.56,2231.432,1187.84,860.19,35.26,371.905,197.973,143.365,-90,170.538,62.741,111.529,-94.574,7.892,-63.161,47.7
11,12,10,73411.32,95730.9,83968.164,7263.012,37763.46,50880.18,44776.674,4262.247,54,261,591,380.8,93.936,35615.937,0,25888.453,12308.37,8234.753,NA,NA,NA,NA,2703.088,7634.502,3957.326,1607.2,450.515,1272.417,659.554,267.867,-151.557,12.804,-49.915,53.565,-71.765,147.585,-1.845,70.707
12,13,11,118050.48,140581.62,130474.822,8736.348,31734,40936.86,36465.251,2721.689,59,236,429,290.091,58.475,32061.94,0,23556.9,13489.043,8832.076,NA,NA,NA,NA,1847.368,5833.266,3206.194,1457.661,307.895,972.211,544.967,245.04,-93.814,98.531,16.293,54.947,-78.072,69.173,-18.953,51.294
13,14,11,101971.92,118473.6,108280.255,5376.137,9625.98,16290.12,13260.965,2482.237,59,242,432,327.545,49.442,20636.368,0,17718.387,10804.689,5816.826,NA,NA,NA,NA,381.395,3340.036,2063.637,1132.215,63.566,556.673,349.975,188.169,-175.601,173.29,44.039,148.603,-78.788,83.089,-1.234,55.439
14,15,8,54794.04,79123.44,65543.932,9023.853,57755.88,73199.76,63428.332,5671.662,42,295,647,407.375,104.202,30969.482,0,28817.237,12221.849,10570.108,NA,NA,NA,NA,1586.7,9500.198,4424.212,3184.221,264.45,1583.366,737.369,530.703,0,75.379,39.249,29.227,-43.324,56.541,5.268,41.895
