Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,111492.12,23165.82,0,400,0,0,NA,NA,NA,NA,NA
2,1,2,113501.94,24223.62,6,349,2271.193,2271.193,NA,2271.193,378.532,27.759,NA
3,1,3,115405.98,25704.54,12,369,4683.348,4665.126,NA,2412.155,402.026,37.875,10.116
4,1,4,116040.66,26021.88,18,351,5392.942,5370.875,NA,709.594,118.266,26.565,-11.31
5,1,5,117204.24,27397.02,24,343,7194.31,7108.542,NA,1801.368,300.228,49.764,23.199
6,1,6,117310.02,28243.26,30,332,8047.136,7721.94,NA,852.826,142.138,82.875,33.111
7,1,7,117627.36,29195.28,36,365,9050.653,8602.067,NA,1003.517,167.253,71.565,-11.31
8,1,8,119214.06,30147.3,42,408,10901.047,10410.063,NA,1850.394,308.399,30.964,-40.601
9,1,9,120271.86,30253.08,48,346,11964.123,11283.31,NA,1063.076,177.179,5.711,-25.253
10,1,10,121964.34,31205.1,54,378,13905.986,13202.175,NA,1941.863,323.644,29.358,23.647
11,1,11,122704.8,33320.7,59,240,16147.424,15127.65,NA,2241.438,448.288,70.71,41.352
12,2,1,123127.92,23271.6,0,393,0,0,NA,NA,NA,NA,NA
13,2,2,121964.34,23060.04,6,377,1182.656,1182.656,NA,1182.656,197.109,-169.695,NA
14,2,3,121329.66,23906.28,12,272,2240.456,1906.976,NA,1057.8,176.3,126.87,-63.435
15,2,4,120800.76,25175.64,18,310,3615.596,3006.833,NA,1375.14,229.19,112.62,-14.25
16,2,5,120377.64,25281.42,24,337,4051.738,3406.379,NA,436.142,72.69,165.964,53.344
17,2,6,119531.4,25069.86,30,367,4924.023,4021.032,NA,872.284,145.381,-165.964,28.072
18,2,7,118790.94,24964.08,36,343,5672,4655.522,NA,747.978,124.663,-171.87,-5.906
19,2,8,118473.6,25387.2,42,429,6200.9,5112.578,NA,528.9,88.15,126.87,-61.26
20,2,9,118685.16,24858.3,48,391,6770.543,4717.598,NA,569.643,94.94,-68.199,164.932
21,2,10,119002.5,24540.96,54,382,7219.33,4316.291,NA,448.787,74.798,-45,23.199
22,2,11,119002.5,24646.74,59,413,7325.11,4348.575,NA,105.78,21.156,90,135
23,3,1,118790.94,38927.04,0,377,0,0,NA,NA,NA,NA,NA
24,3,2,122916.36,37657.68,6,373,4316.291,4316.291,NA,4316.291,719.382,-17.103,NA
25,3,3,125031.96,36917.22,12,277,6557.729,6556.654,NA,2241.438,373.573,-19.29,-2.187
26,3,4,125243.52,36494.1,18,306,7030.791,6896.012,NA,473.063,78.844,-63.435,-44.145
27,3,5,127041.78,37446.12,24,268,9065.51,8382.69,NA,2034.719,339.12,27.897,91.332
28,3,6,128734.26,35647.86,30,316,11534.969,10470.083,NA,2469.459,411.576,-46.736,-74.633
29,3,7,131801.88,33849.6,36,356,15090.814,13966.566,NA,3555.845,592.641,-30.379,16.357
30,3,8,137408.22,31945.56,42,312,21011.66,19883.264,NA,5920.846,986.808,-18.759,11.62
31,3,9,140687.4,30993.54,48,262,24426.241,23289.383,NA,3414.581,569.097,-16.189,2.569
32,3,10,143226.12,30041.52,54,349,27137.595,26000.586,NA,2711.354,451.892,-20.556,-4.367
33,3,11,145235.94,30041.52,59,337,29147.415,27897.858,NA,2009.82,401.964,0,20.556
34,4,1,27925.92,29618.4,0,492,0,0,NA,NA,NA,NA,NA
35,4,2,26550.78,28983.72,6,389,1514.539,1514.539,NA,1514.539,252.423,-155.225,NA
36,4,3,24646.74,27820.14,12,360,3745.971,3739.888,NA,2231.432,371.905,-148.57,6.654
37,4,4,22954.26,25916.1,18,747,6293.49,6198.744,NA,2547.52,424.587,-131.634,16.937
38,4,5,23800.5,22531.14,24,307,9782.627,8200.509,NA,3489.137,581.523,-75.964,55.67
39,4,6,23588.94,19886.64,30,419,12435.576,10654.414,NA,2652.949,442.158,-94.574,-18.61
40,4,7,23377.38,17982.6,36,428,14351.333,12493.24,NA,1915.757,319.293,-96.34,-1.766
41,4,8,22319.58,16395.9,42,496,16258.31,14361.948,NA,1906.976,317.829,-123.69,-27.35
42,4,9,21896.46,15972.78,48,457,16856.692,14918.356,NA,598.382,99.73,-135,-11.31
43,4,10,22213.8,16184.34,54,515,17238.087,14598.023,NA,381.395,63.566,33.69,168.69
44,4,11,25069.86,16184.34,59,307,20094.147,13734.302,NA,2856.06,571.212,0,-33.69
45,5,1,13962.96,31945.56,0,380,0,0,NA,NA,NA,NA,NA
46,5,2,13962.96,27397.02,6,291,4548.54,4548.54,NA,4548.54,758.09,-90,NA
47,5,3,13857.18,24752.52,12,442,7195.155,7193.818,NA,2646.615,441.102,-92.291,-2.291
48,5,4,14174.52,24329.4,18,447,7724.055,7619.098,NA,528.9,88.15,-53.13,39.161
49,5,5,14068.74,24012.06,24,452,8058.56,7934.205,NA,334.506,55.751,-108.435,-55.305
50,5,6,14280.3,23271.6,30,418,8828.651,8679.763,NA,770.09,128.348,-74.055,34.38
51,5,7,16290.12,21896.46,36,339,11263.889,10315.042,NA,2435.238,405.873,-34.38,39.674
52,5,8,18723.06,22213.8,42,421,13717.438,10833.545,NA,2453.549,408.925,7.431,41.812
53,5,9,21896.46,23060.04,48,370,17001.732,11911.88,NA,3284.294,547.382,14.931,7.5
54,5,10,23165.82,24012.06,54,260,18588.432,12150.434,NA,1586.7,264.45,36.87,21.938
55,5,11,23800.5,23694.72,59,486,19298.026,12839.531,NA,709.594,141.919,-26.565,-63.435
56,6,1,32262.9,49928.16,0,341,0,0,NA,NA,NA,NA,NA
57,6,2,33109.14,54899.82,6,411,5043.166,5043.166,NA,5043.166,840.528,80.34,NA
58,6,3,35542.08,59977.26,12,360,10673.405,10570.593,NA,5630.239,938.373,64.398,-15.942
59,6,4,40513.74,59236.8,18,290,15699.904,12438.936,NA,5026.498,837.75,-8.471,-72.869
60,6,5,43264.02,55428.72,24,456,20397.298,12299.626,NA,4697.394,782.899,-54.162,-45.691
61,6,6,43687.14,54899.82,30,360,21074.62,12459.16,NA,677.322,112.887,-51.34,2.822
62,6,7,43581.36,54899.82,36,393,21180.4,12362.238,NA,105.78,17.63,180,-128.66
63,6,8,43898.7,54159.36,42,396,21985.997,12381.232,NA,805.596,134.266,-66.801,113.199
64,6,9,44321.82,53101.56,48,415,23125.282,12469.484,NA,1139.285,189.881,-68.199,-1.397
65,6,10,44639.16,52255.32,54,336,24029.067,12593.152,NA,903.785,150.631,-69.444,-1.245
66,6,11,44321.82,49505.04,59,392,26797.595,12066.341,NA,2768.528,553.706,-96.582,-27.138
67,7,1,28772.16,50351.28,0,313,0,0,NA,NA,NA,NA,NA
