Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,111492.12,122704.8,117521.58,3411.302,23165.82,33320.7,28079.782,3112.293,59,240,408,352.818,44.314,16147.424,0,15127.65,7796.631,4583.525,NA,NA,NA,NA,709.594,2412.155,1614.742,644.175,118.266,448.288,276.595,117.555,5.711,82.875,43.314,24.65,-40.601,41.352,4.772,28.158
2,2,11,118473.6,123127.92,120098.765,1543.281,23060.04,25387.2,24560.193,802.56,59,272,429,364.909,46.086,7325.11,0,5112.578,3334.04,1648.723,NA,NA,NA,NA,105.78,1375.14,732.511,390.2,21.156,229.19,122.438,64.411,-171.87,165.964,0.16,138.674,-63.435,164.932,28.855,79.152
3,3,11,118790.94,145235.94,131465.307,8884.112,30041.52,38927.04,34541.978,3291.905,59,262,377,321.182,40.819,29147.415,0,27897.858,13423.581,9455.554,NA,NA,NA,NA,473.063,5920.846,2914.741,1487.352,78.844,986.808,492.49,244.242,-63.435,27.897,-20.455,24.555,-74.633,91.332,1.9,45.667
4,4,11,21896.46,27925.92,24031.293,1886.813,15972.78,29618.4,21588.736,5571.595,59,307,747,447,122.649,20094.147,0,14918.356,9128.542,5526.971,NA,NA,NA,NA,381.395,3489.137,2009.415,975.534,63.566,581.523,344.423,174.146,-155.225,33.69,-92.731,63.387,-33.69,168.69,17.247,62.819
5,5,11,13857.18,23800.5,17107.511,4048.236,21896.46,31945.56,24598.658,2837.73,59,260,486,391.455,71.089,19298.026,0,12839.531,8547.805,3784.328,NA,NA,NA,NA,334.506,4548.54,1929.803,1382.232,55.751,758.09,323.999,228.163,-108.435,36.87,-41.962,50.11,-63.435,41.812,7.048,40.645
6,6,11,32262.9,44639.16,40831.08,4806.651,49505.04,59977.26,54390.153,3265.097,59,290,456,377.273,45.614,26797.595,0,12593.152,10425.812,4105.222,NA,NA,NA,NA,105.78,5630.239,2679.759,2199.79,17.63,938.373,455.855,368.204,-96.582,180,-9.026,88.877,-128.66,113.199,-19.658,65.469
7,7,11,11424.24,30147.3,19857.791,7490.403,37763.46,50351.28,41071.489,4002.928,59,259,494,358.273,80.24,26452.564,0,20888.805,13469.174,7396.458,NA,NA,NA,NA,317.34,5069.721,2645.256,1650.991,63.468,844.954,441.934,273.523,-167.905,180,-17.968,158.683,-53.085,45,-11.753,29.914
8,8,10,59025.24,66112.5,63531.468,2424.083,20521.32,32157.12,26550.78,3691.033,59,346,700,425.4,107.789,14524.765,0,13624.283,6624.177,4305.849,NA,NA,NA,NA,436.142,2547.52,1613.863,755.489,72.69,434.085,265.848,145.416,85.236,165.964,125.78,23.3,-21.984,49.399,3.965,28.095
9,9,11,71930.4,88114.74,80344.718,5666.563,24964.08,32368.68,29541.469,2676.502,59,240,475,391.727,68.665,20157.83,0,16755.365,9688.22,5991.785,NA,NA,NA,NA,436.142,3593.407,2015.783,1157.982,72.69,598.901,341.66,192.159,-45,54.246,-1.505,35.24,-45,56.547,-0.863,31.093
10,10,11,31416.66,44110.26,39504.022,4942.624,9414.42,17136.36,13097.487,2133.936,59,291,579,383.091,95.165,20711.487,0,14857.854,6689.096,4587.78,NA,NA,NA,NA,149.596,4295.502,2071.149,1368.035,24.933,715.917,352.279,229.42,-176.634,176.82,-13.3,151.22,-78.802,46.291,-0.635,44.023
11,11,1,34166.94,34166.94,34166.94,NA,10049.1,10049.1,10049.1,NA,0,393,393,393,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
