Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,46331.64,66112.5,56736.545,6920.514,56274.96,66641.4,63419.918,3215.56,59,207,340,262.455,47.769,24131.166,0,22235.198,12771.184,7352.797,NA,NA,NA,NA,1206.078,3873.628,2413.117,977.697,201.013,645.605,407.872,159.33,-7.125,63.435,22.009,22.174,-59.036,10.408,-6.904,22.979
2,2,11,29195.28,34590.06,31137.785,2031.567,36494.1,53418.9,42061.975,5874.415,59,214,371,292.727,47.219,22499.836,0,17239.544,11512.504,6003.682,NA,NA,NA,NA,539.374,3399.803,2249.984,975.688,107.875,566.634,376.795,159.175,-124.38,101.31,-50.421,69.724,-29.025,78.69,21.045,35.193
3,3,11,14491.86,24752.52,20146.282,3695.452,60823.5,68757,64650.813,2974.589,59,224,455,330.636,61.876,24116.647,0,9318.251,6058.85,3217.997,NA,NA,NA,NA,1182.656,3748.853,2411.665,906.61,197.109,740.46,414.285,173.936,-168.232,180,-46.657,107.828,-69.944,15.041,-21.145,29.09
4,5,11,10260.66,16395.9,12232.015,1914.164,66958.74,84306.66,75017.253,5931.385,59,261,567,321,92.614,20309.131,0,17907.776,9265.054,5909.767,NA,NA,NA,NA,1063.076,3391.565,2030.913,751.153,177.179,592.368,348.358,141.604,45,146.31,101.239,32.193,-39.289,45,-6.257,29.178
5,6,11,10260.66,19040.4,12991.707,2988.849,72353.52,77642.52,75526.92,1535.086,59,203,373,271.727,64.41,16822.84,0,6225.762,4174.783,1789.906,NA,NA,NA,NA,423.12,3411.302,1682.284,1103.109,70.52,682.26,291.752,205.855,-60.255,170.538,53.631,86.445,-143.13,65.934,-18.502,62.903
6,7,11,80392.8,97317.6,91932.436,5708.682,29301.06,36599.88,32589.856,2825.912,59,199,389,266.909,50.294,24571.457,0,17681.721,12113.61,6126.881,NA,NA,NA,NA,997.927,4797.563,2457.146,1161.02,166.321,799.594,417.756,195.342,0,170.134,51.903,60.048,-74.694,138.129,18.904,70.257
7,8,11,98269.62,125349.3,112655.7,10508.699,32262.9,38503.92,36792.207,1938.297,59,194,358,260.727,53.656,31603.503,0,27317.467,15435.84,10115.305,NA,NA,NA,NA,1721.974,6241.02,3160.35,1556.987,286.996,1040.17,532.508,254.206,-52.431,68.199,7.266,38.719,-56.236,17.19,-11.493,25.58
8,9,11,59871.48,84306.66,75017.253,8419.16,23588.94,26233.44,24915.998,875.311,59,195,405,279.818,73.352,26044.019,0,24449.829,9398.04,8331.807,NA,NA,NA,NA,381.395,4566.953,2604.402,1364.292,63.566,913.391,449.29,255.118,-170.272,180,62.751,153.488,-35.538,36.353,5.072,25.563
9,10,11,61140.84,63362.22,62352.502,742.518,19040.4,21684.9,19665.464,786.557,59,284,446,385.182,52.794,4790.61,0,2991.91,2323.498,915.926,NA,NA,NA,NA,105.78,1182.656,479.061,445.862,17.63,197.109,80.632,73.874,-116.565,167.471,19.404,125.167,-180,180,-15.903,99.269
10,11,11,93721.08,103770.18,98442.715,3727.082,24223.62,32580.24,29156.815,2919.326,59,196,392,329.909,74.483,14236.597,0,12935.471,6913.954,4596.068,NA,NA,NA,NA,211.56,3386.612,1423.66,935.977,35.26,564.435,240.872,154.935,-11.31,90,46.262,31.215,-43.781,57.995,-9.401,34.047
