Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,46331.64,56274.96,0,298,0,0,NA,NA,NA,NA,NA
2,1,2,48553.02,59448.36,6,283,3873.628,3873.628,NA,3873.628,645.605,55.008,NA
3,1,3,50139.72,62621.76,12,340,7421.597,7401.577,NA,3547.969,591.328,63.435,8.427
4,1,4,51514.86,62727.54,18,304,8800.8,8276.567,NA,1379.202,229.867,4.399,-59.036
5,1,5,54476.7,62939.1,24,229,11770.186,10523.914,NA,2969.386,494.898,4.086,-0.313
6,1,6,57438.54,63679.56,30,305,14823.181,13348.832,NA,3052.995,508.832,14.036,9.951
7,1,7,59765.7,64737.36,36,220,17379.47,15877.222,NA,2556.289,426.048,24.444,10.408
8,1,8,62092.86,65900.94,42,279,19981.314,18468.231,NA,2601.844,433.641,26.565,2.121
9,1,9,63256.44,66218.28,48,207,21187.392,19629.531,NA,1206.078,201.013,15.255,-11.31
10,1,10,64420.02,66641.4,54,208,22425.515,20848.323,NA,1238.123,206.354,19.983,4.728
11,1,11,66112.5,66429.84,59,214,24131.166,22235.198,NA,1705.651,341.13,-7.125,-27.108
12,2,1,30041.52,53418.9,0,334,0,0,NA,NA,NA,NA,NA
13,2,2,30147.3,50245.5,6,330,3175.163,3175.163,NA,3175.163,529.194,-88.091,NA
14,2,3,30993.54,47072.1,12,274,6459.457,6417.804,NA,3284.294,547.382,-75.069,13.022
15,2,4,30676.2,43687.14,18,305,9859.26,9752.434,NA,3399.803,566.634,-95.356,-20.287
16,2,5,29301.06,41677.32,24,263,12294.498,11764.905,NA,2435.238,405.873,-124.38,-29.025
17,2,6,29301.06,40196.4,30,301,13775.418,13243.217,NA,1480.92,246.82,-90,34.38
18,2,7,29195.28,38715.48,36,320,15260.111,14727.752,NA,1484.693,247.449,-94.086,-4.086
19,2,8,30464.64,36599.88,42,283,17727.304,16824.341,NA,2467.192,411.199,-59.036,35.049
20,2,9,33320.7,36494.1,48,214,20585.322,17239.544,NA,2858.018,476.336,-2.121,56.915
21,2,10,34590.06,37023,54,225,21960.462,17015.133,NA,1375.14,229.19,22.62,24.741
22,2,11,34484.28,37551.9,59,371,22499.836,16477.251,NA,539.374,107.875,101.31,78.69
23,3,1,15443.88,66535.62,0,325,0,0,NA,NA,NA,NA,NA
24,3,2,16607.46,66747.18,6,455,1182.656,1182.656,NA,1182.656,197.109,10.305,NA
25,3,3,18617.28,67699.2,12,383,3406.553,3379.998,NA,2223.897,370.65,25.346,15.041
26,3,4,22213.8,68757,18,256,7155.406,7125.051,NA,3748.853,624.809,16.39,-8.957
27,3,5,24752.52,66958.74,24,375,10266.489,9318.251,NA,3111.083,518.514,-35.311,-51.701
28,3,6,24435.18,65795.16,30,317,11472.567,9021.738,NA,1206.078,201.013,-105.255,-69.944
29,3,7,23694.72,63573.78,36,301,13814.107,8766.348,NA,2341.54,390.257,-108.435,-3.18
30,3,8,22848.48,61987.08,42,339,15612.367,8690.07,NA,1798.26,299.71,-118.072,-9.638
31,3,9,20309.76,61458.18,48,330,18205.596,7032.58,NA,2593.229,432.205,-168.232,-50.159
32,3,10,18194.16,60823.5,54,332,20414.347,6339.744,NA,2208.751,368.125,-163.301,4.931
33,3,11,14491.86,60823.5,59,224,24116.647,5790.912,NA,3702.3,740.46,180,-16.699
34,5,1,16395.9,66958.74,0,271,0,0,NA,NA,NA,NA,NA
35,5,2,14809.2,68016.54,6,389,1906.976,1906.976,NA,1906.976,317.829,146.31,NA
36,5,3,13010.94,69391.68,12,261,4170.767,4168.591,NA,2263.791,377.298,142.595,-3.715
37,5,4,12693.6,70661.04,18,362,5479.193,5235.843,NA,1308.426,218.071,104.036,-38.558
38,5,5,11318.46,72459.3,24,327,7742.984,7485.757,NA,2263.791,377.298,127.405,23.369
39,5,6,10472.22,74574.9,30,567,10021.555,9648.621,NA,2278.571,379.762,111.801,-15.604
40,5,7,10260.66,77959.86,36,273,13413.12,12596.262,NA,3391.565,565.261,93.576,-18.225
41,5,8,10789.56,79229.22,42,263,14788.26,13490.579,NA,1375.14,229.19,67.38,-26.196
42,5,9,10895.34,80287.02,48,278,15851.336,14418.71,NA,1063.076,177.179,84.289,16.909
43,5,10,11953.14,81344.82,54,263,17347.291,15056.474,NA,1495.955,249.326,45,-39.289
44,5,11,11953.14,84306.66,59,277,20309.131,17907.776,NA,2961.84,592.368,90,45
45,6,1,12905.16,72353.52,0,319,0,0,NA,NA,NA,NA,NA
46,6,2,12164.7,74892.24,6,225,2644.5,2644.5,NA,2644.5,440.75,106.26,NA
47,6,3,11424.24,75209.58,12,326,3450.096,3217.173,NA,805.596,134.266,156.801,50.541
48,6,4,10789.56,75315.36,18,332,4093.531,3639.816,NA,643.435,107.239,170.538,13.736
49,6,5,10260.66,76161.6,24,218,5091.458,4636.254,NA,997.927,166.321,122.005,-48.532
50,6,6,10260.66,76584.72,30,209,5514.578,4989.633,NA,423.12,70.52,90,-32.005
51,6,7,10578,76161.6,36,373,6043.478,4462.863,NA,528.9,88.15,-53.13,-143.13
52,6,8,12905.16,76690.5,42,223,8429.983,4336.98,NA,2386.506,397.751,12.804,65.934
53,6,9,15232.32,77642.52,48,225,10944.345,5778.338,NA,2514.362,419.06,22.249,9.445
54,6,10,17347.92,76373.16,54,203,13411.537,5991.296,NA,2467.192,411.199,-30.964,-53.213
55,6,11,19040.4,73411.32,59,336,16822.84,6225.762,NA,3411.302,682.26,-60.255,-29.291
56,7,1,80392.8,29301.06,0,272,0,0,NA,NA,NA,NA,NA
57,7,2,83566.2,29301.06,6,300,3173.4,3173.4,NA,3173.4,528.9,0,NA
58,7,3,87162.72,29406.84,12,276,6771.475,6770.746,NA,3598.075,599.679,1.685,1.685
59,7,4,91817.04,30570.42,18,246,11569.038,11494.544,NA,4797.563,799.594,14.036,12.352
60,7,5,93297.96,31310.88,24,229,13224.757,13060.725,NA,1655.719,275.953,26.565,12.529
61,7,6,94778.88,32791.8,30,244,15319.095,14803.532,NA,2094.337,349.056,45,18.435
62,7,7,97317.6,32791.8,36,199,17857.815,17281.034,NA,2538.72,423.12,0,-45
63,7,8,96154.02,34590.06,42,295,19999.696,16624.968,NA,2141.882,356.98,122.905,122.905
64,7,9,95836.68,35647.86,48,389,21104.072,16697.164,NA,1104.376,184.063,106.699,-16.206
65,7,10,96682.92,36176.76,54,254,22101.998,17681.721,NA,997.927,166.321,32.005,-74.694
66,7,11,94249.98,36599.88,59,232,24571.457,15661.871,NA,2469.459,493.892,170.134,138.129
67,8,1,98269.62,32262.9,0,291,0,0,NA,NA,NA,NA,NA
68,8,2,100067.88,34484.28,6,219,2858.018,2858.018,NA,2858.018,476.336,51.009,NA
69,8,3,100914.12,36599.88,12,358,5136.589,5079.643,NA,2278.571,379.762,68.199,17.19
70,8,4,103452.84,38398.14,18,321,8247.672,8031.621,NA,3111.083,518.514,35.311,-32.887
71,8,5,109693.86,38398.14,24,198,14488.692,12967.437,NA,6241.02,1040.17,0,-35.311
72,8,6,114982.86,37340.34,30,256,19882.435,17467.478,NA,5393.743,898.957,-11.31,-11.31
73,8,7,118685.16,37551.9,36,256,23590.775,21089.519,NA,3708.34,618.057,3.27,14.58
74,8,8,120377.64,38080.8,42,269,25363.971,22860.72,NA,1773.196,295.533,17.354,14.084
75,8,9,123127.92,38503.92,48,206,28146.608,25629.776,NA,2782.637,463.773,8.746,-8.608
76,8,10,124291.5,37234.56,54,300,29868.582,26492.558,NA,1721.974,286.996,-47.49,-56.236
77,8,11,125349.3,35859.42,59,194,31603.503,27317.467,NA,1734.921,346.984,-52.431,-4.942
78,9,1,84306.66,24858.3,0,280,0,0,NA,NA,NA,NA,NA
79,9,2,83989.32,25387.2,6,405,616.798,616.798,NA,616.798,102.8,120.964,NA
80,9,3,83671.98,25598.76,12,396,998.193,975.243,NA,381.395,63.566,146.31,25.346
81,9,4,81556.38,26233.44,18,277,3206.945,3074.907,NA,2208.751,368.125,163.301,16.991
82,9,5,78594.54,25175.64,24,241,6352.01,5720.928,NA,3145.066,524.178,-160.346,36.353
83,9,6,76373.16,23588.94,30,204,9081.872,8034.407,NA,2729.862,454.977,-144.462,15.884
84,9,7,73093.98,23588.94,36,237,12361.052,11284.302,NA,3279.18,546.53,180,-35.538
85,9,8,71401.5,24012.06,42,236,14105.62,12932.876,NA,1744.568,290.761,165.964,-14.036
86,9,9,68016.54,25281.42,48,252,17720.759,16295.614,NA,3615.139,602.523,159.444,-6.52
87,9,10,64314.24,24646.74,54,355,21477.067,19993.539,NA,3756.307,626.051,-170.272,30.284
88,9,11,59871.48,25704.54,59,195,26044.019,24449.829,NA,4566.953,913.391,166.608,-23.12
89,10,1,63362.22,21684.9,0,284,0,0,NA,NA,NA,NA,NA
90,10,2,63150.66,20521.32,6,371,1182.656,1182.656,NA,1182.656,197.109,-100.305,NA
91,10,3,62621.76,19463.52,12,409,2365.313,2341.54,NA,1182.656,197.109,-116.565,-16.26
92,10,4,62621.76,19146.18,18,426,2682.653,2644.5,NA,317.34,52.89,-90,26.565
93,10,5,62621.76,19040.4,24,446,2788.433,2746.209,NA,105.78,17.63,-90,0
94,10,6,62621.76,19251.96,30,409,2999.993,2543.124,NA,211.56,35.26,90,180
95,10,7,62621.76,19146.18,36,399,3105.773,2644.5,NA,105.78,17.63,-90,-180
96,10,8,62410.2,19251.96,42,437,3342.304,2612.573,NA,236.531,39.422,153.435,-116.565
97,10,9,61458.18,19463.52,48,319,4317.547,2925.73,NA,975.243,162.541,167.471,14.036
98,10,10,61246.62,19569.3,54,329,4554.079,2991.91,NA,236.531,39.422,153.435,-14.036
99,10,11,61140.84,19780.86,59,408,4790.61,2925.73,NA,236.531,47.306,116.565,-36.87
100,11,1,93721.08,24223.62,0,383,0,0,NA,NA,NA,NA,NA
101,11,2,94038.42,25281.42,6,386,1104.376,1104.376,NA,1104.376,184.063,73.301,NA
102,11,3,94249.98,26550.78,12,390,2391.245,2386.506,NA,1286.869,214.478,80.538,7.237
103,11,4,94884.66,27608.58,18,388,3624.841,3579.368,NA,1233.596,205.599,59.036,-21.501
104,11,5,97211.82,28243.26,24,285,6036.996,5323.793,NA,2412.155,402.026,15.255,-43.781
105,11,6,99856.32,30358.86,30,340,9423.609,8676.54,NA,3386.612,564.435,38.66,23.405
106,11,7,100702.56,30887.76,36,315,10421.535,9651.519,NA,997.927,166.321,32.005,-6.654
107,11,8,100702.56,31099.32,42,392,10633.095,9798.791,NA,211.56,35.26,90,57.995
108,11,9,101019.9,31522.44,48,357,11161.995,10322.09,NA,528.9,88.15,53.13,-36.87
109,11,10,102712.38,32580.24,54,197,13157.848,12275.039,NA,1995.853,332.642,32.005,-21.125
110,11,11,103770.18,32368.68,59,196,14236.597,12935.471,NA,1078.749,215.75,-11.31,-43.315
111,12,1,93721.08,28666.38,0,275,0,0,NA,NA,NA,NA,NA
112,12,2,91076.58,34272.72,6,216,6198.744,6198.744,NA,6198.744,1033.124,115.253,NA
113,12,3,90653.46,37975.02,12,288,9925.144,9801.075,NA,3726.4,621.067,96.52,-18.733
114,12,4,87480.06,40196.4,18,345,13798.772,13110.747,NA,3873.628,645.605,145.008,48.488
115,12,5,84412.44,41465.76,24,216,17118.647,15826.399,NA,3319.875,553.312,157.521,12.513
116,12,6,80710.14,43581.36,30,247,21382.775,19792.453,NA,4264.128,710.688,150.255,-7.265
117,12,7,78277.2,44216.04,36,336,23897.137,21915.87,NA,2514.362,419.06,165.379,15.124
118,12,8,76267.38,44956.5,42,365,26039.019,23874.666,NA,2141.882,356.98,159.775,-5.604
119,12,9,75844.26,45273.84,48,249,26567.919,24400.582,NA,528.9,88.15,143.13,-16.645
120,12,10,75950.04,45273.84,54,325,26673.699,24323.19,NA,105.78,17.63,0,-143.13
121,12,11,75844.26,45379.62,59,256,26823.294,24472.701,NA,149.596,29.919,135,135
122,13,1,99644.76,88855.2,0,280,0,0,NA,NA,NA,NA,NA
123,13,2,97317.6,88537.86,6,206,2348.697,2348.697,NA,2348.697,391.45,-172.235,NA
124,13,3,95836.68,87374.28,12,309,4232.057,4085.902,NA,1883.359,313.893,-141.843,30.392
125,13,4,93615.3,87480.06,18,307,6455.954,6184.286,NA,2223.897,370.65,177.274,-40.884
126,13,5,89172.54,87374.28,24,232,10899.973,10576.413,NA,4444.019,740.67,-178.636,4.09
127,13,6,86633.82,89278.32,30,235,14073.373,13017.818,NA,3173.4,528.9,143.13,-38.234
128,13,7,85999.14,89701.44,36,217,14836.163,13671.835,NA,762.79,127.132,146.31,3.18
129,13,8,85047.12,90653.46,42,300,16182.523,14707.985,NA,1346.36,224.393,135,-11.31
130,13,9,83354.64,90759.24,48,276,17878.305,16401.018,NA,1695.782,282.63,176.424,41.424
131,13,10,81662.16,90653.46,54,340,19574.088,18072.289,NA,1695.782,282.63,-176.424,7.153
132,13,11,79969.68,90759.24,59,320,21269.87,19766.996,NA,1695.782,339.156,176.424,-7.153
133,14,1,99962.1,99221.64,0,336,0,0,NA,NA,NA,NA,NA
134,14,2,97000.26,99644.76,6,248,2991.91,2991.91,NA,2991.91,498.652,171.87,NA
135,14,3,94673.1,101971.92,12,279,6283.011,5961.339,NA,3291.101,548.517,135,-36.87
136,14,4,92451.72,104299.08,18,335,9500.185,9065.661,NA,3217.173,536.196,133.668,-1.332
137,15,1,57121.2,72670.86,0,319,0,0,NA,NA,NA,NA,NA
138,15,2,55322.94,69709.02,6,219,3465.001,3465.001,NA,3465.001,577.5,-121.264,NA
139,15,3,51620.64,68439.66,12,319,7378.861,6939.684,NA,3913.86,652.31,-161.075,-39.812
140,15,4,51937.98,66852.96,18,238,8996.984,7791.902,NA,1618.123,269.687,-78.69,82.385
141,15,5,50562.84,68545.44,24,321,11177.695,7747.979,NA,2180.711,363.452,129.094,-152.216
142,15,6,47495.22,69603.24,30,374,14422.573,10102.959,NA,3244.878,540.813,160.974,31.881
143,15,7,47389.44,68862.78,36,226,15170.55,10450.293,NA,747.978,124.663,-98.13,100.896
144,15,8,47495.22,69180.12,42,376,15505.056,10239.373,NA,334.506,55.751,71.565,169.695
145,15,9,47601,69180.12,48,254,15610.836,10139.994,NA,105.78,17.63,0,-71.565
146,15,10,46966.32,69603.24,54,377,16373.627,10608.104,NA,762.79,127.132,146.31,146.31
147,15,11,45696.96,69180.12,59,293,17711.65,11945.649,NA,1338.023,267.605,-161.565,52.125
148,16,1,34695.84,8673.96,0,333,0,0,NA,NA,NA,NA,NA
149,16,2,35013.18,12482.04,6,346,3821.28,3821.28,NA,3821.28,636.88,85.236,NA
150,16,3,35118.96,16395.9,12,290,7736.569,7733.524,NA,3915.289,652.548,88.452,3.215
151,16,4,36599.88,17136.36,18,214,9392.288,8673.96,NA,1655.719,275.953,26.565,-61.887
152,16,5,38503.92,16184.34,24,286,11521.069,8420.646,NA,2128.781,354.797,-26.565,-53.13
153,16,6,42629.34,15972.78,30,295,15651.91,10780.222,NA,4130.841,688.474,-2.936,23.629
154,16,7,44321.82,15126.54,36,341,17544.16,11588.584,NA,1892.25,315.375,-26.565,-23.629
155,16,8,45485.4,13539.84,42,210,19511.782,11836.021,NA,1967.622,327.937,-53.746,-27.181
156,16,9,45168.06,12482.04,48,377,20616.158,11143.108,NA,1104.376,184.063,-106.699,-52.953
157,16,10,45168.06,11741.58,54,421,21356.618,10912.272,NA,740.46,123.41,-90,16.699
158,16,11,44427.6,9943.32,59,397,23301.359,9814.195,NA,1944.742,388.948,-112.38,-22.38
159,17,1,123974.16,58919.46,0,272,0,0,NA,NA,NA,NA,NA
160,17,2,121118.1,59871.48,6,282,3010.552,3010.552,NA,3010.552,501.759,161.565,NA
