Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,89278.32,45273.84,0,163,0,0,NA,NA,NA,NA,NA
2,1,2,89384.1,45273.84,6,153,105.78,105.78,NA,105.78,17.63,0,NA
3,1,3,89384.1,45273.84,12,131,105.78,105.78,NA,0,0,0,0
4,1,4,89384.1,45273.84,18,133,105.78,105.78,NA,0,0,0,0
5,1,5,89384.1,45485.4,24,144,317.34,236.531,NA,211.56,35.26,90,90
6,1,6,89384.1,45273.84,30,129,528.9,105.78,NA,211.56,35.26,-90,-180
7,1,7,89384.1,45379.62,36,142,634.68,149.596,NA,105.78,17.63,90,180
8,1,8,89384.1,45485.4,42,136,740.46,236.531,NA,105.78,17.63,90,0
9,1,9,89384.1,45273.84,48,138,952.02,105.78,NA,211.56,35.26,-90,-180
10,1,10,89384.1,45379.62,54,144,1057.8,149.596,NA,105.78,17.63,90,180
11,1,11,89384.1,45273.84,59,147,1163.58,105.78,NA,105.78,21.156,-90,-180
12,2,1,81556.38,45696.96,0,127,0,0,NA,NA,NA,NA,NA
13,2,2,81450.6,45802.74,6,128,149.596,149.596,NA,149.596,24.933,135,NA
14,2,3,81344.82,45591.18,12,123,386.127,236.531,NA,236.531,39.422,-116.565,108.435
15,2,4,81344.82,45591.18,18,123,386.127,236.531,NA,0,0,0,116.565
16,2,5,81450.6,45591.18,24,123,491.907,149.596,NA,105.78,17.63,0,0
17,2,6,81344.82,45591.18,30,126,597.687,236.531,NA,105.78,17.63,180,180
18,2,7,81556.38,45591.18,36,123,809.247,105.78,NA,211.56,35.26,0,-180
19,2,8,81344.82,45591.18,42,119,1020.807,236.531,NA,211.56,35.26,180,180
20,2,9,81344.82,45696.96,48,121,1126.587,211.56,NA,105.78,17.63,90,-90
21,2,10,81344.82,45802.74,54,121,1232.367,236.531,NA,105.78,17.63,90,0
22,2,11,81556.38,45591.18,59,122,1531.558,105.78,NA,299.191,59.838,-45,-135
23,3,1,79123.44,48235.68,0,129,0,0,NA,NA,NA,NA,NA
24,3,2,79229.22,48129.9,6,127,149.596,149.596,NA,149.596,24.933,-45,NA
25,3,3,79123.44,48129.9,12,134,255.376,105.78,NA,105.78,17.63,180,-135
26,3,4,79123.44,48235.68,18,130,361.156,0,NA,105.78,17.63,90,-90
27,3,5,79123.44,48129.9,24,130,466.936,105.78,NA,105.78,17.63,-90,-180
28,3,6,79123.44,48235.68,30,129,572.716,0,NA,105.78,17.63,90,180
29,3,7,79123.44,48235.68,36,129,572.716,0,NA,0,0,0,-90
30,3,8,79123.44,48129.9,42,129,678.496,105.78,NA,105.78,17.63,-90,-90
31,3,9,79123.44,48341.46,48,125,890.056,105.78,NA,211.56,35.26,90,180
32,3,10,79123.44,48129.9,54,131,1101.616,105.78,NA,211.56,35.26,-90,-180
33,3,11,79335,48129.9,59,130,1313.176,236.531,NA,211.56,42.312,0,90
34,4,1,68651.22,47283.66,0,127,0,0,NA,NA,NA,NA,NA
35,4,2,68439.66,47177.88,6,125,236.531,236.531,NA,236.531,39.422,-153.435,NA
36,4,3,68439.66,47072.1,12,127,342.311,299.191,NA,105.78,17.63,-90,63.435
37,4,4,68545.44,47072.1,18,126,448.091,236.531,NA,105.78,17.63,0,90
38,4,5,68439.66,47072.1,24,122,553.871,299.191,NA,105.78,17.63,180,180
39,4,6,68439.66,46966.32,30,126,659.651,381.395,NA,105.78,17.63,-90,90
40,4,7,68439.66,47072.1,36,126,765.431,299.191,NA,105.78,17.63,90,180
41,4,8,68439.66,47072.1,42,124,765.431,299.191,NA,0,0,0,-90
42,4,9,68545.44,47072.1,48,122,871.211,236.531,NA,105.78,17.63,0,0
43,4,10,68651.22,47177.88,54,125,1020.807,105.78,NA,149.596,24.933,45,45
44,4,11,68439.66,47072.1,59,122,1257.338,299.191,NA,236.531,47.306,-153.435,161.565
45,5,1,51937.98,55640.28,0,154,0,0,NA,NA,NA,NA,NA
46,5,2,51832.2,55640.28,6,159,105.78,105.78,NA,105.78,17.63,180,NA
47,5,3,51832.2,55746.06,12,152,211.56,149.596,NA,105.78,17.63,90,-90
48,5,4,51832.2,55640.28,18,147,317.34,105.78,NA,105.78,17.63,-90,-180
49,5,5,51937.98,55640.28,24,147,423.12,0,NA,105.78,17.63,0,90
50,5,6,51832.2,55640.28,30,148,528.9,105.78,NA,105.78,17.63,180,180
51,5,7,51726.42,55640.28,36,152,634.68,211.56,NA,105.78,17.63,180,0
52,5,8,51832.2,55640.28,42,150,740.46,105.78,NA,105.78,17.63,0,-180
53,5,9,51832.2,55640.28,48,157,740.46,105.78,NA,0,0,0,0
54,5,10,51937.98,55640.28,54,154,846.24,0,NA,105.78,17.63,0,0
55,5,11,51832.2,55640.28,59,154,952.02,105.78,NA,105.78,21.156,180,180
56,6,1,27079.68,44427.6,0,133,0,0,NA,NA,NA,NA,NA
57,6,2,27079.68,44533.38,6,131,105.78,105.78,NA,105.78,17.63,90,NA
58,6,3,27079.68,44427.6,12,127,211.56,0,NA,105.78,17.63,-90,-180
59,6,4,27079.68,44427.6,18,126,211.56,0,NA,0,0,0,90
60,6,5,27079.68,44533.38,24,128,317.34,105.78,NA,105.78,17.63,90,90
61,6,6,27291.24,44533.38,30,128,528.9,236.531,NA,211.56,35.26,0,-90
62,6,7,27079.68,44533.38,36,129,740.46,105.78,NA,211.56,35.26,180,180
63,6,8,27079.68,44427.6,42,124,846.24,0,NA,105.78,17.63,-90,90
64,6,9,27079.68,44533.38,48,131,952.02,105.78,NA,105.78,17.63,90,180
65,6,10,27079.68,44427.6,54,135,1057.8,0,NA,105.78,17.63,-90,-180
66,6,11,27079.68,44533.38,59,132,1163.58,105.78,NA,105.78,21.156,90,180
67,7,1,36811.44,38927.04,0,151,0,0,NA,NA,NA,NA,NA
68,7,2,36811.44,38927.04,6,150,0,0,NA,0,0,0,NA
69,7,3,36811.44,38927.04,12,152,0,0,NA,0,0,0,0
70,7,4,36811.44,38927.04,18,152,0,0,NA,0,0,0,0
71,7,5,36811.44,38927.04,24,133,0,0,NA,0,0,0,0
72,7,6,36811.44,38927.04,30,139,0,0,NA,0,0,0,0
73,7,7,36705.66,38927.04,36,138,105.78,105.78,NA,105.78,17.63,180,180
74,7,8,36811.44,38927.04,42,142,211.56,0,NA,105.78,17.63,0,-180
75,7,9,36811.44,38927.04,48,135,211.56,0,NA,0,0,0,0
76,7,10,36705.66,38927.04,54,139,317.34,105.78,NA,105.78,17.63,180,180
77,7,11,36811.44,38927.04,59,153,423.12,0,NA,105.78,21.156,0,-180
78,8,1,34061.16,31628.22,0,145,0,0,NA,NA,NA,NA,NA
79,8,2,34061.16,31628.22,6,140,0,0,NA,0,0,0,NA
80,8,3,34166.94,31628.22,12,123,105.78,105.78,NA,105.78,17.63,0,0
81,8,4,34061.16,31734,18,122,255.376,105.78,NA,149.596,24.933,135,135
82,8,5,34166.94,31628.22,24,123,404.971,105.78,NA,149.596,24.933,-45,-180
83,8,6,34166.94,31628.22,30,126,404.971,105.78,NA,0,0,0,45
84,8,7,34061.16,31628.22,36,123,510.751,0,NA,105.78,17.63,180,180
85,8,8,34166.94,31734,42,118,660.347,149.596,NA,149.596,24.933,45,-135
86,8,9,33955.38,31522.44,48,122,959.538,149.596,NA,299.191,49.865,-135,-180
87,8,10,33955.38,31522.44,54,120,959.538,149.596,NA,0,0,0,135
88,8,11,34061.16,31628.22,59,126,1109.133,0,NA,149.596,29.919,45,45
89,9,1,16184.34,56803.86,0,140,0,0,NA,NA,NA,NA,NA
90,9,2,16184.34,56698.08,6,138,105.78,105.78,NA,105.78,17.63,-90,NA
91,9,3,16184.34,56698.08,12,154,105.78,105.78,NA,0,0,0,90
92,9,4,16184.34,56698.08,18,130,105.78,105.78,NA,0,0,0,0
93,9,5,16184.34,56803.86,24,141,211.56,0,NA,105.78,17.63,90,90
94,9,6,16184.34,56803.86,30,147,211.56,0,NA,0,0,0,-90
95,9,7,16184.34,56803.86,36,138,211.56,0,NA,0,0,0,0
96,9,8,16184.34,56803.86,42,140,211.56,0,NA,0,0,0,0
97,9,9,16184.34,56698.08,48,135,317.34,105.78,NA,105.78,17.63,-90,-90
98,9,10,16184.34,56698.08,54,143,317.34,105.78,NA,0,0,0,90
99,9,11,16184.34,56698.08,59,147,317.34,105.78,NA,0,0,0,0
100,10,1,16713.24,66218.28,0,138,0,0,NA,NA,NA,NA,NA
101,10,2,16713.24,66218.28,6,145,0,0,NA,0,0,0,NA
102,10,3,16713.24,66324.06,12,140,105.78,105.78,NA,105.78,17.63,90,90
103,10,4,16713.24,66324.06,18,142,105.78,105.78,NA,0,0,0,-90
104,10,5,16713.24,66218.28,24,142,211.56,0,NA,105.78,17.63,-90,-90
