Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,27502.8,32474.46,30455.024,1890.152,17665.26,26868.12,23887.047,3009.741,59,117,162,138.455,14.243,14967.617,0,8600.116,4551.831,2341.674,NA,NA,NA,NA,211.56,2925.73,1496.762,813.156,35.26,487.622,255.846,140.592,-133.025,90,-53.138,73.825,-44.091,161.565,26.344,70.95
2,2,11,40196.4,47812.56,45119.978,2488.131,11953.14,21156,17444.084,2866.406,59,112,164,139.364,17.862,12237.295,0,11945.649,4600.836,3775.417,NA,NA,NA,NA,149.596,2729.862,1223.729,801.472,24.933,454.977,210.193,140.46,-142.125,135,-100.763,83.36,-98.13,96.34,-2.971,49.443
3,3,11,49716.6,63150.66,56851.942,4549.613,26973.9,33532.26,28849.091,2103.98,59,126,168,143.091,13.126,16356.661,0,14949.45,8627.238,4835.623,NA,NA,NA,NA,569.643,3406.379,1635.666,832.902,94.94,567.73,278.779,141.919,-53.842,30.964,-15.381,28.695,-61.928,34.974,2.385,31.74
4,4,11,65372.04,68968.56,67227.998,1060.297,22002.24,31099.32,27079.68,3362.739,59,119,148,134.909,10.672,11703.77,0,9185.213,5577.569,3218.62,NA,NA,NA,NA,334.506,3284.294,1170.377,872.158,55.751,547.382,198.589,145.282,-161.565,146.31,61.504,87.99,-56.31,69.775,6.051,42.216
5,5,11,67170.3,74786.46,72699.709,2495.642,21050.22,30464.64,25550.678,3821.386,59,125,160,142,12.337,15758.756,0,9798.791,6782.572,3260.433,NA,NA,NA,NA,149.596,3067.62,1575.876,1045.739,29.919,511.27,263.145,173.54,-135,37.694,-60.099,57.934,-54.462,30.964,-19.188,25.414
6,6,11,54370.92,67804.98,61208.155,4625.931,32580.24,36282.54,34705.456,1132.839,59,124,160,140.091,11.588,15876.507,0,13444.467,7407.704,4325.716,NA,NA,NA,NA,211.56,2663.472,1587.651,699.272,35.26,443.912,271.167,122.213,-36.254,60.642,2.173,33.61,-37.482,15.945,-10.766,17.851
7,7,11,73517.1,77854.08,75180.731,1572.597,42312,53207.34,46879.773,4255.938,59,135,158,146.364,8.992,12507.003,0,11613.18,6525.023,4448.394,NA,NA,NA,NA,0,3182.203,1250.7,967.58,0,530.367,211.483,160.359,-104.036,0,-64.763,34.38,-90,60.945,6.955,43.291
8,8,11,75844.26,85258.68,80517.813,3518.141,65795.16,68333.88,67054.904,910.513,59,117,154,133.455,9.781,11009.15,0,9415.014,4994.308,3397.187,NA,NA,NA,NA,381.395,1708.928,1100.915,430.144,76.279,284.821,184.757,69.404,-56.31,50.194,-0.882,38.659,-29.745,24.775,-11.834,17.62
9,9,11,60717.72,76373.16,68305.031,5640.582,53418.9,56380.74,54803.656,853.422,59,112,169,133.455,15.142,17474.061,0,15933.151,8302.351,5573.388,NA,NA,NA,NA,149.596,2856.06,1747.406,871.674,24.933,476.01,293.133,142.526,-177.51,180,-45.858,151.632,-153.435,153.435,-2.881,79.915
10,10,11,74892.24,83354.64,80623.593,3194.773,51937.98,55005.6,53678.542,1232.111,59,126,176,139.273,14.595,10527.119,0,8673.96,5843.332,3248.575,NA,NA,NA,NA,105.78,2020.924,1052.712,708.364,21.156,336.821,175.805,117.541,-116.565,19.654,-36.985,47.661,-53.13,26.565,-12.184,27.081
11,11,11,87585.84,94461.54,91326.605,2419.692,40725.3,58073.22,50255.116,5705.741,59,125,170,143.455,13.254,19315.957,0,18660.803,8696.527,6151.872,NA,NA,NA,NA,448.787,3516.29,1931.596,833.316,74.798,586.048,328.415,140.503,-87.51,-40.914,-66.92,16.585,-37.875,45,2.033,26.369
12,12,11,94778.88,102395.04,99125.476,2781.614,44216.04,52890,48379.925,3065.53,59,115,147,133.545,10.143,11945.6,0,11384.995,5924.923,4060.151,NA,NA,NA,NA,236.531,1944.742,1194.56,562.737,39.422,324.124,201.323,91.718,-63.435,71.565,40.2,38.346,-9.246,98.973,15,32.479
13,13,11,107366.7,114242.4,110693.962,2672.851,24117.84,28454.82,26675.793,1685.071,59,115,147,127.182,10.685,12394.139,0,7169.668,4789.487,2408.004,NA,NA,NA,NA,334.506,2020.924,1239.414,550.939,63.566,336.821,207.684,89.834,-173.66,172.875,4.316,138.69,-13.465,48.311,20.604,20.756
14,14,11,81556.38,96471.36,89316.785,5120.729,29618.4,36388.32,33195.687,2164.135,59,117,159,140.091,14.909,17313.436,0,16379.513,8032.353,5506.196,NA,NA,NA,NA,473.063,2435.238,1731.344,606.72,78.844,405.873,291.884,97.12,-174.806,157.62,80.562,133.472,-28.824,45,-1.069,23.636
15,15,11,83671.98,90230.34,86479.958,2157.686,35013.18,40831.08,38859.725,1656.579,59,114,178,131.909,18.278,9992.872,0,8766.986,4271.363,2660.381,NA,NA,NA,NA,105.78,1906.976,999.287,575.691,17.63,381.395,172.904,108.384,-165.964,0,-130.63,51.542,-161.565,165.964,6.984,83.039
16,16,11,115300.2,117415.8,116598.409,653.941,51620.64,59765.7,55948.004,2829.473,59,120,137,127.545,5.854,9310.021,0,8213.461,3891.333,2805.833,NA,NA,NA,NA,473.063,1514.539,931.002,327.691,78.844,252.423,158.981,58.561,-131.186,-50.194,-91.734,29.39,-55.62,51.34,-4.795,35.868
17,17,11,120694.98,130849.86,126157.075,3722.576,54582.48,62515.98,57967.44,2554.538,59,117,144,129.818,7.181,15753.975,0,11170.689,7298.338,4167.372,NA,NA,NA,NA,334.506,2889.169,1575.397,822.353,66.901,481.528,263.681,135.222,-68.199,45,-8.219,47.326,-15.945,59.949,7.048,26.849
18,18,11,128945.82,143966.58,136292.722,6687.164,33426.48,42946.68,39686.733,3602.681,59,112,145,123.545,11.076,21530.699,0,17427.716,10026.511,6932.087,NA,NA,NA,NA,105.78,4659.126,2153.07,1673.664,17.63,776.521,359.344,278.284,-170.838,180,102.636,101.935,-45,48.439,5,33.563
19,19,11,114559.74,121223.88,117550.429,2535.673,317.34,14386.08,6866.084,4969.736,59,115,152,136.091,10.922,16185.085,0,15522.291,8379.609,5562.134,NA,NA,NA,NA,381.395,2644.5,1618.508,769.189,63.566,440.75,272.594,125.337,-141.843,-82.875,-114.78,18.003,-44.411,27.408,4.232,20.164
20,20,11,86316.48,94461.54,91326.605,2851.854,1586.7,16713.24,10222.195,5755.302,59,124,149,136.364,7.256,17857.795,0,17180.053,7227.418,6399.615,NA,NA,NA,NA,334.506,2768.528,1785.779,907.201,55.751,461.421,301.378,148.607,-146.31,-90,-119.398,17.523,-37.875,33.69,-2.528,26.189
21,21,11,88326.3,90124.56,89759.138,533.877,8673.96,15443.88,10606.849,2144.54,59,122,158,142.636,13.485,7467.602,0,6953.376,1965.738,2183.86,NA,NA,NA,NA,105.78,2416.789,746.76,773.012,17.63,483.358,132.516,149.098,-90,135,79.287,62.54,-180,164.055,-2.422,88.193
22,22,11,84200.88,90124.56,86229.933,1764.858,79758.12,83460.42,81921.802,1577.764,59,113,155,120.727,12.947,8991.229,0,6622.876,4166.666,2076.841,NA,NA,NA,NA,0,3987.499,899.123,1370.39,0,664.583,150.352,228.101,-177.879,180,54.352,126.008,-180,135,-15.236,112.22
23,23,11,49293.48,62198.64,56967.338,4303.144,56380.74,74363.34,64766.209,6881.571,59,120,141,130.818,7.25,24595.444,0,21706.561,11301.282,7619.538,NA,NA,NA,NA,1104.376,3815.419,2459.544,855.5,220.875,635.903,413.605,136.447,-9.782,86.634,55.752,29.28,-21.254,61.432,9.231,28.268
24,24,11,17665.26,19357.74,18290.324,434.74,70978.38,81027.48,74613.365,3994.024,59,123,163,145.455,14.292,12081.603,0,9415.014,5957.337,3720.824,NA,NA,NA,NA,0,2768.528,1208.16,1072.105,0,461.421,201.36,178.684,-115.56,135,-34.673,83.061,-146.524,135,-3.44,100.302
25,25,11,25175.64,32474.46,30618.502,2420.659,81662.16,83989.32,83306.558,757.437,59,119,159,140.455,13.156,8853.39,0,7599.246,5686.563,2534.615,NA,NA,NA,NA,211.56,2616.853,885.339,871.923,35.26,436.142,149.354,144.638,0,180,46.457,67.93,-154.654,168.69,-0.564,84.57
