Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,41359.98,43369.8,42427.396,597.361,41254.2,47283.66,44369.902,1882.387,59,180,283,213.455,29.68,7484.151,0,6104.157,3336.757,1893.291,NA,NA,NA,NA,0,1144.186,748.415,375.506,0,190.698,126.881,62.285,-90,123.69,55.806,63.233,-33.056,146.31,41.955,63.004
2,2,11,52572.66,55005.6,53976.649,770.222,47495.22,48764.58,48235.68,430.98,59,297,386,346.636,31.589,2819.517,0,2744.171,1159.209,879.299,NA,NA,NA,NA,0,448.787,281.952,149.402,0,87.228,48.446,26.911,-165.964,180,-68.676,139.327,-26.565,180,37.816,74.084
3,3,11,36494.1,36917.22,36676.811,177.578,23588.94,24117.84,23906.28,206.203,59,196,349,246.909,58.278,790.403,0,677.322,401.869,266.001,NA,NA,NA,NA,0,473.063,79.04,147.152,0,78.844,13.526,24.622,0,180,56.657,77.737,-180,180,10,111.341
4,4,11,61669.74,63150.66,62487.131,401.66,21896.46,23165.82,22713.851,390.358,59,227,423,322.545,50.322,2385.315,0,1883.359,809.188,549.952,NA,NA,NA,NA,0,1196.764,238.532,375.069,0,199.461,40.544,62.557,-143.13,180,5.53,107.451,-180,180,12.952,149.399
5,5,11,90018.78,91711.26,91134.278,564.44,81450.6,83037.3,82287.224,503.883,59,170,281,193.818,32.508,7400.852,0,1525.581,762.469,482.989,NA,NA,NA,NA,149.596,1708.928,740.085,555.83,24.933,314.507,128.589,102.336,-135,160.346,36.275,104.32,-163.393,131.634,27.816,127.442
6,6,11,97952.28,100808.34,98673.507,969.28,78171.42,78700.32,78306.049,201.21,59,187,304,246.545,45.981,3186.558,0,2856.06,2147.638,969.333,NA,NA,NA,NA,0,903.785,318.656,338.665,0,150.631,53.109,56.444,-146.31,180,28.313,133.969,-180,63.435,-20,66.718
7,7,11,70661.04,70872.6,70805.285,85.58,71295.72,71507.28,71391.884,99.844,59,295,362,328,23.753,1070.749,0,236.531,126.747,121.565,NA,NA,NA,NA,0,236.531,107.075,104.322,0,39.422,18.198,17.418,-26.565,180,50.53,79.36,-180,180,20,127.928
8,8,11,115723.32,116040.66,115877.182,128.37,97952.28,98163.84,98058.06,94.613,59,170,214,184.455,14.835,2024.86,0,381.395,215.771,126.189,NA,NA,NA,NA,0,381.395,202.486,107.862,0,63.566,34.536,18.421,-146.31,180,53.899,108.072,-180,153.435,-22.952,145.651
9,9,11,94038.42,94249.98,94086.502,72.729,26021.88,26233.44,26146.893,79.415,59,212,377,279.182,66.784,1145.431,0,236.531,180.525,74.516,NA,NA,NA,NA,0,211.56,114.543,53.177,0,42.312,19.796,10.434,-90,180,27,102.176,-180,180,-10,141.907
10,10,11,124503.06,127464.9,126070.527,1064.988,62515.98,63996.9,63169.893,506.902,59,185,338,259.545,44.7,3582.919,0,3311.438,1540.959,1178.22,NA,NA,NA,NA,105.78,805.596,358.292,234.612,17.63,134.266,60.068,38.694,-90,180,119.657,79.45,-90,126.87,12.952,68.212
11,11,11,132753.9,133282.8,133013.542,197.124,66535.62,68016.54,67151.067,729.527,59,187,293,245,34.22,2044.619,0,1572.533,709.657,716.585,NA,NA,NA,NA,0,872.284,204.462,300.516,0,145.381,34.43,49.97,0,180,74.35,83.425,-180,180,-20,133.081
12,12,11,132753.9,133388.58,132984.693,275.102,71295.72,71507.28,71411.116,74.115,59,177,233,195.818,18.675,1207.396,0,539.374,333.796,237.631,NA,NA,NA,NA,0,317.34,120.74,105.613,0,52.89,20.828,18.399,-90,180,49.5,104.893,-180,135,5,106.595
13,13,10,11635.8,11953.14,11868.516,139.266,47918.34,49187.7,48711.69,509.138,53,230,352,318.3,37.959,2111.18,0,1308.426,486.074,525.181,NA,NA,NA,NA,105.78,903.785,234.576,255.687,17.63,150.631,39.65,42.439,-110.556,90,-37.284,85.467,-180,180,16.875,144.614
14,14,11,118156.26,118473.6,118233.191,125.971,11106.9,11530.02,11385.775,144.053,59,172,281,215.455,41.544,1638.733,0,528.9,375.009,176.208,NA,NA,NA,NA,0,381.395,163.873,105.781,0,63.566,28.101,18.392,-116.565,146.31,19.131,93.895,-161.565,180,42.952,123.475
15,15,11,99750.54,99962.1,99827.471,95.682,10683.78,10895.34,10741.478,86.761,59,171,303,204.091,37.927,1026.934,0,236.531,112.59,113.624,NA,NA,NA,NA,0,236.531,102.693,103.253,0,47.306,17.904,18.478,-63.435,180,42.343,77.575,-180,180,17.048,131.096
16,16,11,80181.24,80287.02,80210.089,49.41,8991.3,9202.86,9097.08,81.937,59,219,383,297.909,54.243,890.056,0,236.531,138.14,83.563,NA,NA,NA,NA,0,149.596,89.006,48.859,0,24.933,15.187,8.351,-135,180,-4.5,100.511,-180,180,-70,100.902
17,17,11,92240.16,92451.72,92288.242,86.761,19992.42,20203.98,20040.502,72.729,59,187,323,216.091,41.822,1469.593,0,211.56,90.531,94.275,NA,NA,NA,NA,0,299.191,146.959,109.809,0,49.865,24.493,18.302,-135,153.435,10.843,87.522,-180,153.435,40,127.419
18,18,11,119742.96,122070.12,120541.118,814.387,82508.4,83354.64,83085.382,269.121,59,238,306,271,22.557,3760.619,0,2476.246,1651.987,819.461,NA,NA,NA,NA,105.78,1057.8,376.062,306.6,17.63,176.3,63.03,50.766,-135,180,65.657,121.075,-108.435,180,35.903,102.513
19,19,11,122704.8,123656.82,123166.385,413.146,89807.22,90441.9,90182.258,285.267,59,184,333,240.182,43.102,1694.229,0,1089.072,585.85,467.817,NA,NA,NA,NA,0,909.954,169.423,269.334,0,151.659,28.59,44.81,-90,180,63.946,93.81,-180,180,0,122.568
20,20,11,115088.64,115300.2,115175.187,103.839,86633.82,86845.38,86691.518,72.729,59,179,316,212.091,42.749,1170.402,0,236.531,131.823,87.975,NA,NA,NA,NA,0,236.531,117.04,76.91,0,39.422,19.507,12.818,-90,135,-2.657,82.587,-180,180,-30,133.773
