Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,41359.98,41254.2,0,246,0,0,NA,NA,NA,NA,NA
2,1,2,41465.76,41994.66,6,210,747.978,747.978,NA,747.978,124.663,81.87,NA
3,1,3,42206.22,42840.9,12,199,1872.434,1798.26,NA,1124.457,187.409,48.814,-33.056
4,1,4,42946.68,43369.8,18,227,2782.388,2644.5,NA,909.954,151.659,35.538,-13.276
5,1,5,43369.8,44110.26,24,195,3635.214,3492.342,NA,852.826,142.138,60.255,24.717
6,1,6,42735.12,45062.28,30,180,4779.4,4048.763,NA,1144.186,190.698,123.69,63.435
7,1,7,42735.12,44850.72,36,205,4990.96,3850.45,NA,211.56,35.26,-90,146.31
8,1,8,42735.12,44850.72,42,201,4990.96,3850.45,NA,0,0,0,90
9,1,9,42417.78,45802.74,48,283,5994.477,4669.92,NA,1003.517,167.253,108.435,108.435
10,1,10,42417.78,46648.98,54,217,6840.717,5497.508,NA,846.24,141.04,90,-18.435
11,1,11,42312,47283.66,59,185,7484.151,6104.157,NA,643.435,128.687,99.462,9.462
12,2,1,55005.6,48764.58,0,383,0,0,NA,NA,NA,NA,NA
13,2,2,54688.26,48553.02,6,386,381.395,381.395,NA,381.395,63.566,-146.31,NA
14,2,3,54688.26,48553.02,12,363,381.395,381.395,NA,0,0,0,146.31
15,2,4,54476.7,48553.02,18,339,592.955,569.643,NA,211.56,35.26,180,180
16,2,5,54265.14,48447.24,24,338,829.486,805.596,NA,236.531,39.422,-153.435,26.565
17,2,6,54159.36,48447.24,30,377,935.266,903.785,NA,105.78,17.63,180,-26.565
18,2,7,53947.8,48341.46,36,372,1171.798,1139.285,NA,236.531,39.422,-153.435,26.565
19,2,8,53630.46,48024.12,42,332,1620.584,1561.823,NA,448.787,74.798,-135,18.435
20,2,9,53313.12,47812.56,48,323,2001.98,1941.863,NA,381.395,63.566,-146.31,-11.31
21,2,10,52995.78,47601,54,303,2383.375,2322.347,NA,381.395,63.566,-146.31,0
22,2,11,52572.66,47495.22,59,297,2819.517,2744.171,NA,436.142,87.228,-165.964,-19.654
23,3,1,36917.22,23588.94,0,344,0,0,NA,NA,NA,NA,NA
24,3,2,36917.22,23588.94,6,349,0,0,NA,0,0,0,NA
25,3,3,36917.22,23588.94,12,314,0,0,NA,0,0,0,0
26,3,4,36705.66,24012.06,18,222,473.063,473.063,NA,473.063,78.844,116.565,116.565
27,3,5,36705.66,24012.06,24,229,473.063,473.063,NA,0,0,0,-116.565
28,3,6,36705.66,24012.06,30,206,473.063,473.063,NA,0,0,0,0
29,3,7,36599.88,24012.06,36,219,578.843,528.9,NA,105.78,17.63,180,180
30,3,8,36494.1,24012.06,42,217,684.623,598.382,NA,105.78,17.63,180,0
31,3,9,36494.1,24012.06,48,212,684.623,598.382,NA,0,0,0,-180
32,3,10,36494.1,24012.06,54,208,684.623,598.382,NA,0,0,0,0
33,3,11,36494.1,24117.84,59,196,790.403,677.322,NA,105.78,21.156,90,90
34,4,1,63150.66,23165.82,0,423,0,0,NA,NA,NA,NA,NA
35,4,2,62727.54,22848.48,6,340,528.9,528.9,NA,528.9,88.15,-143.13,NA
36,4,3,62727.54,22848.48,12,357,528.9,528.9,NA,0,0,0,143.13
37,4,4,62515.98,22848.48,18,346,740.46,709.594,NA,211.56,35.26,180,180
38,4,5,62621.76,22848.48,24,346,846.24,616.798,NA,105.78,17.63,0,-180
39,4,6,62515.98,22848.48,30,329,952.02,709.594,NA,105.78,17.63,180,180
40,4,7,62515.98,22848.48,36,308,952.02,709.594,NA,0,0,0,-180
41,4,8,62515.98,22848.48,42,298,952.02,709.594,NA,0,0,0,0
42,4,9,62515.98,22848.48,48,279,952.02,709.594,NA,0,0,0,0
43,4,10,61669.74,22002.24,54,227,2148.784,1883.359,NA,1196.764,199.461,-135,-135
44,4,11,61881.3,21896.46,59,295,2385.315,1795.146,NA,236.531,47.306,-26.565,108.435
45,5,1,91076.58,81767.94,0,225,0,0,NA,NA,NA,NA,NA
46,5,2,91076.58,81450.6,6,187,317.34,317.34,NA,317.34,52.89,-90,NA
47,5,3,91605.48,81767.94,12,181,934.138,528.9,NA,616.798,102.8,30.964,120.964
48,5,4,91182.36,81979.5,18,187,1407.201,236.531,NA,473.063,78.844,153.435,122.471
49,5,5,91605.48,82191.06,24,193,1880.263,677.322,NA,473.063,78.844,26.565,-126.87
50,5,6,90018.78,82825.74,30,179,3589.191,1495.955,NA,1708.928,284.821,158.199,131.634
51,5,7,91182.36,82719.96,36,177,4757.57,957.879,NA,1168.378,194.73,-5.194,-163.393
52,5,8,91076.58,82614.18,42,170,4907.165,846.24,NA,149.596,24.933,-135,-129.806
53,5,9,91711.26,82296.84,48,172,5616.759,826.168,NA,709.594,118.266,-26.565,108.435
54,5,10,91711.26,82508.4,54,180,5828.319,975.243,NA,211.56,35.26,90,116.565
55,5,11,90230.34,83037.3,59,281,7400.852,1525.581,NA,1572.533,314.507,160.346,70.346
56,6,1,100808.34,78171.42,0,221,0,0,NA,NA,NA,NA,NA
57,6,2,100067.88,78171.42,6,234,740.46,740.46,NA,740.46,123.41,180,NA
58,6,3,99221.64,78488.76,12,293,1644.245,1618.123,NA,903.785,150.631,159.444,-20.556
59,6,4,98586.96,78700.32,18,199,2313.256,2283.476,NA,669.011,111.502,161.565,2.121
60,6,5,98481.18,78594.54,24,219,2462.852,2365.313,NA,149.596,24.933,-135,63.435
61,6,6,98375.4,78382.98,30,258,2699.383,2442.121,NA,236.531,39.422,-116.565,18.435
62,6,7,98058.06,78171.42,36,302,3080.778,2750.28,NA,381.395,63.566,-146.31,-29.745
63,6,8,97952.28,78171.42,42,298,3186.558,2856.06,NA,105.78,17.63,180,-33.69
64,6,9,97952.28,78171.42,48,304,3186.558,2856.06,NA,0,0,0,-180
65,6,10,97952.28,78171.42,54,197,3186.558,2856.06,NA,0,0,0,0
66,6,11,97952.28,78171.42,59,187,3186.558,2856.06,NA,0,0,0,0
67,7,1,70872.6,71295.72,0,359,0,0,NA,NA,NA,NA,NA
68,7,2,70872.6,71295.72,6,305,0,0,NA,0,0,0,NA
69,7,3,70872.6,71295.72,12,295,0,0,NA,0,0,0,0
70,7,4,70872.6,71295.72,18,341,0,0,NA,0,0,0,0
71,7,5,70661.04,71401.5,24,362,236.531,236.531,NA,236.531,39.422,153.435,153.435
72,7,6,70872.6,71295.72,30,354,473.063,0,NA,236.531,39.422,-26.565,-180
73,7,7,70661.04,71401.5,36,337,709.594,236.531,NA,236.531,39.422,153.435,180
74,7,8,70766.82,71507.28,42,322,859.189,236.531,NA,149.596,24.933,45,-108.435
75,7,9,70766.82,71507.28,48,318,859.189,236.531,NA,0,0,0,-45
76,7,10,70872.6,71507.28,54,309,964.969,211.56,NA,105.78,17.63,0,0
77,7,11,70766.82,71507.28,59,306,1070.749,236.531,NA,105.78,21.156,180,180
78,8,1,116040.66,97952.28,0,214,0,0,NA,NA,NA,NA,NA
79,8,2,115934.88,97952.28,6,211,105.78,105.78,NA,105.78,17.63,180,NA
80,8,3,115934.88,97952.28,12,190,105.78,105.78,NA,0,0,0,-180
81,8,4,116040.66,98163.84,18,179,342.311,211.56,NA,236.531,39.422,63.435,63.435
82,8,5,115723.32,97952.28,24,183,723.706,317.34,NA,381.395,63.566,-146.31,150.255
83,8,6,115934.88,98163.84,30,177,1022.898,236.531,NA,299.191,49.865,45,-168.69
84,8,7,115723.32,98163.84,36,175,1234.458,381.395,NA,211.56,35.26,180,135
85,8,8,115934.88,98058.06,42,180,1470.989,149.596,NA,236.531,39.422,-26.565,153.435
86,8,9,115723.32,98058.06,48,170,1682.549,334.506,NA,211.56,35.26,180,-153.435
87,8,10,115723.32,98163.84,54,173,1788.329,381.395,NA,105.78,17.63,90,-90
88,8,11,115934.88,98058.06,59,177,2024.86,149.596,NA,236.531,47.306,-26.565,-116.565
89,9,1,94249.98,26127.66,0,377,0,0,NA,NA,NA,NA,NA
90,9,2,94144.2,26127.66,6,364,105.78,105.78,NA,105.78,17.63,180,NA
91,9,3,94038.42,26233.44,12,358,255.376,236.531,NA,149.596,24.933,135,-45
92,9,4,94038.42,26233.44,18,332,255.376,236.531,NA,0,0,0,-135
93,9,5,94038.42,26127.66,24,287,361.156,211.56,NA,105.78,17.63,-90,-90
94,9,6,94038.42,26233.44,30,257,466.936,236.531,NA,105.78,17.63,90,180
95,9,7,94038.42,26127.66,36,232,572.716,211.56,NA,105.78,17.63,-90,-180
96,9,8,94038.42,26021.88,42,215,678.496,236.531,NA,105.78,17.63,-90,0
97,9,9,94038.42,26127.66,48,224,784.276,211.56,NA,105.78,17.63,90,180
98,9,10,94144.2,26021.88,54,212,933.871,149.596,NA,149.596,24.933,-45,-135
99,9,11,94144.2,26233.44,59,213,1145.431,149.596,NA,211.56,42.312,90,135
100,10,1,127464.9,62515.98,0,338,0,0,NA,NA,NA,NA,NA
101,10,2,127253.34,62621.76,6,257,236.531,236.531,NA,236.531,39.422,153.435,NA
102,10,3,126936,62727.54,12,243,571.037,569.643,NA,334.506,55.751,161.565,8.13
103,10,4,126936,62833.32,18,314,676.817,616.798,NA,105.78,17.63,90,-71.565
104,10,5,126407.1,63044.88,24,270,1246.46,1182.656,NA,569.643,94.94,158.199,68.199
105,10,6,126089.76,63044.88,30,185,1563.8,1473.345,NA,317.34,52.89,180,21.801
106,10,7,126089.76,63150.66,36,291,1669.58,1514.539,NA,105.78,17.63,90,-90
107,10,8,125666.64,63362.22,42,273,2142.642,1987.426,NA,473.063,78.844,153.435,63.435
108,10,9,124926.18,63679.56,48,235,2948.239,2792.672,NA,805.596,134.266,156.801,3.366
109,10,10,124503.06,63996.9,54,206,3477.139,3311.438,NA,528.9,88.15,143.13,-13.671
110,10,11,124503.06,63891.12,59,243,3582.919,3265.502,NA,105.78,21.156,-90,126.87
111,11,1,133282.8,66535.62,0,250,0,0,NA,NA,NA,NA,NA
112,11,2,133177.02,66535.62,6,248,105.78,105.78,NA,105.78,17.63,180,NA
113,11,3,133177.02,66535.62,12,245,105.78,105.78,NA,0,0,0,-180
114,11,4,133177.02,66535.62,18,293,105.78,105.78,NA,0,0,0,0
115,11,5,133177.02,66535.62,24,277,105.78,105.78,NA,0,0,0,0
116,11,6,133071.24,66535.62,30,264,211.56,211.56,NA,105.78,17.63,180,180
117,11,7,132859.68,67381.86,36,268,1083.844,946.125,NA,872.284,145.381,104.036,-75.964
118,11,8,132753.9,68016.54,42,187,1727.279,1572.533,NA,643.435,107.239,99.462,-4.574
119,11,9,132859.68,68016.54,48,190,1833.059,1540.18,NA,105.78,17.63,0,-99.462
120,11,10,132753.9,68016.54,54,215,1938.839,1572.533,NA,105.78,17.63,180,180
121,11,11,132859.68,68016.54,59,258,2044.619,1540.18,NA,105.78,21.156,0,-180
122,12,1,133282.8,71401.5,0,233,0,0,NA,NA,NA,NA,NA
123,12,2,133388.58,71507.28,6,183,149.596,149.596,NA,149.596,24.933,45,NA
124,12,3,133282.8,71507.28,12,185,255.376,105.78,NA,105.78,17.63,180,135
