Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,90230.34,90336.12,90239.956,31.894,37763.46,37975.02,37859.624,87.925,59,132,162,141,8.062,1313.176,0,105.78,76.931,49.41,NA,NA,NA,NA,0,211.56,131.318,66.796,0,35.26,22.239,11.038,-90,180,22.5,97.788,-180,180,20,138.902
2,2,11,79017.66,79123.44,79036.893,42.79,41148.42,41359.98,41177.269,68.405,59,162,181,169.818,6.926,528.9,0,236.531,204.855,72.864,NA,NA,NA,NA,0,211.56,52.89,74.798,0,35.26,8.815,12.466,-90,180,9,78.804,-180,90,-30,100.623
3,3,11,69920.58,70132.14,69997.511,83.169,34166.94,34378.5,34243.871,95.682,59,125,164,135.091,11.022,1836.181,0,299.191,179.968,83.02,NA,NA,NA,NA,105.78,236.531,183.618,59.717,17.63,39.422,30.956,9.494,-116.565,180,26.187,102.049,-180,180,-30,140.246
4,5,11,74998.02,75103.8,75084.567,42.79,22319.58,22531.14,22434.976,87.925,59,169,186,176.364,5.104,722.311,0,149.596,80.914,53.56,NA,NA,NA,NA,0,149.596,72.231,64.414,0,29.919,12.537,11.49,-90,180,27,82.704,-135,180,45,107.906
5,6,11,73728.66,73940.22,73795.975,85.58,19992.42,20203.98,20107.816,87.925,59,128,152,134.091,6.833,1232.367,0,299.191,139.233,94.272,NA,NA,NA,NA,0,236.531,123.237,65.275,0,39.422,21.038,11.212,-90,153.435,1.843,85.656,-135,180,5,113.063
6,7,11,87691.62,87797.4,87710.853,42.79,30147.3,30147.3,30147.3,0,59,150,171,160.818,6.478,211.56,0,105.78,86.547,42.79,NA,NA,NA,NA,0,105.78,21.156,44.601,0,21.156,3.879,8.219,0,180,18,56.921,-180,0,-20,60
7,8,11,64525.8,64737.36,64602.731,83.169,49399.26,49610.82,49495.424,87.925,59,125,147,132.818,7.264,1581.5,0,236.531,162.942,81.246,NA,NA,NA,NA,0,236.531,158.15,76.011,0,39.422,26.358,12.669,-135,180,7.157,110.384,-180,161.565,10,144.773
8,9,11,69920.58,70026.36,69968.662,55.242,53207.34,53418.9,53284.271,83.169,59,158,171,165.455,4.156,1363.813,0,236.531,112.033,72.218,NA,NA,NA,NA,0,236.531,136.381,64.798,0,39.422,23.229,11.025,-90,135,20.657,85.648,-161.565,135,-5,137.236
9,10,11,77642.52,78171.42,77882.929,171.16,53524.68,53630.46,53591.995,53.369,59,149,180,163,8.39,1361.44,0,317.34,148.229,126.937,NA,NA,NA,NA,0,334.506,136.144,119.234,0,55.751,23.479,20.747,-153.435,161.565,-8.187,91.096,-180,116.565,-72.952,91.135
