Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,95202,95413.56,95230.849,68.405,44533.38,44744.94,44668.009,83.169,59,117,126,121.909,3.048,1020.807,0,236.531,200.315,71.378,NA,NA,NA,NA,0,236.531,102.081,67.707,0,39.422,17.366,11.361,-135,116.565,-19.843,92.18,-180,180,5,136.233
2,2,11,85258.68,85470.24,85297.145,71.317,51091.74,51303.3,51187.904,74.115,59,113,147,128.545,12.972,1301.154,0,211.56,86.547,63.788,NA,NA,NA,NA,0,236.531,130.115,69.361,0,39.422,22.185,11.82,-153.435,90,-21.687,89.564,-180,180,-25,138.702
3,3,11,78911.88,79335,79008.044,166.948,58496.34,58707.9,58573.271,83.169,59,115,138,128,7.836,1224.561,0,436.142,159.029,153.792,NA,NA,NA,NA,0,334.506,122.456,97.195,0,55.751,20.762,16.17,-90,90,11.657,74.241,-180,180,10,136.091
4,4,11,122281.68,122599.02,122493.24,105.78,45485.4,45696.96,45600.796,87.925,59,113,123,117.091,2.879,1687.28,0,334.506,228.748,103.427,NA,NA,NA,NA,105.78,236.531,168.728,56.384,17.63,39.422,28.62,9.341,-135,180,16.157,99.128,-153.435,180,-40,141.951
5,5,11,111809.46,112021.02,111982.555,71.317,35753.64,35859.42,35792.105,53.369,59,118,141,125.545,7.271,915.027,0,211.56,65.665,80.289,NA,NA,NA,NA,0,236.531,91.503,90.015,0,39.422,15.25,15.003,-90,180,25.157,87.751,-180,180,-40,132.372
6,6,11,26445,26550.78,26512.315,53.369,73940.22,74151.78,73978.685,71.317,59,126,151,138.182,7.627,890.056,0,236.531,92.801,71.226,NA,NA,NA,NA,0,211.56,89.006,85.792,0,35.26,14.834,14.299,-90,90,4.5,68.575,-180,135,0,129.253
7,7,11,30253.08,36917.22,33705.355,2073.543,79229.22,91076.58,84902.875,4124.951,59,116,144,129.364,10.452,13981.41,0,13593.039,6665.362,4578.697,NA,NA,NA,NA,381.395,2243.933,1398.141,570.725,63.566,373.989,235.566,92.273,33.69,81.87,57.207,14.402,-25.56,29.745,0.26,17.43
8,8,11,37869.24,38080.8,37926.938,86.761,60188.82,60294.6,60198.436,31.894,59,117,126,120.636,2.908,896.183,0,149.596,90.531,46.627,NA,NA,NA,NA,0,236.531,89.618,104.73,0,39.422,15.289,17.551,-153.435,180,5.313,79.138,-180,180,0,118.261
9,9,11,27291.24,35753.64,31205.1,3482.717,53630.46,64737.36,58755.982,3693.938,59,116,150,133.636,8.936,15701.321,0,13963.361,6513.36,4985.625,NA,NA,NA,NA,105.78,2986.295,1570.132,975.717,17.63,497.716,265.816,161.579,16.699,180,69.309,47.175,-139.899,139.764,-2.22,76.723
10,10,11,51832.2,52043.76,51947.596,57.053,61458.18,61669.74,61563.96,81.937,59,137,159,150.091,7.635,1020.807,0,236.531,150.026,87.696,NA,NA,NA,NA,0,236.531,102.081,67.707,0,39.422,17.366,11.361,-90,153.435,28.843,85.536,-180,180,50,154.584
