Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,36811.44,39773.28,38580.851,943.865,64102.68,66852.96,65372.04,912.41,59,332,424,372.545,31.059,4241.17,0,4041.848,1910.704,1297.697,NA,NA,NA,NA,236.531,709.594,424.117,162.522,39.422,133.802,72.916,31.396,-161.565,-116.565,-134.682,17.599,-36.87,29.745,-5,19.894
2,2,11,41148.42,41888.88,41590.773,343.803,70132.14,70555.26,70334.084,179.854,59,230,467,327.364,68.881,1272.532,0,770.09,347.275,360.959,NA,NA,NA,NA,0,805.596,127.253,245.628,0,134.266,21.209,40.938,-156.801,90,-11.18,74.283,-180,113.199,30,92.086
3,3,11,47706.78,47918.34,47860.642,72.729,66852.96,66958.74,66949.124,31.894,59,342,435,409.455,29.334,423.12,0,236.531,123.983,56.85,NA,NA,NA,NA,0,105.78,42.312,54.625,0,17.63,7.052,9.104,0,180,45,76.485,-180,180,-10,130.767
4,4,11,44850.72,45062.28,45023.815,85.58,71401.5,71507.28,71478.431,49.41,59,364,458,412.273,23.009,528.9,0,236.531,100.704,82.144,NA,NA,NA,NA,0,211.56,52.89,74.798,0,35.26,8.815,12.466,-90,180,27,74.095,-180,180,0,110.227
5,5,10,40407.96,41042.64,40809.924,221.886,61035.06,61140.84,61077.372,54.625,54,260,371,318,37.541,722.311,0,634.68,240.06,224.385,NA,NA,NA,NA,0,211.56,80.257,82.1,0,35.26,13.376,13.683,-135,180,60,112.5,-180,180,28.125,135.934
6,6,11,118896.72,119002.5,118944.802,55.242,20415.54,20732.88,20511.704,87.925,59,260,477,402.818,61.155,528.9,0,317.34,234.797,87.251,NA,NA,NA,NA,0,317.34,52.89,102.8,0,52.89,8.815,17.133,-90,180,18,70.993,-180,90,10,83.516
7,7,11,108530.28,109059.18,108886.085,172.345,24964.08,25175.64,25050.627,103.839,59,209,288,235.909,25.11,1338.842,0,569.643,207.578,185.162,NA,NA,NA,NA,0,299.191,133.884,93.159,0,49.865,22.813,15.699,-135,180,49.5,111.142,-180,180,-45,114.728
8,8,11,129263.16,129580.5,129407.405,118.48,7404.6,8779.74,8347.004,544.442,59,205,316,262.636,33.64,3053.412,0,1286.869,432.999,504.744,NA,NA,NA,NA,0,1286.869,305.341,467.348,0,214.478,54.434,84.777,-99.462,180,42.781,94.104,-180,180,-29.365,166.841
9,9,11,118262.04,119002.5,118665.927,330.529,6029.46,6241.02,6144.856,74.115,59,254,382,311.455,45.999,1462.771,0,770.09,442.641,305.457,NA,NA,NA,NA,0,528.9,146.277,140.499,0,88.15,24.732,23.33,-90,90,0,76.485,-180,135,-20,114.973
10,10,11,98586.96,99115.86,98904.3,183.216,11953.14,12587.82,12385.876,203.222,59,326,399,364.182,21.051,878.034,0,826.168,294.476,271.242,NA,NA,NA,NA,0,236.531,87.803,100.414,0,47.306,15.422,18.158,-135,180,-32.313,97.516,-135,180,27.048,107.124
11,11,11,98058.06,99327.42,98788.904,424.32,6769.92,7193.04,6971.864,152.958,59,275,420,374.455,41.582,1486.064,0,1238.123,516.25,401.403,NA,NA,NA,NA,0,473.063,148.606,162.593,0,78.844,25.473,27.491,0,180,81,86.32,-180,180,20,130.919
12,12,11,97211.82,97423.38,97288.751,68.405,2221.38,2432.94,2327.16,66.901,59,207,269,225.909,21.107,995.836,0,211.56,125.696,70.706,NA,NA,NA,NA,0,211.56,99.584,94.199,0,35.26,16.597,15.7,-135,180,-4.5,91.118,-180,180,50,117.872
