Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,39773.28,66852.96,0,344,0,0,NA,NA,NA,NA,NA
2,1,2,39561.72,66429.84,6,406,473.063,473.063,NA,473.063,78.844,-116.565,NA
3,1,3,39350.16,66112.5,12,332,854.458,852.826,NA,381.395,63.566,-123.69,-7.125
4,1,4,39138.6,65900.94,18,362,1153.649,1144.186,NA,299.191,49.865,-135,-11.31
5,1,5,39032.82,65689.38,24,344,1390.18,1379.202,NA,236.531,39.422,-116.565,18.435
6,1,6,38821.26,65372.04,30,374,1771.575,1760.53,NA,381.395,63.566,-123.69,-7.125
7,1,7,38503.92,65160.48,36,356,2152.97,2115.6,NA,381.395,63.566,-146.31,-22.62
8,1,8,38292.36,64737.36,42,424,2626.033,2582.419,NA,473.063,78.844,-116.565,29.745
9,1,9,37657.68,64420.02,48,377,3335.627,3224.122,NA,709.594,118.266,-153.435,-36.87
10,1,10,37446.12,64314.24,54,418,3572.158,3443.947,NA,236.531,39.422,-153.435,0
11,1,11,36811.44,64102.68,59,361,4241.17,4041.848,NA,669.011,133.802,-161.565,-8.13
12,2,1,41888.88,70449.48,0,405,0,0,NA,NA,NA,NA,NA
13,2,2,41888.88,70555.26,6,329,105.78,105.78,NA,105.78,17.63,90,NA
14,2,3,41888.88,70449.48,12,294,211.56,0,NA,105.78,17.63,-90,-180
15,2,4,41888.88,70449.48,18,319,211.56,0,NA,0,0,0,90
16,2,5,41888.88,70449.48,24,247,211.56,0,NA,0,0,0,0
17,2,6,41888.88,70555.26,30,230,317.34,105.78,NA,105.78,17.63,90,90
18,2,7,41148.42,70237.92,36,467,1122.936,770.09,NA,805.596,134.266,-156.801,113.199
19,2,8,41254.2,70132.14,42,381,1272.532,709.594,NA,149.596,24.933,-45,111.801
20,2,9,41254.2,70132.14,48,335,1272.532,709.594,NA,0,0,0,45
21,2,10,41254.2,70132.14,54,300,1272.532,709.594,NA,0,0,0,0
22,2,11,41254.2,70132.14,59,294,1272.532,709.594,NA,0,0,0,0
23,3,1,47918.34,66852.96,0,342,0,0,NA,NA,NA,NA,NA
24,3,2,47918.34,66958.74,6,382,105.78,105.78,NA,105.78,17.63,90,NA
25,3,3,47918.34,66958.74,12,397,105.78,105.78,NA,0,0,0,-90
26,3,4,47918.34,66958.74,18,433,105.78,105.78,NA,0,0,0,0
27,3,5,47918.34,66958.74,24,423,105.78,105.78,NA,0,0,0,0
28,3,6,47918.34,66958.74,30,432,105.78,105.78,NA,0,0,0,0
29,3,7,47812.56,66958.74,36,414,211.56,149.596,NA,105.78,17.63,180,180
30,3,8,47812.56,66958.74,42,430,211.56,149.596,NA,0,0,0,-180
31,3,9,47706.78,66958.74,48,388,317.34,236.531,NA,105.78,17.63,180,180
32,3,10,47812.56,66958.74,54,435,423.12,149.596,NA,105.78,17.63,0,-180
33,3,11,47812.56,66958.74,59,428,423.12,149.596,NA,0,0,0,0
34,4,1,45062.28,71401.5,0,364,0,0,NA,NA,NA,NA,NA
35,4,2,45062.28,71401.5,6,411,0,0,NA,0,0,0,NA
36,4,3,45062.28,71507.28,12,394,105.78,105.78,NA,105.78,17.63,90,90
37,4,4,45062.28,71507.28,18,414,105.78,105.78,NA,0,0,0,-90
38,4,5,45062.28,71507.28,24,410,105.78,105.78,NA,0,0,0,0
39,4,6,45062.28,71507.28,30,426,105.78,105.78,NA,0,0,0,0
40,4,7,45062.28,71507.28,36,421,105.78,105.78,NA,0,0,0,0
41,4,8,45062.28,71401.5,42,424,211.56,0,NA,105.78,17.63,-90,-90
42,4,9,45062.28,71507.28,48,458,317.34,105.78,NA,105.78,17.63,90,180
43,4,10,44850.72,71507.28,54,412,528.9,236.531,NA,211.56,35.26,180,90
44,4,11,44850.72,71507.28,59,401,528.9,236.531,NA,0,0,0,-180
45,5,1,41042.64,61035.06,0,371,0,0,NA,NA,NA,NA,NA
46,5,2,41042.64,61035.06,6,325,0,0,NA,0,0,0,NA
47,5,3,40936.86,61035.06,12,346,105.78,105.78,NA,105.78,17.63,180,180
48,5,4,40936.86,61035.06,18,294,105.78,105.78,NA,0,0,0,-180
49,5,5,40936.86,61035.06,24,282,105.78,105.78,NA,0,0,0,0
50,5,6,40831.08,61140.84,30,278,255.376,236.531,NA,149.596,24.933,135,135
51,5,7,40831.08,61140.84,36,260,255.376,236.531,NA,0,0,0,-135
52,5,8,40619.52,61140.84,42,327,466.936,436.142,NA,211.56,35.26,180,180
53,5,9,40513.74,61140.84,48,360,572.716,539.374,NA,105.78,17.63,180,0
54,5,10,40407.96,61035.06,54,337,722.311,634.68,NA,149.596,24.933,-135,45
55,6,1,119002.5,20732.88,0,260,0,0,NA,NA,NA,NA,NA
56,6,2,119002.5,20415.54,6,369,317.34,317.34,NA,317.34,52.89,-90,NA
57,6,3,119002.5,20415.54,12,374,317.34,317.34,NA,0,0,0,90
58,6,4,119002.5,20415.54,18,382,317.34,317.34,NA,0,0,0,0
59,6,5,119002.5,20521.32,24,365,423.12,211.56,NA,105.78,17.63,90,90
60,6,6,118896.72,20521.32,30,427,528.9,236.531,NA,105.78,17.63,180,90
61,6,7,118896.72,20521.32,36,451,528.9,236.531,NA,0,0,0,-180
62,6,8,118896.72,20521.32,42,447,528.9,236.531,NA,0,0,0,0
63,6,9,118896.72,20521.32,48,477,528.9,236.531,NA,0,0,0,0
64,6,10,118896.72,20521.32,54,447,528.9,236.531,NA,0,0,0,0
65,6,11,118896.72,20521.32,59,432,528.9,236.531,NA,0,0,0,0
66,7,1,109059.18,24964.08,0,265,0,0,NA,NA,NA,NA,NA
67,7,2,108953.4,24964.08,6,288,105.78,105.78,NA,105.78,17.63,180,NA
68,7,3,108953.4,24964.08,12,258,105.78,105.78,NA,0,0,0,-180
69,7,4,109059.18,24964.08,18,221,211.56,0,NA,105.78,17.63,0,0
70,7,5,108953.4,24964.08,24,248,317.34,105.78,NA,105.78,17.63,180,180
71,7,6,108953.4,25175.64,30,222,528.9,236.531,NA,211.56,35.26,90,-90
72,7,7,108953.4,25175.64,36,216,528.9,236.531,NA,0,0,0,-90
73,7,8,108953.4,24964.08,42,217,740.46,105.78,NA,211.56,35.26,-90,-90
74,7,9,108741.84,25175.64,48,225,1039.651,381.395,NA,299.191,49.865,135,-135
75,7,10,108636.06,25069.86,54,209,1189.247,436.142,NA,149.596,24.933,-135,90
76,7,11,108530.28,25175.64,59,226,1338.842,569.643,NA,149.596,29.919,135,-90
77,8,1,129580.5,8673.96,0,284,0,0,NA,NA,NA,NA,NA
78,8,2,129580.5,8673.96,6,278,0,0,NA,0,0,0,NA
79,8,3,129474.72,8673.96,12,281,105.78,105.78,NA,105.78,17.63,180,180
80,8,4,129474.72,8673.96,18,280,105.78,105.78,NA,0,0,0,-180
81,8,5,129368.94,8673.96,24,257,211.56,211.56,NA,105.78,17.63,180,180
82,8,6,129368.94,8673.96,30,236,211.56,211.56,NA,0,0,0,-180
83,8,7,129474.72,8779.74,36,209,361.156,149.596,NA,149.596,24.933,45,45
