Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,41465.76,31734,0,214,0,0,NA,NA,NA,NA,NA
2,1,2,41359.98,34272.72,6,297,2540.923,2540.923,NA,2540.923,423.487,92.386,NA
3,1,3,41571.54,36705.66,12,267,4983.044,4972.785,NA,2442.121,407.02,85.03,-7.356
4,1,4,42523.56,42206.22,18,278,10565.382,10525.509,NA,5582.338,930.39,80.181,-4.85
5,1,5,42312,44850.72,24,258,13218.331,13143.99,NA,2652.949,442.158,94.574,14.393
6,1,6,41783.1,39561.72,30,271,18533.71,7834.15,NA,5315.379,885.897,-95.711,169.715
7,1,7,39350.16,33849.6,36,240,24742.375,2991.91,NA,6208.664,1034.777,-113.07,-17.36
8,1,8,36917.22,31522.44,42,197,28109.105,4553.457,NA,3366.73,561.122,-136.273,-23.203
9,1,9,33426.48,28983.72,48,195,32425.395,8496.709,NA,4316.291,719.382,-143.973,-7.7
10,1,10,31945.56,27502.8,54,328,34519.732,10418.122,NA,2094.337,349.056,-135,8.973
11,1,11,30887.76,27714.36,59,241,35598.481,11315.988,NA,1078.749,215.75,168.69,-56.31
12,2,1,63785.34,27502.8,0,204,0,0,NA,NA,NA,NA,NA
13,2,2,59342.58,25916.1,6,314,4717.598,4717.598,NA,4717.598,786.266,-160.346,NA
14,2,3,54159.36,24540.96,12,266,10080.133,10071.345,NA,5362.535,893.756,-165.141,-4.795
15,2,4,51303.3,22742.7,18,281,13455.162,13358.887,NA,3375.029,562.505,-147.804,17.337
16,2,5,48129.9,24117.84,24,311,16913.699,16017.202,NA,3458.537,576.423,156.571,-55.624
17,2,6,46225.86,27397.02,30,261,20705.583,17559.799,NA,3791.885,631.981,120.141,-36.43
18,2,7,45273.84,29935.74,36,251,23416.937,18670.694,NA,2711.354,451.892,110.556,-9.585
19,2,8,47389.44,31945.56,42,311,26335.009,16987.161,NA,2918.071,486.345,43.531,-67.025
20,2,9,46543.2,34695.84,48,420,29212.536,18682.377,NA,2877.527,479.588,107.103,63.572
21,2,10,45802.74,36705.66,54,238,31354.418,20200.657,NA,2141.882,356.98,110.225,3.122
22,2,11,44110.26,38821.26,59,217,34063.707,22698.377,NA,2709.29,541.858,128.66,18.435
