Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
1,1,11,72247.74,72459.3,72411.218,72.729,46331.64,46437.42,46350.873,42.79,59,139,152,144.636,5.143,1126.587,0,236.531,59.968,78.196,NA,NA,NA,NA,0,236.531,112.659,57.477,0,39.422,19.129,9.597,-90,180,64.843,100.158,-180,180,-50,157.825
2,2,11,66112.5,66324.06,66150.965,71.317,41888.88,42100.44,41956.195,85.58,59,123,137,129.455,4.156,1599.649,0,236.531,98.434,91.454,NA,NA,NA,NA,0,236.531,159.965,79.872,0,39.422,27.013,13.091,-90,180,25.157,99.313,-161.565,153.435,-60,118.847
3,3,11,58496.34,58496.34,58496.34,0,47495.22,47706.78,47677.931,68.405,59,128,139,134.545,3.671,528.9,0,211.56,28.849,68.405,NA,NA,NA,NA,0,211.56,52.89,89.896,0,35.26,9.168,15.252,-90,90,-9,51.088,-90,180,-10,83.516
4,4,11,70555.26,70766.82,70651.424,87.925,54794.04,54899.82,54803.656,31.894,59,135,149,141,4.123,1145.431,0,236.531,117.666,90.928,NA,NA,NA,NA,0,211.56,114.543,72.9,0,42.312,19.796,13.339,-45,180,81,96.747,-180,180,0,157.5
5,5,11,89172.54,89384.1,89259.087,79.415,50351.28,50562.84,50476.293,79.415,59,137,158,145.545,6.409,1319.998,0,299.191,166.989,85.85,NA,NA,NA,NA,105.78,236.531,132,42.138,17.63,39.422,22.353,6.866,-153.435,135,7.157,92.919,-161.565,135,-50,116.359
6,6,11,98163.84,98375.4,98260.004,74.115,39773.28,39984.84,39879.06,94.613,59,143,168,150.636,7.311,1538.38,0,236.531,131.823,87.975,NA,NA,NA,NA,0,299.191,153.838,85.279,0,49.865,26.138,14.273,-135,63.435,-50.313,84.152,-161.565,161.565,-5,123.897
7,7,11,105885.78,106097.34,105953.095,85.58,55111.38,55428.72,55236.393,92.437,59,127,149,138.545,6.89,1512.714,0,317.34,160.799,79.028,NA,NA,NA,NA,0,236.531,151.271,75.207,0,47.306,26,13.72,-135,180,30.687,98.319,-180,180,7.048,147.009
8,8,11,89066.76,89278.32,89105.225,71.317,56274.96,56486.52,56351.891,95.682,59,131,139,136.182,2.523,784.276,0,149.596,122.396,60.514,NA,NA,NA,NA,0,211.56,78.428,102.817,0,35.26,13.071,17.136,-90,180,22.5,77.217,-180,180,0,121.166
9,9,11,94355.76,94673.1,94461.54,105.78,54476.7,54688.26,54563.247,92.437,59,131,148,138.273,5.623,1475.72,0,299.191,155.659,101.352,NA,NA,NA,NA,0,236.531,147.572,75.108,0,39.422,24.948,12.348,-135,180,1.843,108.945,-180,126.87,-30,128.347
10,10,11,121541.22,121647,121570.069,49.41,41888.88,42100.44,41927.345,71.317,59,133,149,142.727,4.982,1083.467,0,149.596,118.413,59.985,NA,NA,NA,NA,0,211.56,108.347,82.758,0,35.26,18.556,14.155,-135,180,-4.5,98.247,-180,180,0,144.07
