Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
1,1,1,72459.3,46331.64,0,139,0,0,NA,NA,NA,NA,NA
2,1,2,72459.3,46437.42,6,140,105.78,105.78,NA,105.78,17.63,90,NA
3,1,3,72459.3,46331.64,12,148,211.56,0,NA,105.78,17.63,-90,-180
4,1,4,72459.3,46331.64,18,152,211.56,0,NA,0,0,0,90
5,1,5,72353.52,46331.64,24,148,317.34,105.78,NA,105.78,17.63,180,180
6,1,6,72247.74,46437.42,30,140,466.936,236.531,NA,149.596,24.933,135,-45
7,1,7,72459.3,46331.64,36,151,703.467,0,NA,236.531,39.422,-26.565,-161.565
8,1,8,72353.52,46331.64,42,149,809.247,105.78,NA,105.78,17.63,180,-153.435
9,1,9,72459.3,46331.64,48,140,915.027,0,NA,105.78,17.63,0,-180
10,1,10,72353.52,46331.64,54,139,1020.807,105.78,NA,105.78,17.63,180,180
11,1,11,72459.3,46331.64,59,145,1126.587,0,NA,105.78,21.156,0,-180
12,2,1,66112.5,41888.88,0,137,0,0,NA,NA,NA,NA,NA
13,2,2,66112.5,41994.66,6,135,105.78,105.78,NA,105.78,17.63,90,NA
14,2,3,66112.5,41994.66,12,132,105.78,105.78,NA,0,0,0,-90
15,2,4,66112.5,41888.88,18,130,211.56,0,NA,105.78,17.63,-90,-90
16,2,5,66218.28,42100.44,24,130,448.091,236.531,NA,236.531,39.422,63.435,153.435
17,2,6,66324.06,41888.88,30,123,684.623,211.56,NA,236.531,39.422,-63.435,-126.87
18,2,7,66112.5,41888.88,36,129,896.183,0,NA,211.56,35.26,180,-116.565
19,2,8,66112.5,42100.44,42,128,1107.743,211.56,NA,211.56,35.26,90,-90
20,2,9,66218.28,41888.88,48,128,1344.274,105.78,NA,236.531,39.422,-63.435,-153.435
21,2,10,66112.5,41994.66,54,124,1493.869,105.78,NA,149.596,24.933,135,-161.565
22,2,11,66112.5,41888.88,59,128,1599.649,0,NA,105.78,21.156,-90,135
23,3,1,58496.34,47706.78,0,137,0,0,NA,NA,NA,NA,NA
24,3,2,58496.34,47706.78,6,137,0,0,NA,0,0,0,NA
25,3,3,58496.34,47495.22,12,136,211.56,211.56,NA,211.56,35.26,-90,-90
26,3,4,58496.34,47706.78,18,128,423.12,0,NA,211.56,35.26,90,180
27,3,5,58496.34,47706.78,24,138,423.12,0,NA,0,0,0,-90
28,3,6,58496.34,47706.78,30,131,423.12,0,NA,0,0,0,0
